index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LOG,Field,,,,,90,1,26,,private static final Logger LOG = LoggerFactory.getLogger(CasioGBX100DeviceSupport.class);,False
2,mFirstConnect,Field,,,,,38,1,2,,private boolean mFirstConnect = false;,True
3,mGetConfigurationPending,Field,,,,,49,1,2,,private boolean mGetConfigurationPending = false;,False
4,mRingNotificationPending,Field,,,,,49,1,2,,private boolean mRingNotificationPending = false;,False
5,mSyncedNotificationIDs,Field,,,,,76,1,18,,private final ArrayList<Integer> mSyncedNotificationIDs = new ArrayList<>();,False
6,mLastCallId,Field,,,,,103,1,2,,private int mLastCallId = new AtomicInteger((int) (System.currentTimeMillis()/1000)).incrementAndGet();,False
7,mFakeRingDurationCounter,Field,,,,,41,1,2,,private int mFakeRingDurationCounter = 0;,False
8,mFindPhoneHandler,Field,onReverseFindDevice(boolean),,,,56,1,18,,private final Handler mFindPhoneHandler = new Handler();,False
9,mFakeRingDurationHandler,Field,,,,,63,1,18,,private final Handler mFakeRingDurationHandler = new Handler();,False
10,mAutoRemoveMessageHandler,Field,,,,,64,1,18,,private final Handler mAutoRemoveMessageHandler = new Handler();,False
11,CasioGBX100DeviceSupport(),Method,,,nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID),nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+LOG nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+WATCH_FEATURES_SERVICE_UUID,135,5,1,,"public CasioGBX100DeviceSupport() {
        super(LOG);

        addSupportedService(CasioConstants.WATCH_FEATURES_SERVICE_UUID);
    }",False
12,connectFirstTime(),Method,,,nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+connect() nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+connect(),nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+mFirstConnect,111,5,1,,"@Override
    public boolean connectFirstTime() {
        mFirstConnect = true;
        return connect();
    }",True
13,setInitialized(),Method,,"nodomain.freeyourgadget.gadgetbridge.service.devices.casio.operations.InitOperationGBX100+onCharacteristicChanged(BluetoothGatt,BluetoothGattCharacteristic) nodomain.freeyourgadget.gadgetbridge.service.devices.casio.operations.InitOperationGBX100+onCharacteristicChanged(BluetoothGatt,BluetoothGattCharacteristic)",nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setState(State) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setState(State) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+sendDeviceUpdateIntent(Context) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+sendDeviceUpdateIntent(Context) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext(),nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+mFirstConnect nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+gbDevice nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+gbDevice,177,5,1,,"public void setInitialized() {
        mFirstConnect = false;
        gbDevice.setState(GBDevice.State.INITIALIZED);
        gbDevice.sendDeviceUpdateIntent(getContext());
    }",True
14,initializeDevice(TransactionBuilder),Method,,,"nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEOperation+perform() nodomain.freeyourgadget.gadgetbridge.service.devices.casio.operations.InitOperationGBX100+InitOperationGBX100(CasioGBX100DeviceSupport,TransactionBuilder,boolean) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEOperation+perform() nodomain.freeyourgadget.gadgetbridge.util.GB+toast(Context,String,int,int,Throwable) nodomain.freeyourgadget.gadgetbridge.util.GB+toast(Context,String,int,int,Throwable) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setFirmwareVersion(String) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setFirmwareVersion(String) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setFirmwareVersion2(String) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setFirmwareVersion2(String) nodomain.freeyourgadget.gadgetbridge.util.Prefs+getPreferences() nodomain.freeyourgadget.gadgetbridge.GBApplication+getPrefs() nodomain.freeyourgadget.gadgetbridge.GBApplication+getPrefs() nodomain.freeyourgadget.gadgetbridge.util.Prefs+getPreferences() nodomain.freeyourgadget.gadgetbridge.GBApplication+getDeviceSpecificSharedPrefs(String) nodomain.freeyourgadget.gadgetbridge.GBApplication+getDeviceSpecificSharedPrefs(String) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+getAddress() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+getAddress()",nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+mFirstConnect nodomain.freeyourgadget.gadgetbridge.util.GB+ERROR nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+mFirstConnect,1001,28,4,,"@Override
    protected TransactionBuilder initializeDevice(TransactionBuilder builder) {

        try {
            new InitOperationGBX100(this, builder, mFirstConnect).perform();
        } catch (IOException e) {
            GB.toast(getContext(), ""Initializing Casio watch failed"", Toast.LENGTH_SHORT, GB.ERROR, e);
        }

        getDevice().setFirmwareVersion(""N/A"");
        getDevice().setFirmwareVersion2(""N/A"");


        //preferences.registerOnSharedPreferenceChangeListener(this);

        SharedPreferences prefs = GBApplication.getPrefs().getPreferences();
        prefs.registerOnSharedPreferenceChangeListener(this);

        if(mFirstConnect) {
            SharedPreferences preferences = GBApplication.getDeviceSpecificSharedPrefs(this.getDevice().getAddress());
            SharedPreferences.Editor editor = preferences.edit();

            editor.putString(""charts_tabs"", ""activity,activitylist,stepsweek"");
            editor.apply();
        }

        return builder;
    }",False
15,"onCharacteristicRead(BluetoothGatt,BluetoothGattCharacteristic,int)",Method,,,"nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+onCharacteristicRead(BluetoothGatt,BluetoothGattCharacteristic,int)",,412,12,1,,"@Override
    public boolean onCharacteristicRead(BluetoothGatt gatt,
                                        BluetoothGattCharacteristic characteristic, int status) {

        UUID characteristicUUID = characteristic.getUuid();
        byte[] data = characteristic.getValue();

        if(data.length == 0)
            return true;

        return super.onCharacteristicRead(gatt, characteristic, status);
    }",False
16,"getSumWithinRange(int,int)",Method,,"nodomain.freeyourgadget.gadgetbridge.service.devices.casio.operations.FetchStepCountDataOperation+onCharacteristicChanged(BluetoothGatt,BluetoothGattCharacteristic)","nodomain.freeyourgadget.gadgetbridge.GBApplication+acquireDB() nodomain.freeyourgadget.gadgetbridge.GBApplication+acquireDB() nodomain.freeyourgadget.gadgetbridge.database.DBHelper+getUser(DaoSession) nodomain.freeyourgadget.gadgetbridge.database.DBHelper+getUser(DaoSession) nodomain.freeyourgadget.gadgetbridge.database.DBHandler+getDaoSession() nodomain.freeyourgadget.gadgetbridge.database.DBHandler+getDaoSession() nodomain.freeyourgadget.gadgetbridge.database.DBHelper+getDevice(GBDevice,DaoSession) nodomain.freeyourgadget.gadgetbridge.database.DBHelper+getDevice(GBDevice,DaoSession) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.database.DBHandler+getDaoSession() nodomain.freeyourgadget.gadgetbridge.database.DBHandler+getDaoSession() nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioGBX100SampleProvider+CasioGBX100SampleProvider(GBDevice,DaoSession) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getDevice() nodomain.freeyourgadget.gadgetbridge.database.DBHandler+getDaoSession() nodomain.freeyourgadget.gadgetbridge.database.DBHandler+getDaoSession() nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioGBX100SampleProvider+getActivitySamples(int,int) nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioGBX100SampleProvider+getActivitySamples(int,int) org.slf4j.Logger+error(String) org.slf4j.Logger+error(String) org.slf4j.Logger+debug(String) org.slf4j.Logger+debug(String)",nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+LOG nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGBX100DeviceSupport+LOG,1264,27,1,,"public CasioGBX100ActivitySample getSumWithinRange(int timestamp_from, int timestamp_to) {
        int steps = 0;
        int calories = 0;
        try (DBHandler dbHandler = GBApplication.acquireDB()) {

            User user = DBHelper.getUser(dbHandler.getDaoSession());
            Device device = DBHelper.getDevice(this.getDevice(), dbHandler.getDaoSession());

            CasioGBX100SampleProvider provider = new CasioGBX100SampleProvider(this.getDevice(), dbHandler.getDaoSession());
            List<CasioGBX100ActivitySample> samples = provider.getActivitySamples(timestamp_from, timestamp_to);
            for(CasioGBX100ActivitySample sample : samples) {
                if(sample.getDevice().equals(device) &&
                        sample.getUser().equals(user)) {
                    steps += sample.getSteps();
                    calories += sample.getCalories();
                }
            }
        } catch (Exception e) {
            LOG.error(""Error fetching activity data."");
        }

        CasioGBX100ActivitySample ret = new CasioGBX100ActivitySample();
        ret.setCalories(calories);
        ret.setSteps(steps);
        LOG.debug(""Fetched for today: "" + calories + "" cals and "" + steps + "" steps."");
        return ret;
    }",False
