index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,log,Field,,,,,74,1,10,,private static Logger log = Logger.getLogger(JobExecutor.class.getName());,False
2,commandExecutor,Field,setCommandExecutor(CommandExecutor),,,,42,1,4,,protected CommandExecutor commandExecutor;,False
3,isAutoActivate,Field,setAutoActivate(boolean),,,,41,1,4,,protected boolean isAutoActivate = false;,False
4,maxJobsPerAcquisition,Field,setMaxJobsPerAcquisition(int),,,,40,1,4,,protected int maxJobsPerAcquisition = 3;,False
5,waitTimeInMillis,Field,setWaitTimeInMillis(int),,,,42,1,4,,protected int waitTimeInMillis = 5 * 1000;,False
6,lockOwner,Field,setLockOwner(String),,,,58,1,4,,protected String lockOwner = UUID.randomUUID().toString();,False
7,lockTimeInMillis,Field,setLockTimeInMillis(int),,,,47,1,4,,protected int lockTimeInMillis = 5 * 60 * 1000;,False
8,queueSize,Field,setQueueSize(int),,,,28,1,4,,protected int queueSize = 5;,True
9,corePoolSize,Field,setCorePoolSize(int),,,,31,1,4,,protected int corePoolSize = 3;,True
10,maxPoolSize,Field,setMaxPoolSize(int),,,,29,1,2,,private int maxPoolSize = 10;,True
11,jobAcquisitionThread,Field,setJobAcquisitionThread(JobAcquisitionThread),,,,52,1,4,,protected JobAcquisitionThread jobAcquisitionThread;,True
12,threadPoolQueue,Field,setThreadPoolQueue(BlockingQueue<Runnable>),,,,50,1,4,,protected BlockingQueue<Runnable> threadPoolQueue;,True
13,threadPoolExecutor,Field,setThreadPoolExecutor(ThreadPoolExecutor),,,,48,1,4,,protected ThreadPoolExecutor threadPoolExecutor;,True
14,isActive,Field,,,,,35,1,4,,protected boolean isActive = false;,True
15,start(),Method,,"org.activiti.engine.impl.ProcessEngineImpl+ProcessEngineImpl(ProcessEngineConfigurationImpl) org.activiti.engine.impl.test.AbstractActivitiTestCase+waitForJobExecutorToProcessAllJobs(long,long) org.activiti.engine.impl.test.AbstractActivitiTestCase+waitForJobExecutorOnCondition(long,long,Callable<Boolean>) org.activiti.engine.impl.test.TestHelper+waitForJobExecutorToProcessAllJobs(ProcessEngineConfigurationImpl,long,long) org.activiti.engine.test.bpmn.event.timer.BoundaryTimerNonInterruptingEventTest+moveByHours(int)","java.util.logging.Logger+info(String) java.util.logging.Logger+info(String) org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+JobAcquisitionThread(JobExecutor) java.util.concurrent.ArrayBlockingQueue+ArrayBlockingQueue(int) java.util.concurrent.ThreadPoolExecutor+ThreadPoolExecutor(int,int,long,TimeUnit,BlockingQueue) java.util.concurrent.ThreadPoolExecutor+setRejectedExecutionHandler(RejectedExecutionHandler) java.util.concurrent.ThreadPoolExecutor+setRejectedExecutionHandler(RejectedExecutionHandler) java.util.concurrent.ThreadPoolExecutor.CallerRunsPolicy+CallerRunsPolicy() java.util.logging.Logger+fine(String) java.util.logging.Logger+fine(String) java.lang.Thread+start() java.lang.Thread+start()",org.activiti.engine.impl.jobexecutor.JobExecutor+isActive org.activiti.engine.impl.jobexecutor.JobExecutor+log org.activiti.engine.impl.jobexecutor.JobExecutor+isActive org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolQueue org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolQueue org.activiti.engine.impl.jobexecutor.JobExecutor+queueSize org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolExecutor org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolExecutor org.activiti.engine.impl.jobexecutor.JobExecutor+corePoolSize org.activiti.engine.impl.jobexecutor.JobExecutor+maxPoolSize java.util.concurrent.TimeUnit+MILLISECONDS org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolQueue org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolExecutor org.activiti.engine.impl.jobexecutor.JobExecutor+log org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread,873,24,33,,"public synchronized void start() {
    if(isActive) {
      // Already started, nothing to do
      log.info(""Ignoring duplicate JobExecutor start invocation"");
      return;
    } else {
      isActive = true;
      
      if (jobAcquisitionThread==null) {
        jobAcquisitionThread = new JobAcquisitionThread(this);
      }
      if (threadPoolQueue==null) {
        threadPoolQueue = new ArrayBlockingQueue<Runnable>(queueSize);
      }
      if (threadPoolExecutor==null) {
        threadPoolExecutor = new ThreadPoolExecutor(corePoolSize, maxPoolSize, 0L, TimeUnit.MILLISECONDS, threadPoolQueue);
        threadPoolExecutor.setRejectedExecutionHandler(new ThreadPoolExecutor.CallerRunsPolicy());
      }
      
      // Create our pending jobs fetcher
      log.fine(""JobExecutor is starting the JobAcquisitionThread"");
      jobAcquisitionThread.start();
    }
  }",False
16,shutdown(),Method,,"org.activiti.engine.impl.ProcessEngineImpl+close() org.activiti.engine.impl.test.AbstractActivitiTestCase+waitForJobExecutorToProcessAllJobs(long,long) org.activiti.engine.impl.test.AbstractActivitiTestCase+waitForJobExecutorOnCondition(long,long,Callable<Boolean>) org.activiti.engine.impl.test.TestHelper+waitForJobExecutorToProcessAllJobs(ProcessEngineConfigurationImpl,long,long) org.activiti.engine.test.bpmn.event.timer.BoundaryTimerNonInterruptingEventTest+moveByHours(int)","java.util.logging.Logger+info(String) java.util.logging.Logger+info(String) java.util.logging.Logger+info(String) java.util.logging.Logger+info(String) java.util.concurrent.ThreadPoolExecutor+shutdown() java.util.concurrent.ThreadPoolExecutor+shutdown() java.util.concurrent.ThreadPoolExecutor+awaitTermination(long,TimeUnit) java.util.concurrent.ThreadPoolExecutor+awaitTermination(long,TimeUnit) org.activiti.engine.ActivitiException+ActivitiException(String,Throwable) org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+shutdown() org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+shutdown()",org.activiti.engine.impl.jobexecutor.JobExecutor+isActive org.activiti.engine.impl.jobexecutor.JobExecutor+log org.activiti.engine.impl.jobexecutor.JobExecutor+log org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolExecutor org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolExecutor java.util.concurrent.TimeUnit+SECONDS org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread org.activiti.engine.impl.jobexecutor.JobExecutor+isActive org.activiti.engine.impl.jobexecutor.JobExecutor+threadPoolExecutor org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread,829,28,1,,"public void shutdown() {
    if(!isActive) {
      log.info(""Ignoring request to shut down non-active JobExecutor"");
      return;
    }
    
    log.info(""Shutting down the JobExecutor"");
    
    // Ask the thread pool to finish and exit
    threadPoolExecutor.shutdown();
    
    // Waits for 1 minute to finish all currently executing jobs
    try {
	  threadPoolExecutor.awaitTermination(60L, TimeUnit.SECONDS);
	} catch (InterruptedException e) {
      throw new ActivitiException(""Timeout during shutdown of job executor. "" +
	    ""The current running jobs could not end withing 60 seconds after shutdown operation."", e);
	}
    
    // Close the pending jobs task
    jobAcquisitionThread.shutdown();
    
    isActive = false;

    // Clear references
    threadPoolExecutor = null;
    jobAcquisitionThread = null;
  }",False
17,jobWasAdded(),Method,,org.activiti.engine.impl.jobexecutor.MessageAddedNotification+execute(CommandContext),org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+isActive() org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+isActive() org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+jobWasAdded() org.activiti.engine.impl.jobexecutor.JobAcquisitionThread+jobWasAdded(),org.activiti.engine.impl.jobexecutor.JobExecutor+isActive org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread org.activiti.engine.impl.jobexecutor.JobExecutor+jobAcquisitionThread,349,13,1,"/** 
 * Used to hint that new work exists on the queue, and that the  {@link JobAcquisitionThread}should probably re-check for jobs.
 */
","/**
   * Used to hint that new work exists on the
   *  queue, and that the {@link JobAcquisitionThread}
   *  should probably re-check for jobs.
   */
  public void jobWasAdded() {
    if ( isActive 
         && jobAcquisitionThread != null 
         && jobAcquisitionThread.isActive()
       ) {
      jobAcquisitionThread.jobWasAdded();
    }
  }",False
