index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,52,1,26,,"private static final String TAG = ""AutoFitTextView"";",True
2,SPEW,Field,,,,,42,1,26,,private static final boolean SPEW = false;,True
3,DEFAULT_MIN_TEXT_SIZE,Field,,,,,51,1,26,,private static final int DEFAULT_MIN_TEXT_SIZE = 8;,True
4,PRECISION,Field,,,,,44,1,26,,private static final float PRECISION = 0.5f;,True
5,mSizeToFit,Field,,,,,27,1,2,,private boolean mSizeToFit;,True
6,mMaxLines,Field,,,,,22,1,2,,private int mMaxLines;,True
7,mMinTextSize,Field,,,,,27,1,2,,private float mMinTextSize;,True
8,mMaxTextSize,Field,,,,,27,1,2,,private float mMaxTextSize;,True
9,mPrecision,Field,,,,,25,1,2,,private float mPrecision;,True
10,mPaint,Field,,,,,25,1,2,,private TextPaint mPaint;,True
11,AutofitTextView(Context),Method,,,"me.grantland.widget.AutofitTextView+init(Context,AttributeSet,int) me.grantland.widget.AutofitTextView+init(Context,AttributeSet,int)",,103,4,1,,"public AutofitTextView(Context context) {
        super(context);
        init(context, null, 0);
    }",False
12,"AutofitTextView(Context,AttributeSet)",Method,,,"me.grantland.widget.AutofitTextView+init(Context,AttributeSet,int) me.grantland.widget.AutofitTextView+init(Context,AttributeSet,int)",,131,4,1,,"public AutofitTextView(Context context, AttributeSet attrs) {
        super(context, attrs);
        init(context, attrs, 0);
    }",False
13,"AutofitTextView(Context,AttributeSet,int)",Method,,,"me.grantland.widget.AutofitTextView+init(Context,AttributeSet,int) me.grantland.widget.AutofitTextView+init(Context,AttributeSet,int)",,162,4,1,,"public AutofitTextView(Context context, AttributeSet attrs, int defStyle) {
        super(context, attrs, defStyle);
        init(context, attrs, defStyle);
    }",False
