index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,CLUSTER,Field,,,,,67,1,26,,"private static final String CLUSTER = ""cluster-foo.googleapis.com"";",False
2,AUTHORITY,Field,,,,,57,1,26,,"private static final String AUTHORITY = ""api.google.com"";",False
3,EDS_SERVICE_NAME,Field,,,,,72,1,26,,"private static final String EDS_SERVICE_NAME = ""service.googleapis.com"";",False
4,LRS_SERVER_NAME,Field,,,,,67,1,26,,"private static final String LRS_SERVER_NAME = ""lrs.googleapis.com"";",False
5,locality1,Field,,,,,104,2,18,,"private final Locality locality1 =
      new Locality(""test-region-1"", ""test-zone-1"", ""test-subzone-1"");",False
6,locality2,Field,,,,,104,2,18,,"private final Locality locality2 =
      new Locality(""test-region-2"", ""test-zone-2"", ""test-subzone-2"");",False
7,locality3,Field,,,,,104,2,18,,"private final Locality locality3 =
      new Locality(""test-region-3"", ""test-zone-3"", ""test-subzone-3"");",False
8,syncContext,Field,,,,,264,7,18,,"private final SynchronizationContext syncContext = new SynchronizationContext(
      new Thread.UncaughtExceptionHandler() {
        @Override
        public void uncaughtException(Thread t, Throwable e) {
          throw new AssertionError(e);
        }
      });",False
9,fakeClock,Field,,,,,52,1,18,,private final FakeClock fakeClock = new FakeClock();,False
10,registry,Field,,,,,73,1,18,,private final LoadBalancerRegistry registry = new LoadBalancerRegistry();,False
11,roundRobin,Field,,,,,120,2,18,,"private final PolicySelection roundRobin =
      new PolicySelection(new FakeLoadBalancerProvider(""round_robin""), null);",False
12,weightedTarget,Field,,,,,138,2,18,,"private final PolicySelection weightedTarget =
      new PolicySelection(new FakeLoadBalancerProvider(WEIGHTED_TARGET_POLICY_NAME), null);",False
13,downstreamBalancers,Field,,,,,77,1,18,,private final List<FakeLoadBalancer> downstreamBalancers = new ArrayList<>();,True
14,xdsClient,Field,,,,,60,1,18,,private final FakeXdsClient xdsClient = new FakeXdsClient();,False
15,xdsClientPool,Field,,,,,302,13,18,,"private final ObjectPool<XdsClient> xdsClientPool = new ObjectPool<XdsClient>() {
    @Override
    public XdsClient getObject() {
      xdsClientRefs++;
      return xdsClient;
    }

    @Override
    public XdsClient returnObject(Object object) {
      xdsClientRefs--;
      return null;
    }
  };",False
16,helper,Field,,,,,56,1,2,,private LoadBalancer.Helper helper = new FakeLbHelper();,False
17,mockRandom,Field,,,,,44,2,2,,"@Mock
  private ThreadSafeRandom mockRandom;",True
18,xdsClientRefs,Field,,,,,26,1,2,,private int xdsClientRefs;,False
19,currentState,Field,,,,,39,1,2,,private ConnectivityState currentState;,False
20,currentPicker,Field,,,,,39,1,2,,private SubchannelPicker currentPicker;,False
21,loadBalancer,Field,,,,,38,1,2,,private EdsLoadBalancer2 loadBalancer;,False
22,setUp(),Method,,,"+() +getOrCreate(String,String)",,1122,27,1,,"@Before
  public void setUp() {
    MockitoAnnotations.initMocks(this);

    CallCounterProvider callCounterProvider = new CallCounterProvider() {
      @Override
      public AtomicLong getOrCreate(String cluster, @Nullable String edsServiceName) {
        return new AtomicLong();
      }
    };

    registry.register(new FakeLoadBalancerProvider(PRIORITY_POLICY_NAME));
    registry.register(new FakeLoadBalancerProvider(LRS_POLICY_NAME));
    loadBalancer = new EdsLoadBalancer2(helper, registry, mockRandom);
    loadBalancer.handleResolvedAddresses(
        ResolvedAddresses.newBuilder()
            .setAddresses(Collections.<EquivalentAddressGroup>emptyList())
            .setAttributes(
                Attributes.newBuilder()
                    .set(XdsAttributes.XDS_CLIENT_POOL, xdsClientPool)
                    .set(XdsAttributes.CALL_COUNTER_PROVIDER, callCounterProvider)
                    .build())
            .setLoadBalancingPolicyConfig(
                new EdsConfig(
                    CLUSTER, EDS_SERVICE_NAME, LRS_SERVER_NAME, null, weightedTarget, roundRobin))
            .build());
  }",False
23,tearDown(),Method,,,io.grpc.xds.EdsLoadBalancer2+shutdown() io.grpc.xds.EdsLoadBalancer2+shutdown(),io.grpc.xds.EdsLoadBalancer2Test+loadBalancer io.grpc.xds.EdsLoadBalancer2Test+xdsClient io.grpc.xds.EdsLoadBalancer2Test.FakeXdsClient+watchers io.grpc.xds.EdsLoadBalancer2Test+xdsClient io.grpc.xds.EdsLoadBalancer2Test.FakeXdsClient+clusterStats io.grpc.xds.EdsLoadBalancer2Test+xdsClientRefs io.grpc.xds.EdsLoadBalancer2Test+downstreamBalancers,253,8,1,,"@After
  public void tearDown() {
    loadBalancer.shutdown();
    assertThat(xdsClient.watchers).isEmpty();
    assertThat(xdsClient.clusterStats).isEmpty();
    assertThat(xdsClientRefs).isEqualTo(0);
    assertThat(downstreamBalancers).isEmpty();
  }",False
