index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,HOSTNAME,Field,,,,,60,1,26,,"private static final String HOSTNAME = ""foo.googleapis.com"";",False
2,PORT,Field,,,,,37,1,26,,private static final int PORT = 8080;,False
3,NODE,Field,,,,,59,1,26,,private static final Node NODE = Node.getDefaultInstance();,False
4,RPC_RETRY_TASK_FILTER,Field,,,,,289,7,26,,"private static final FakeClock.TaskFilter RPC_RETRY_TASK_FILTER =
      new FakeClock.TaskFilter() {
        @Override
        public boolean shouldAccept(Runnable command) {
          return command.toString().contains(XdsClientImpl.RpcRetryTask.class.getSimpleName());
        }
      };",False
5,cleanupRule,Field,,,,,73,2,17,,"@Rule
  public final GrpcCleanupRule cleanupRule = new GrpcCleanupRule();",False
6,syncContext,Field,,,,,264,7,18,,"private final SynchronizationContext syncContext = new SynchronizationContext(
      new Thread.UncaughtExceptionHandler() {
        @Override
        public void uncaughtException(Thread t, Throwable e) {
          throw new AssertionError(e);
        }
      });",False
7,fakeClock,Field,,,,,52,1,18,,private final FakeClock fakeClock = new FakeClock();,False
8,responseObservers,Field,,,,,94,1,18,,private final Queue<StreamObserver<DiscoveryResponse>> responseObservers = new ArrayDeque<>();,False
9,requestObservers,Field,,,,,92,1,18,,private final Queue<StreamObserver<DiscoveryRequest>> requestObservers = new ArrayDeque<>();,False
10,callEnded,Field,,,,,64,1,18,,private final AtomicBoolean callEnded = new AtomicBoolean(true);,False
11,mockedDiscoveryService,Field,,,,,74,2,2,,"@Mock
  private AggregatedDiscoveryServiceImplBase mockedDiscoveryService;",False
12,backoffPolicyProvider,Field,,,,,61,2,2,,"@Mock
  private BackoffPolicy.Provider backoffPolicyProvider;",False
13,backoffPolicy1,Field,,,,,45,2,2,,"@Mock
  private BackoffPolicy backoffPolicy1;",False
14,backoffPolicy2,Field,,,,,45,2,2,,"@Mock
  private BackoffPolicy backoffPolicy2;",False
15,configWatcher,Field,,,,,44,2,2,,"@Mock
  private ConfigWatcher configWatcher;",False
16,clusterWatcher,Field,,,,,46,2,2,,"@Mock
  private ClusterWatcher clusterWatcher;",False
17,endpointWatcher,Field,,,,,48,2,2,,"@Mock
  private EndpointWatcher endpointWatcher;",False
18,channel,Field,,,,,31,1,2,,private ManagedChannel channel;,False
19,xdsClient,Field,,,,,32,1,2,,private XdsClientImpl xdsClient;,False
