index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,handler,Field,,,,,35,1,2,,private NettyClientHandler handler;,False
2,channel,Field,,,,,32,2,2,,"@Mock
  private Channel channel;",True
3,ctx,Field,inboundHeadersShouldForwardToStream() inboundDataShouldForwardToStream(),,,,42,2,2,,"@Mock
  private ChannelHandlerContext ctx;",True
4,future,Field,,,,,37,2,2,,"@Mock
  private ChannelFuture future;",True
5,promise,Field,,,,,39,2,2,,"@Mock
  private ChannelPromise promise;",True
6,stream,Field,,,,,41,2,2,,"@Mock
  private NettyClientStream stream;",False
7,method,Field,,,,,46,2,2,,"@Mock
  private MethodDescriptor<?, ?> method;",False
8,frameListener,Field,,,,,49,2,2,,"@Mock
  private Http2FrameListener frameListener;",True
9,frameWriter,Field,,,,,37,1,2,,private Http2FrameWriter frameWriter;,True
10,frameReader,Field,,,,,37,1,2,,private Http2FrameReader frameReader;,True
11,content,Field,,,,,24,1,2,,private ByteBuf content;,False
12,setup(),Method,,,"com.google.net.stubby.newtransport.netty.NettyClientHandler+NettyClientHandler(String,boolean,Http2StreamRemovalPolicy) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+mockContext() com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+mockContext() com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+mockFuture(boolean) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+mockFuture(boolean) com.google.net.stubby.MethodDescriptor+getName() com.google.net.stubby.MethodDescriptor+getName() com.google.net.stubby.MethodDescriptor+getHeaders() com.google.net.stubby.MethodDescriptor+getHeaders() com.google.net.stubby.newtransport.AbstractStream+state() com.google.net.stubby.newtransport.AbstractStream+state() com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+serializeSettings(Http2Settings) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+serializeSettings(Http2Settings) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+mockContext() com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+mockContext()",com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+frameWriter com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+frameReader com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+handler com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+content com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+channel com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+method com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+method com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+stream com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+handler com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+handler com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx,1039,28,1,,"@Before
  public void setup() throws Exception {
    MockitoAnnotations.initMocks(this);

    frameWriter = new DefaultHttp2FrameWriter();
    frameReader = new DefaultHttp2FrameReader();
    handler = new NettyClientHandler(""www.fake.com"", true, immediateRemovalPolicy());
    content = Unpooled.copiedBuffer(""hello world"", UTF_8);

    when(channel.isActive()).thenReturn(true);
    mockContext();
    mockFuture(true);

    when(method.getName()).thenReturn(""fakemethod"");
    when(method.getHeaders()).thenReturn(ImmutableMap.of(""auth"", ""sometoken""));
    when(stream.state()).thenReturn(StreamState.OPEN);

    // Simulate activation of the handler to force writing of the initial settings
    handler.handlerAdded(ctx);

    // Simulate receipt of initial remote settings.
    ByteBuf serializedSettings = serializeSettings(new Http2Settings());
    handler.channelRead(ctx, serializedSettings);

    // Reset the context to clear any interactions resulting from the HTTP/2
    // connection preface handshake.
    mockContext();
  }",False
13,createStreamShouldSucceed(),Method,,,"com.google.net.stubby.newtransport.netty.NettyClientHandler+write(ChannelHandlerContext,Object,ChannelPromise) com.google.net.stubby.newtransport.netty.NettyClientHandler+write(ChannelHandlerContext,Object,ChannelPromise) com.google.net.stubby.newtransport.netty.CreateStreamCommand+CreateStreamCommand(MethodDescriptor<?,?>,NettyClientStream) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+captureWrite(ChannelHandlerContext) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+captureWrite(ChannelHandlerContext) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+newContext() com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+newContext()",com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+handler com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+method com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+stream com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+promise com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+promise com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+stream com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+frameReader com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+frameListener com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+frameListener,1094,27,1,,"@Test
  public void createStreamShouldSucceed() throws Exception {
    handler.write(ctx, new CreateStreamCommand(method, stream), promise);
    verify(promise).setSuccess();
    verify(stream).id(eq(3));

    // Capture and verify the written headers frame.
    ByteBuf serializedHeaders = captureWrite(ctx);
    ChannelHandlerContext ctx = newContext();
    frameReader.readFrame(ctx, serializedHeaders, frameListener);
    ArgumentCaptor<Http2Headers> captor = ArgumentCaptor.forClass(Http2Headers.class);
    verify(frameListener).onHeadersRead(eq(ctx),
        eq(3),
        captor.capture(),
        eq(0),
        eq(Http2CodecUtil.DEFAULT_PRIORITY_WEIGHT),
        eq(false),
        eq(0),
        eq(false));
    Http2Headers headers = captor.getValue();
    assertEquals(""https"", headers.scheme());
    assertEquals(HTTP_METHOD, headers.method());
    assertEquals(""www.fake.com"", headers.authority());
    assertEquals(CONTENT_TYPE_PROTORPC, headers.get(CONTENT_TYPE_HEADER));
    assertEquals(""/fakemethod"", headers.path());
    assertEquals(""sometoken"", headers.get(""auth""));
  }",False
14,cancelShouldSucceed(),Method,,,"com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+createStream() com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+createStream() com.google.net.stubby.newtransport.netty.NettyClientHandler+write(ChannelHandlerContext,Object,ChannelPromise) com.google.net.stubby.newtransport.netty.NettyClientHandler+write(ChannelHandlerContext,Object,ChannelPromise) com.google.net.stubby.newtransport.netty.CancelStreamCommand+CancelStreamCommand(NettyClientStream) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+rstStreamFrame(int,int) com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+rstStreamFrame(int,int)",com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+handler com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+stream com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+promise com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+promise com.google.net.stubby.newtransport.netty.NettyClientHandlerTest+ctx,295,10,1,,"@Test
  public void cancelShouldSucceed() throws Exception {
    createStream();

    handler.write(ctx, new CancelStreamCommand(stream), promise);

    ByteBuf expected = rstStreamFrame(3, Http2Error.CANCEL.code());
    verify(ctx).write(eq(expected), eq(promise));
    verify(ctx).flush();
  }",False
