index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,CONTEXT_KEY,Field,,,,,48,1,26,,"private static final String CONTEXT_KEY = ""key"";",True
2,MESSAGE,Field,,,,,52,1,26,,"private static final String MESSAGE = ""hello world"";",True
3,stream,Field,,,,,33,1,2,,private NettyClientStream stream;,False
4,listener,Field,,,,,40,2,2,,"@Mock
  private StreamListener listener;",True
5,channel,Field,,,,,32,2,2,,"@Mock
  private Channel channel;",True
6,future,Field,,,,,37,2,2,,"@Mock
  private ChannelFuture future;",True
7,promise,Field,,,,,39,2,2,,"@Mock
  private ChannelPromise promise;",True
8,eventLoop,Field,,,,,36,2,2,,"@Mock
  private EventLoop eventLoop;",True
9,input,Field,,,,,26,1,2,,private InputStream input;,True
10,accepted,Field,,,,,34,2,2,,"@Mock
  private Runnable accepted;",True
11,setup(),Method,,,"com.google.net.stubby.newtransport.netty.NettyClientStreamTest+mockChannelFuture(boolean) com.google.net.stubby.newtransport.netty.NettyClientStreamTest+mockChannelFuture(boolean) com.google.net.stubby.newtransport.netty.NettyClientStream+NettyClientStream(StreamListener,Channel) com.google.net.stubby.newtransport.AbstractStream+state() com.google.net.stubby.newtransport.AbstractStream+state() java.io.ByteArrayInputStream+ByteArrayInputStream(byte[]) java.lang.String+getBytes(String) java.lang.String+getBytes(String)",com.google.net.stubby.newtransport.netty.NettyClientStreamTest+channel com.google.net.stubby.newtransport.netty.NettyClientStreamTest+future com.google.net.stubby.newtransport.netty.NettyClientStreamTest+channel com.google.net.stubby.newtransport.netty.NettyClientStreamTest+future com.google.net.stubby.newtransport.netty.NettyClientStreamTest+channel com.google.net.stubby.newtransport.netty.NettyClientStreamTest+channel com.google.net.stubby.newtransport.netty.NettyClientStreamTest+eventLoop com.google.net.stubby.newtransport.netty.NettyClientStreamTest+eventLoop com.google.net.stubby.newtransport.netty.NettyClientStreamTest+stream com.google.net.stubby.newtransport.netty.NettyClientStreamTest+listener com.google.net.stubby.newtransport.netty.NettyClientStreamTest+channel com.google.net.stubby.newtransport.netty.NettyClientStreamTest+stream com.google.net.stubby.newtransport.netty.NettyClientStreamTest+input com.google.net.stubby.newtransport.netty.NettyClientStreamTest+MESSAGE,563,15,1,,"@Before
  public void setup() {
    MockitoAnnotations.initMocks(this);

    mockChannelFuture(true);
    when(channel.write(any())).thenReturn(future);
    when(channel.writeAndFlush(any())).thenReturn(future);
    when(channel.alloc()).thenReturn(UnpooledByteBufAllocator.DEFAULT);
    when(channel.eventLoop()).thenReturn(eventLoop);
    when(eventLoop.inEventLoop()).thenReturn(true);

    stream = new NettyClientStream(listener, channel);
    assertEquals(StreamState.OPEN, stream.state());
    input = new ByteArrayInputStream(MESSAGE.getBytes(UTF_8));
  }",False
12,closeShouldSucceed(),Method,,,com.google.net.stubby.newtransport.netty.NettyClientStream+id(int) com.google.net.stubby.newtransport.netty.NettyClientStream+id(int) com.google.net.stubby.newtransport.AbstractStream+halfClose() com.google.net.stubby.newtransport.AbstractStream+halfClose() com.google.net.stubby.newtransport.AbstractStream+state() com.google.net.stubby.newtransport.AbstractStream+state(),com.google.net.stubby.newtransport.netty.NettyClientStreamTest+stream com.google.net.stubby.newtransport.netty.NettyClientStreamTest+stream com.google.net.stubby.newtransport.netty.NettyClientStreamTest+stream,175,7,1,,"@Test
  public void closeShouldSucceed() {
    // Force stream creation.
    stream.id(1);
    stream.halfClose();
    assertEquals(StreamState.READ_ONLY, stream.state());
  }",False
13,cancelShouldSendCommand(),Method,,,com.google.net.stubby.newtransport.netty.NettyClientStream+cancel() com.google.net.stubby.newtransport.netty.NettyClientStream+cancel(),com.google.net.stubby.newtransport.netty.NettyClientStreamTest+stream com.google.net.stubby.newtransport.netty.NettyClientStreamTest+channel,139,5,1,,"@Test
  public void cancelShouldSendCommand() {
    stream.cancel();
    verify(channel).writeAndFlush(any(CancelStreamCommand.class));
  }",False
