index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,ROW_COUNT_APPROXIMATION,Field,,,,,56,1,26,,private static final long ROW_COUNT_APPROXIMATION = 100;,True
2,querySQL,Field,"replace(String,Column[],SessionLocal,boolean,boolean,boolean) init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) initColumnsAndTables(SessionLocal,boolean)",,,,24,1,2,,private String querySQL;,False
3,tables,Field,,,,,32,1,2,,private ArrayList<Table> tables;,True
4,columnTemplates,Field,"replace(String,Column[],SessionLocal,boolean,boolean,boolean) init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean)",,,,33,1,2,,private Column[] columnTemplates;,False
5,viewQuery,Field,,,,,24,1,2,,private Query viewQuery;,True
6,index,Field,,,,,24,1,2,,private ViewIndex index;,True
7,allowRecursive,Field,"replace(String,Column[],SessionLocal,boolean,boolean,boolean) init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean)",,,,31,1,2,,private boolean allowRecursive;,False
8,createException,Field,,,,,36,1,2,,private DbException createException;,False
9,lastModificationCheck,Field,,,,,35,1,2,,private long lastModificationCheck;,True
10,maxDataModificationId,Field,,,,,35,1,2,,private long maxDataModificationId;,True
11,owner,Field,setOwner(User),,,,19,1,2,,private User owner;,True
12,topQuery,Field,setTopQuery(Query),,,,23,1,2,,private Query topQuery;,True
13,recursiveResult,Field,setRecursiveResult(ResultInterface),,,,40,1,2,,private ResultInterface recursiveResult;,False
14,isRecursiveQueryDetected,Field,"init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) initColumnsAndTables(SessionLocal,boolean)",,,,41,1,2,,private boolean isRecursiveQueryDetected;,False
15,isTableExpression,Field,"init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean)",,,,34,1,2,,private boolean isTableExpression;,False
16,isSubquery,Field,"TableView(Schema,int,String,String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean,boolean,boolean)",,,,27,1,2,,private boolean isSubquery;,True
17,"TableView(Schema,int,String,String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean,boolean,boolean)",Method,,,"org.h2.engine.DbObject+setTemporary(boolean) org.h2.engine.DbObject+setTemporary(boolean) org.h2.table.TableView+init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) org.h2.table.TableView+init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean)",org.h2.table.TableView+isSubquery org.h2.table.TableView+isSubquery,536,9,1,,"public TableView(Schema schema, int id, String name, String querySQL,
            ArrayList<Parameter> params, Column[] columnTemplates, SessionLocal session,
            boolean allowRecursive, boolean literalsChecked, boolean isTableExpression, boolean isTemporary,
            boolean isSubquery) {
        super(schema, id, name, false, true);
        setTemporary(isTemporary);
        this.isSubquery = isSubquery;
        init(querySQL, params, columnTemplates, session, allowRecursive, literalsChecked, isTableExpression);
    }",False
18,"replace(String,Column[],SessionLocal,boolean,boolean,boolean)",Method,,org.h2.command.ddl.CreateView+update(Schema),"org.h2.table.TableView+init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) org.h2.table.TableView+init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) org.h2.table.TableView+recompile(SessionLocal,boolean,boolean) org.h2.table.TableView+recompile(SessionLocal,boolean,boolean) org.h2.table.TableView+init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) org.h2.table.TableView+init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) org.h2.table.TableView+recompile(SessionLocal,boolean,boolean) org.h2.table.TableView+recompile(SessionLocal,boolean,boolean)",org.h2.table.TableView+querySQL org.h2.table.TableView+querySQL org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+allowRecursive org.h2.table.TableView+allowRecursive org.h2.table.TableView+isTableExpression org.h2.table.TableView+isTableExpression,1135,25,1,"/** 
 * Try to replace the SQL statement of the view and re-compile this and all dependent views.
 * @param querySQL the SQL statement
 * @param newColumnTemplates the columns
 * @param session the session
 * @param recursive whether this is a recursive view
 * @param force if errors should be ignored
 * @param literalsChecked if literals have been checked
 */
","/**
     * Try to replace the SQL statement of the view and re-compile this and all
     * dependent views.
     *
     * @param querySQL the SQL statement
     * @param newColumnTemplates the columns
     * @param session the session
     * @param recursive whether this is a recursive view
     * @param force if errors should be ignored
     * @param literalsChecked if literals have been checked
     */
    public void replace(String querySQL,  Column[] newColumnTemplates, SessionLocal session,
            boolean recursive, boolean force, boolean literalsChecked) {
        String oldQuerySQL = this.querySQL;
        Column[] oldColumnTemplates = this.columnTemplates;
        boolean oldRecursive = this.allowRecursive;
        init(querySQL, null, newColumnTemplates, session, recursive, literalsChecked, isTableExpression);
        DbException e = recompile(session, force, true);
        if (e != null) {
            init(oldQuerySQL, null, oldColumnTemplates, session, oldRecursive,
                    literalsChecked, isTableExpression);
            recompile(session, true, false);
            throw e;
        }
    }",False
19,"init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean)",Method,"TableView(Schema,int,String,String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean,boolean,boolean) replace(String,Column[],SessionLocal,boolean,boolean,boolean) replace(String,Column[],SessionLocal,boolean,boolean,boolean)",,"org.h2.index.ViewIndex+ViewIndex(TableView,String,ArrayList<Parameter>,boolean) org.h2.table.TableView+initColumnsAndTables(SessionLocal,boolean) org.h2.table.TableView+initColumnsAndTables(SessionLocal,boolean)",org.h2.table.TableView+querySQL org.h2.table.TableView+querySQL org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+allowRecursive org.h2.table.TableView+allowRecursive org.h2.table.TableView+isRecursiveQueryDetected org.h2.table.TableView+isRecursiveQueryDetected org.h2.table.TableView+isTableExpression org.h2.table.TableView+isTableExpression org.h2.table.TableView+index,586,11,34,,"private synchronized void init(String querySQL, ArrayList<Parameter> params,
            Column[] columnTemplates, SessionLocal session, boolean allowRecursive, boolean literalsChecked,
            boolean isTableExpression) {
        this.querySQL = querySQL;
        this.columnTemplates = columnTemplates;
        this.allowRecursive = allowRecursive;
        this.isRecursiveQueryDetected = false;
        this.isTableExpression = isTableExpression;
        index = new ViewIndex(this, querySQL, params, allowRecursive);
        initColumnsAndTables(session, literalsChecked);
    }",False
20,"compileViewQuery(SessionLocal,String,boolean)",Method,"recompile(SessionLocal,boolean,boolean) initColumnsAndTables(SessionLocal,boolean)",,"org.h2.engine.SessionLocal+setParsingCreateView(boolean) org.h2.engine.SessionLocal+setParsingCreateView(boolean) org.h2.engine.SessionLocal+prepare(String,boolean,boolean) org.h2.engine.SessionLocal+prepare(String,boolean,boolean) org.h2.engine.SessionLocal+setParsingCreateView(boolean) org.h2.engine.SessionLocal+setParsingCreateView(boolean) org.h2.message.DbException+getSyntaxError(String,int) org.h2.message.DbException+getSyntaxError(String,int) org.h2.command.query.Query+setNeverLazy(boolean) org.h2.command.query.Query+setNeverLazy(boolean)",org.h2.table.TableView+isTableExpression org.h2.table.TableView+allowRecursive,629,18,2,,"private Query compileViewQuery(SessionLocal session, String sql, boolean literalsChecked) {
        Prepared p;
        session.setParsingCreateView(true);
        try {
            p = session.prepare(sql, false, literalsChecked);
        } finally {
            session.setParsingCreateView(false);
        }
        if (!(p instanceof Query)) {
            throw DbException.getSyntaxError(sql, 0);
        }
        Query q = (Query) p;
        // only potentially recursive cte queries need to be non-lazy
        if (isTableExpression && allowRecursive) {
            q.setNeverLazy(true);
        }
        return q;
    }",False
21,"recompile(SessionLocal,boolean,boolean)",Method,"replace(String,Column[],SessionLocal,boolean,boolean,boolean) replace(String,Column[],SessionLocal,boolean,boolean,boolean) recompile(SessionLocal,boolean,boolean)",org.h2.command.ddl.AlterView+update() org.h2.engine.Database+recompileInvalidViews(),"org.h2.table.TableView+compileViewQuery(SessionLocal,String,boolean) org.h2.table.TableView+compileViewQuery(SessionLocal,String,boolean) org.h2.table.Table+getDependentViews() org.h2.table.Table+getDependentViews() org.h2.table.TableView+initColumnsAndTables(SessionLocal,boolean) org.h2.table.TableView+initColumnsAndTables(SessionLocal,boolean) org.h2.table.TableView+recompile(SessionLocal,boolean,boolean) org.h2.table.TableView+recompile(SessionLocal,boolean,boolean) org.h2.table.TableView+clearIndexCaches(Database) org.h2.table.TableView+clearIndexCaches(Database)",org.h2.table.TableView+querySQL org.h2.engine.DbObject+database org.h2.table.TableView+createException,1134,31,33,"/** 
 * Re-compile the view query and all views that depend on this object.
 * @param session the session
 * @param force if exceptions should be ignored
 * @param clearIndexCache if we need to clear view index cache
 * @return the exception if re-compiling this or any dependent view failed(only when force is disabled)
 */
","/**
     * Re-compile the view query and all views that depend on this object.
     *
     * @param session the session
     * @param force if exceptions should be ignored
     * @param clearIndexCache if we need to clear view index cache
     * @return the exception if re-compiling this or any dependent view failed
     *         (only when force is disabled)
     */
    public synchronized DbException recompile(SessionLocal session, boolean force,
            boolean clearIndexCache) {
        try {
            compileViewQuery(session, querySQL, false);
        } catch (DbException e) {
            if (!force) {
                return e;
            }
        }
        ArrayList<TableView> dependentViews = new ArrayList<>(getDependentViews());
        initColumnsAndTables(session, false);
        for (TableView v : dependentViews) {
            DbException e = v.recompile(session, force, false);
            if (e != null && !force) {
                return e;
            }
        }
        if (clearIndexCache) {
            clearIndexCaches(database);
        }
        return force ? null : createException;
    }",False
22,"initColumnsAndTables(SessionLocal,boolean)",Method,"init(String,ArrayList<Parameter>,Column[],SessionLocal,boolean,boolean,boolean) recompile(SessionLocal,boolean,boolean)",,"org.h2.table.TableView+removeCurrentViewFromOtherTables() org.h2.table.TableView+removeCurrentViewFromOtherTables() org.h2.table.Table+setTableExpression(boolean) org.h2.table.Table+setTableExpression(boolean) org.h2.table.TableView+compileViewQuery(SessionLocal,String,boolean) org.h2.table.TableView+compileViewQuery(SessionLocal,String,boolean) org.h2.command.Prepared+getPlanSQL(int) org.h2.command.Prepared+getPlanSQL(int) org.h2.command.query.Query+getTables() org.h2.command.query.Query+getTables() org.h2.command.query.Query+getExpressions() org.h2.command.query.Query+getExpressions() org.h2.command.query.Query+getColumnCount() org.h2.command.query.Query+getColumnCount() java.util.ArrayList+get(int) java.util.ArrayList+get(int) org.h2.table.Column+getName() org.h2.table.Column+getName() org.h2.table.Column+getType() org.h2.table.Column+getType() org.h2.expression.Expression+getAlias(SessionLocal,int) org.h2.expression.Expression+getAlias(SessionLocal,int) org.h2.expression.Expression+getColumnNameForView(SessionLocal,int) org.h2.expression.Expression+getColumnNameForView(SessionLocal,int) org.h2.value.TypeInfo+getValueType() org.h2.value.TypeInfo+getValueType() org.h2.expression.Expression+getType() org.h2.expression.Expression+getType() java.util.ArrayList+add(E) java.util.ArrayList+add(E) org.h2.table.Column+Column(String,TypeInfo,Table,int) java.util.ArrayList+toArray(T[]) java.util.ArrayList+toArray(T[]) org.h2.message.DbException+getErrorCode() org.h2.message.DbException+getErrorCode() org.h2.message.DbException+addSQL(String) org.h2.message.DbException+addSQL(String) org.h2.table.TableView+getCreateSQL() org.h2.table.TableView+getCreateSQL() org.h2.table.TableView+isRecursiveQueryExceptionDetected(DbException) org.h2.table.TableView+isRecursiveQueryExceptionDetected(DbException) org.h2.util.Utils+newSmallArrayList() org.h2.util.Utils+newSmallArrayList() org.h2.table.Column+getClone() org.h2.table.Column+getClone() org.h2.index.ViewIndex+setRecursive(boolean) org.h2.index.ViewIndex+setRecursive(boolean) org.h2.table.Table+setColumns(Column[]) org.h2.table.Table+setColumns(Column[]) org.h2.engine.DbObject+getId() org.h2.engine.DbObject+getId() org.h2.table.TableView+addDependentViewToTables() org.h2.table.TableView+addDependentViewToTables()",org.h2.table.TableView+isTableExpression org.h2.table.TableView+querySQL org.h2.table.TableView+querySQL org.h2.table.TableView+querySQL org.h2.util.HasSQL+DEFAULT_SQL_FLAGS org.h2.table.TableView+tables org.h2.value.TypeInfo+TYPE_UNKNOWN org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+isSubquery org.h2.value.Value+UNKNOWN org.h2.table.TableView+createException org.h2.table.TableView+viewQuery org.h2.api.ErrorCode+COLUMN_ALIAS_IS_NOT_SPECIFIED_1 org.h2.table.TableView+createException org.h2.table.TableView+createException org.h2.table.TableView+isRecursiveQueryDetected org.h2.table.TableView+isRecursiveQueryDetected org.h2.table.TableView+tables org.h2.table.TableView+allowRecursive org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+columnTemplates org.h2.table.TableView+index org.h2.table.TableView+createException,2735,60,2,,"private void initColumnsAndTables(SessionLocal session, boolean literalsChecked) {
        Column[] cols;
        removeCurrentViewFromOtherTables();
        setTableExpression(isTableExpression);
        try {
            Query compiledQuery = compileViewQuery(session, querySQL, literalsChecked);
            this.querySQL = compiledQuery.getPlanSQL(DEFAULT_SQL_FLAGS);
            tables = new ArrayList<>(compiledQuery.getTables());
            ArrayList<Expression> expressions = compiledQuery.getExpressions();
            final int count = compiledQuery.getColumnCount();
            ArrayList<Column> list = new ArrayList<>(count);
            for (int i = 0; i < count; i++) {
                Expression expr = expressions.get(i);
                String name = null;
                TypeInfo type = TypeInfo.TYPE_UNKNOWN;
                if (columnTemplates != null && columnTemplates.length > i) {
                    name = columnTemplates[i].getName();
                    type = columnTemplates[i].getType();
                }
                if (name == null) {
                    name = isSubquery ? expr.getAlias(session, i) : expr.getColumnNameForView(session, i);
                }
                if (type.getValueType() == Value.UNKNOWN) {
                    type = expr.getType();
                }
                list.add(new Column(name, type, this, i));
            }
            cols = list.toArray(new Column[0]);
            createException = null;
            viewQuery = compiledQuery;
        } catch (DbException e) {
            if (e.getErrorCode() == ErrorCode.COLUMN_ALIAS_IS_NOT_SPECIFIED_1) {
                throw e;
            }
            e.addSQL(getCreateSQL());
            createException = e;
            // If it can't be compiled, then it's a 'zero column table'
            // this avoids problems when creating the view when opening the
            // database.
            // If it can not be compiled - it could also be a recursive common
            // table expression query.
            if (isRecursiveQueryExceptionDetected(createException)) {
                this.isRecursiveQueryDetected = true;
            }
            tables = Utils.newSmallArrayList();
            cols = new Column[0];
            if (allowRecursive && columnTemplates != null) {
                cols = new Column[columnTemplates.length];
                for (int i = 0; i < columnTemplates.length; i++) {
                    cols[i] = columnTemplates[i].getClone();
                }
                index.setRecursive(true);
                createException = null;
            }
        }
        setColumns(cols);
        if (getId() != 0) {
            addDependentViewToTables();
        }
    }",False
23,isView(),Method,,,,,66,4,1,,"@Override
    public boolean isView() {
        return true;
    }",True
