index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,session,Field,"LazyResult(SessionLocal,Expression[])",,,,35,1,18,,private final SessionLocal session;,False
2,expressions,Field,"LazyResult(SessionLocal,Expression[])",,,,39,1,18,,private final Expression[] expressions;,False
3,rowId,Field,,,,,24,1,2,,private long rowId = -1;,True
4,currentRow,Field,,,,,27,1,2,,private Value[] currentRow;,True
5,nextRow,Field,,,,,24,1,2,,private Value[] nextRow;,True
6,closed,Field,,,,,23,1,2,,private boolean closed;,False
7,afterLast,Field,,,,,26,1,2,,private boolean afterLast;,True
8,limit,Field,setLimit(long),,,,19,1,2,,private long limit;,False
9,"LazyResult(SessionLocal,Expression[])",Method,,,,org.h2.result.LazyResult+session org.h2.result.LazyResult+session org.h2.result.LazyResult+expressions org.h2.result.LazyResult+expressions,145,4,1,,"public LazyResult(SessionLocal session, Expression[] expressions) {
        this.session = session;
        this.expressions = expressions;
    }",False
10,setLimit(long),Method,,"org.h2.command.query.SelectUnion+queryWithoutCache(long,ResultTarget)",,org.h2.result.LazyResult+limit org.h2.result.LazyResult+limit,68,3,1,,"public void setLimit(long limit) {
        this.limit = limit;
    }",False
11,isLazy(),Method,,,,,66,4,1,,"@Override
    public boolean isLazy() {
        return true;
    }",False
12,reset(),Method,,,org.h2.message.DbException+getInternalError() org.h2.message.DbException+getInternalError(),org.h2.result.LazyResult+closed org.h2.result.LazyResult+rowId org.h2.result.LazyResult+afterLast org.h2.result.LazyResult+currentRow org.h2.result.LazyResult+nextRow,222,10,1,,"@Override
    public void reset() {
        if (closed) {
            throw DbException.getInternalError();
        }
        rowId = -1L;
        afterLast = false;
        currentRow = null;
        nextRow = null;
    }",False
13,currentRow(),Method,,"org.h2.command.query.Select+queryGroupSorted(int,ResultTarget,long,boolean) org.h2.command.query.Select+queryFlat(int,ResultTarget,long,long,boolean,boolean) org.h2.command.query.Select+queryFlat(int,ResultTarget,long,long,boolean,boolean)",,org.h2.result.LazyResult+currentRow,76,4,1,,"@Override
    public Value[] currentRow() {
        return currentRow;
    }",True
