index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,ZERO,Field,,,,,115,4,25,"/** 
 * The value 'zero'.
 */
","/**
     * The value 'zero'.
     */
    public static final ValueNumeric ZERO = new ValueNumeric(BigDecimal.ZERO);",False
2,ONE,Field,,,,,112,4,25,"/** 
 * The value 'one'.
 */
","/**
     * The value 'one'.
     */
    public static final ValueNumeric ONE = new ValueNumeric(BigDecimal.ONE);",False
3,DEFAULT_PRECISION,Field,,,,,116,4,25,"/** 
 * The default precision for a NUMERIC value.
 */
","/**
     * The default precision for a NUMERIC value.
     */
    public static final int DEFAULT_PRECISION = 65535;",False
4,DEFAULT_SCALE,Field,,,,,104,4,25,"/** 
 * The default scale for a NUMERIC value.
 */
","/**
     * The default scale for a NUMERIC value.
     */
    public static final int DEFAULT_SCALE = 0;",False
5,DEFAULT_DISPLAY_SIZE,Field,,,,,115,4,24,"/** 
 * The default display size for a NUMERIC value.
 */
","/**
     * The default display size for a NUMERIC value.
     */
    static final int DEFAULT_DISPLAY_SIZE = 65535;",False
6,MAXIMUM_SCALE,Field,,,,,92,4,25,"/** 
 * The maximum scale.
 */
","/**
     * The maximum scale.
     */
    public static final int MAXIMUM_SCALE = 100_000;

",False
7,MINIMUM_SCALE,Field,,,,,93,4,25,"/** 
 * The minimum scale.
 */
","/**
     * The minimum scale.
     */
    public static final int MINIMUM_SCALE = -100_000;

",False
8,value,Field,"ValueNumeric(BigDecimal) divide(Value,long) compareTypeSafe(Value,CompareMode,CastDataProvider) equals(Object)",,,,31,1,18,,private final BigDecimal value;,True
9,type,Field,getType() getType(),,,,22,1,2,,private TypeInfo type;,True
10,ValueNumeric(BigDecimal),Method,,,"java.lang.IllegalArgumentException+IllegalArgumentException(String) java.lang.Object+getClass() java.lang.Object+getClass() org.h2.message.DbException+get(int,String) org.h2.message.DbException+get(int,String) java.lang.Class+getName() java.lang.Class+getName() java.lang.Class+getName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getName()",org.h2.api.ErrorCode+INVALID_CLASS_2 org.h2.value.ValueNumeric+value org.h2.value.ValueNumeric+value,366,9,2,,"private ValueNumeric(BigDecimal value) {
        if (value == null) {
            throw new IllegalArgumentException(""null"");
        } else if (value.getClass() != BigDecimal.class) {
            throw DbException.get(ErrorCode.INVALID_CLASS_2,
                    BigDecimal.class.getName(), value.getClass().getName());
        }
        this.value = value;
    }",False
11,add(Value),Method,,,org.h2.value.ValueNumeric+get(BigDecimal) org.h2.value.ValueNumeric+get(BigDecimal) java.math.BigDecimal+add(BigDecimal) java.math.BigDecimal+add(BigDecimal),org.h2.value.ValueNumeric+value org.h2.value.ValueNumeric+value,147,5,1,,"@Override
    public Value add(Value v) {
        ValueNumeric dec = (ValueNumeric) v;
        return ValueNumeric.get(value.add(dec.value));
    }",True
12,subtract(Value),Method,,,org.h2.value.ValueNumeric+get(BigDecimal) org.h2.value.ValueNumeric+get(BigDecimal) java.math.BigDecimal+subtract(BigDecimal) java.math.BigDecimal+subtract(BigDecimal),org.h2.value.ValueNumeric+value org.h2.value.ValueNumeric+value,157,5,1,,"@Override
    public Value subtract(Value v) {
        ValueNumeric dec = (ValueNumeric) v;
        return ValueNumeric.get(value.subtract(dec.value));
    }",True
13,negate(),Method,,,org.h2.value.ValueNumeric+get(BigDecimal) org.h2.value.ValueNumeric+get(BigDecimal) java.math.BigDecimal+negate() java.math.BigDecimal+negate(),org.h2.value.ValueNumeric+value,92,4,1,,"@Override
    public Value negate() {
        return ValueNumeric.get(value.negate());
    }",True
