index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,OpType,op type ,Field,,,,,18,1,1,,public enum OpType,False,False,,False,
2,opType,op type this operation represents a modulus as in 5 2 ,Field,"BinaryOperation(OpType,Expression,Expression)",,,,22,1,2,"/** 
 * This operation represents a modulus as in 5 % 2.
 */
",private OpType opType;,False,False,"/** 
 * This operation represents a modulus as in 5 % 2.
 */
",False,"/** 
 * This operation represents a modulus as in 5 % 2.
 */
"
3,left,left ,Field,"BinaryOperation(OpType,Expression,Expression)",,,,31,1,2,,"private Expression left, right;",True,True,,False,
4,right,right ,Field,"BinaryOperation(OpType,Expression,Expression)",,,,31,1,2,,"private Expression left, right;",True,True,,False,
5,type,type ,Field,,,,,22,1,2,,private TypeInfo type;,True,True,,False,
6,forcedType,forced type ,Field,setForcedType(TypeInfo),,,,28,1,2,,private TypeInfo forcedType;,False,False,,False,
7,convertRight,convert right ,Field,,,,,36,1,2,,private boolean convertRight = true;,False,False,,False,
8,"BinaryOperation(OpType,Expression,Expression)",binary operation op type left right ,Method,,,,org.h2.expression.BinaryOperation+opType org.h2.expression.BinaryOperation+opType org.h2.expression.BinaryOperation+left org.h2.expression.BinaryOperation+left org.h2.expression.BinaryOperation+right org.h2.expression.BinaryOperation+right,164,5,1,,"public BinaryOperation(OpType opType, Expression left, Expression right) {
        this.opType = opType;
        this.left = left;
        this.right = right;
    }",False,False,"The function of the method is to initialize a BinaryOperation object with the specified operation type, left expression, and right expression.",True,"The given code defines a constructor for a BinaryOperation class that takes in an operation type, a left expression, and a right expression as parameters. It initializes the instance variables of the class with the provided values."
9,setForcedType(TypeInfo),set forced type forced type sets a forced data type of a datetime minus datetime operation param forced type the forced data type ,Method,,,org.h2.expression.BinaryOperation+getUnexpectedForcedTypeException() org.h2.expression.BinaryOperation+getUnexpectedForcedTypeException(),org.h2.expression.BinaryOperation+opType org.h2.expression.BinaryOperation+OpType org.h2.expression.BinaryOperation+forcedType org.h2.expression.BinaryOperation+forcedType,334,11,1,"/** 
 * Sets a forced data type of a datetime minus datetime operation.
 * @param forcedType the forced data type
 */
","/**
     * Sets a forced data type of a datetime minus datetime operation.
     *
     * @param forcedType the forced data type
     */
    public void setForcedType(TypeInfo forcedType) {
        if (opType != OpType.MINUS) {
            throw getUnexpectedForcedTypeException();
        }
        this.forcedType = forcedType;
    }",False,False,This method sets a forced data type for a datetime minus datetime operation. It throws an exception if the operation type is not minus.,False,"This code defines a method called ""setForcedType"" that sets a forced data type for a datetime minus datetime operation. It takes a parameter called ""forcedType"" of type ""TypeInfo"" and throws an exception if the operation type is not ""MINUS"". The method then assigns the ""forcedType"" parameter to the ""this.forcedType"" variable."
10,"getSQL(StringBuilder,int)",get sql builder sql flags ,Method,getUnexpectedForcedTypeException(),,"java.lang.StringBuilder+append(char) java.lang.StringBuilder+append(char) java.lang.StringBuilder+append(char) java.lang.StringBuilder+append(String) java.lang.StringBuilder+append(char) org.h2.util.HasSQL+getSQL(StringBuilder,int) org.h2.util.HasSQL+getSQL(StringBuilder,int) java.lang.StringBuilder+append(char) java.lang.StringBuilder+append(String) org.h2.expression.BinaryOperation+getOperationToken() org.h2.expression.BinaryOperation+getOperationToken() java.lang.StringBuilder+append(char) java.lang.StringBuilder+append(char) org.h2.util.HasSQL+getSQL(StringBuilder,int) org.h2.util.HasSQL+getSQL(StringBuilder,int) java.lang.StringBuilder+append(char)",org.h2.expression.BinaryOperation+left org.h2.expression.BinaryOperation+right,382,8,1,,"@Override
    public StringBuilder getSQL(StringBuilder builder, int sqlFlags) {
        // don't remove the space, otherwise it might end up some thing like
        // --1 which is a line remark
        builder.append('(');
        left.getSQL(builder, sqlFlags).append(' ').append(getOperationToken()).append(' ');
        return right.getSQL(builder, sqlFlags).append(')');
    }",False,False,"This method appends SQL code to a StringBuilder object. It takes a StringBuilder object and an integer as parameters, and returns the modified StringBuilder object.",True,"This code is an implementation of the `getSQL` method, which is overridden from a superclass. It appends a left expression, an operation token, and a right expression to a `StringBuilder` object, enclosed in parentheses. The resulting SQL string represents a query with the specified SQL flags."
