index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,NULL_BYTES,Field,,,,,230,3,26,,"private static final byte[] NULL_BYTES = ""null"".getBytes(StandardCharsets.ISO_8859_1),
            TRUE_BYTES = ""true"".getBytes(StandardCharsets.ISO_8859_1),
            FALSE_BYTES = ""false"".getBytes(StandardCharsets.ISO_8859_1);",False
2,TRUE_BYTES,Field,,,,,230,3,26,,"private static final byte[] NULL_BYTES = ""null"".getBytes(StandardCharsets.ISO_8859_1),
            TRUE_BYTES = ""true"".getBytes(StandardCharsets.ISO_8859_1),
            FALSE_BYTES = ""false"".getBytes(StandardCharsets.ISO_8859_1);",False
3,FALSE_BYTES,Field,,,,,230,3,26,,"private static final byte[] NULL_BYTES = ""null"".getBytes(StandardCharsets.ISO_8859_1),
            TRUE_BYTES = ""true"".getBytes(StandardCharsets.ISO_8859_1),
            FALSE_BYTES = ""false"".getBytes(StandardCharsets.ISO_8859_1);",False
4,,Field,,,,,111,4,25,"/** 
 * {@code null} JSON value.
 */
","/**
     * {@code null} JSON value.
     */
    public static final ValueJson NULL = new ValueJson(NULL_BYTES);",False
5,TRUE,Field,,,,,111,4,25,"/** 
 * {@code true} JSON value.
 */
","/**
     * {@code true} JSON value.
     */
    public static final ValueJson TRUE = new ValueJson(TRUE_BYTES);",False
6,FALSE,Field,,,,,114,4,25,"/** 
 * {@code false} JSON value.
 */
","/**
     * {@code false} JSON value.
     */
    public static final ValueJson FALSE = new ValueJson(FALSE_BYTES);",False
7,ZERO,Field,,,,,116,4,25,"/** 
 * {@code 0} JSON value.
 */
","/**
     * {@code 0} JSON value.
     */
    public static final ValueJson ZERO = new ValueJson(new byte[] { '0' });",False
8,value,Field,"ValueJson(byte[]) equals(Object) compareTypeSafe(Value,CompareMode,CastDataProvider)",,,,27,1,18,,private final byte[] value;,True
9,hash,Field,,,,,55,4,2,"/** 
 * The hash code.
 */
","/**
     * The hash code.
     */
    private int hash;",True
10,ValueJson(byte[]),Method,,,,org.h2.value.ValueJson+value org.h2.value.ValueJson+value,67,3,2,,"private ValueJson(byte[] value) {
        this.value = value;
    }",False
