index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,function,Field,"FunctionTable(Schema,Session,Expression,FunctionCall)",,,,36,1,18,,private final FunctionCall function;,False
2,rowCount,Field,,,,,28,1,18,,private final long rowCount;,False
3,functionExpr,Field,"FunctionTable(Schema,Session,Expression,FunctionCall)",,,,32,1,2,,private Expression functionExpr;,False
4,"FunctionTable(Schema,Session,Expression,FunctionCall)",Method,,,"org.h2.expression.function.FunctionCall+getName() org.h2.expression.function.FunctionCall+getName() org.h2.expression.function.TableFunction+getRowCount() org.h2.expression.function.TableFunction+getRowCount() org.h2.expression.function.FunctionCall+optimize(Session) org.h2.expression.function.FunctionCall+optimize(Session) org.h2.expression.function.FunctionCall+getValueType() org.h2.expression.function.FunctionCall+getValueType() org.h2.message.DbException+get(int,String) org.h2.message.DbException+get(int,String) org.h2.expression.function.FunctionCall+getName() org.h2.expression.function.FunctionCall+getName() org.h2.expression.function.FunctionCall+getArgs() org.h2.expression.function.FunctionCall+getArgs() org.h2.expression.Expression+optimize(Session) org.h2.expression.Expression+optimize(Session) org.h2.expression.function.FunctionCall+getValueForColumnList(Session,Expression[]) org.h2.expression.function.FunctionCall+getValueForColumnList(Session,Expression[]) org.h2.message.DbException+get(int,String) org.h2.message.DbException+get(int,String) org.h2.expression.function.FunctionCall+getName() org.h2.expression.function.FunctionCall+getName() org.h2.value.ValueResultSet+getResult() org.h2.value.ValueResultSet+getResult() org.h2.result.ResultInterface+getVisibleColumnCount() org.h2.result.ResultInterface+getVisibleColumnCount() org.h2.table.Column+Column(String,TypeInfo) org.h2.result.ResultInterface+getColumnName(int) org.h2.result.ResultInterface+getColumnName(int) org.h2.result.ResultInterface+getColumnType(int) org.h2.result.ResultInterface+getColumnType(int) org.h2.table.Table+setColumns(Column[]) org.h2.table.Table+setColumns(Column[])",org.h2.table.FunctionTable+functionExpr org.h2.table.FunctionTable+functionExpr org.h2.table.FunctionTable+function org.h2.table.FunctionTable+function org.h2.table.FunctionTable+rowCount org.h2.table.FunctionTable+rowCount java.lang.Long+MAX_VALUE org.h2.value.Value+RESULT_SET org.h2.api.ErrorCode+FUNCTION_MUST_RETURN_RESULT_SET_1 org.h2.api.ErrorCode+FUNCTION_MUST_RETURN_RESULT_SET_1,1583,37,1,,"public FunctionTable(Schema schema, Session session,
            Expression functionExpr, FunctionCall function) {
        super(schema, 0, function.getName(), false, true);
        this.functionExpr = functionExpr;
        this.function = function;
        if (function instanceof TableFunction) {
            rowCount = ((TableFunction) function).getRowCount();
        } else {
            rowCount = Long.MAX_VALUE;
        }
        function.optimize(session);
        int type = function.getValueType();
        if (type != Value.RESULT_SET) {
            throw DbException.get(
                    ErrorCode.FUNCTION_MUST_RETURN_RESULT_SET_1, function.getName());
        }
        Expression[] args = function.getArgs();
        int numParams = args.length;
        Expression[] columnListArgs = new Expression[numParams];
        for (int i = 0; i < numParams; i++) {
            args[i] = args[i].optimize(session);
            columnListArgs[i] = args[i];
        }
        ValueResultSet template = function.getValueForColumnList(
                session, columnListArgs);
        if (template == null) {
            throw DbException.get(
                    ErrorCode.FUNCTION_MUST_RETURN_RESULT_SET_1, function.getName());
        }
        ResultInterface result = template.getResult();
        int columnCount = result.getVisibleColumnCount();
        Column[] cols = new Column[columnCount];
        for (int i = 0; i < columnCount; i++) {
            cols[i] = new Column(result.getColumnName(i), result.getColumnType(i));
        }
        setColumns(cols);
    }",False
5,"lock(Session,boolean,boolean)",Method,,,,,153,5,1,,"@Override
    public boolean lock(Session session, boolean exclusive, boolean forceLockEvenInMvcc) {
        // nothing to do
        return false;
    }",True
6,close(Session),Method,,,,,81,4,1,,"@Override
    public void close(Session session) {
        // nothing to do
    }",True
7,unlock(Session),Method,,,,,76,4,1,,"@Override
    public void unlock(Session s) {
        // nothing to do
    }",True
8,isLockedExclusively(),Method,,,,,80,4,1,,"@Override
    public boolean isLockedExclusively() {
        return false;
    }",True
9,"addIndex(Session,String,int,IndexColumn[],IndexType,boolean,String)",Method,,,org.h2.message.DbException+getUnsupportedException(String) org.h2.message.DbException+getUnsupportedException(String),,253,6,1,,"@Override
    public Index addIndex(Session session, String indexName, int indexId,
            IndexColumn[] cols, IndexType indexType, boolean create,
            String indexComment) {
        throw DbException.getUnsupportedException(""ALIAS"");
    }",True
10,"removeRow(Session,Row)",Method,,,org.h2.message.DbException+getUnsupportedException(String) org.h2.message.DbException+getUnsupportedException(String),,129,4,1,,"@Override
    public void removeRow(Session session, Row row) {
        throw DbException.getUnsupportedException(""ALIAS"");
    }",True
