index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,WAITING_FOR_LOCK,Field,,,,,136,4,25,"/** 
 * The table name this thread is waiting to lock.
 */
","/**
     * The table name this thread is waiting to lock.
     */
    public static final DebuggingThreadLocal<String> WAITING_FOR_LOCK;",False
2,EXCLUSIVE_LOCKS,Field,,,,,151,4,25,"/** 
 * The table names this thread has exclusively locked.
 */
","/**
     * The table names this thread has exclusively locked.
     */
    public static final DebuggingThreadLocal<ArrayList<String>> EXCLUSIVE_LOCKS;",False
3,SHARED_LOCKS,Field,,,,,147,4,25,"/** 
 * The tables names this thread has a shared lock on.
 */
","/**
     * The tables names this thread has a shared lock on.
     */
    public static final DebuggingThreadLocal<ArrayList<String>> SHARED_LOCKS;",False
4,TraceLockEvent,Field,,,,,80,4,2,"/** 
 * The type of trace lock events
 */
","/**
     * The type of trace lock events
     */
    private enum TraceLockEvent",False
5,eventText,Field,TraceLockEvent(String),,,,31,1,18,,private final String eventText;,False
6,TraceLockEvent(String),Method,,,,org.h2.mvstore.db.MVTable+eventText org.h2.mvstore.db.MVTable+eventText,84,3,0,,"TraceLockEvent(String eventText) {
            this.eventText = eventText;
        }",False
7,getEventText(),Method,,,,org.h2.mvstore.db.MVTable+eventText,70,3,1,,"public String getEventText() {
            return eventText;
        }",False
8,NO_EXTRA_INFO,Field,,,,,47,1,26,,"private static final String NO_EXTRA_INFO = """";",False
9,primaryIndex,Field,,,,,36,1,2,,private MVPrimaryIndex primaryIndex;,False
10,indexes,Field,,,,,67,1,18,,private final ArrayList<Index> indexes = Utils.newSmallArrayList();,False
11,lastModificationId,Field,,,,,63,1,18,,private final AtomicLong lastModificationId = new AtomicLong();,False
12,lockExclusiveSession,Field,,,,,46,1,66,,private volatile Session lockExclusiveSession;,True
13,lockSharedSessions,Field,,,,,109,2,18,,"private final ConcurrentHashMap<Session, Session> lockSharedSessions =
            new ConcurrentHashMap<>();",True
14,waitingSessions,Field,,,,,237,5,18,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
","/**
     * The queue of sessions waiting to lock the table. It is a FIFO queue to
     * prevent starvation, since Java's synchronized locking is biased.
     */
    private final ArrayDeque<Session> waitingSessions = new ArrayDeque<>();",False
15,traceLock,Field,,,,,30,1,18,,private final Trace traceLock;,False
16,changesUntilAnalyze,Field,,,,,48,1,18,,private final AtomicInteger changesUntilAnalyze;,False
17,nextAnalyze,Field,,,,,24,1,2,,private int nextAnalyze;,False
18,containsLargeObject,Field,,,,,42,1,18,,private final boolean containsLargeObject;,True
19,rowIdColumn,Field,,,,,27,1,2,,private Column rowIdColumn;,True
