index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,scanIndex,Field,,,,,24,1,2,,private Index scanIndex;,False
2,rowCount,Field,setRowCount(long),,,,22,1,2,,private long rowCount;,False
3,lockExclusiveSession,Field,"getDeadlockDetails(ArrayList<Session>,boolean)",,,,46,1,66,,private volatile Session lockExclusiveSession;,True
4,lockSharedSessions,Field,,,,,103,2,2,,"private ConcurrentHashMap<Session, Session> lockSharedSessions =
            new ConcurrentHashMap<>();",True
5,waitingSessions,Field,,,,,237,5,18,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
","/**
     * The queue of sessions waiting to lock the table. It is a FIFO queue to
     * prevent starvation, since Java's synchronized locking is biased.
     */
    private final ArrayDeque<Session> waitingSessions = new ArrayDeque<>();",False
6,traceLock,Field,,,,,30,1,18,,private final Trace traceLock;,False
7,indexes,Field,,,,,67,1,18,,private final ArrayList<Index> indexes = Utils.newSmallArrayList();,False
8,lastModificationId,Field,,,,,32,1,2,,private long lastModificationId;,False
9,containsLargeObject,Field,,,,,42,1,18,,private final boolean containsLargeObject;,True
10,mainIndex,Field,,,,,38,1,18,,private final PageDataIndex mainIndex;,False
11,changesSinceAnalyze,Field,,,,,32,1,2,,private int changesSinceAnalyze;,False
12,nextAnalyze,Field,,,,,24,1,2,,private int nextAnalyze;,False
13,rowIdColumn,Field,,,,,27,1,2,,private Column rowIdColumn;,True
14,PageStoreTable(CreateTableData),Method,,,"org.h2.engine.Database+getSettings() org.h2.engine.Database+getSettings() org.h2.table.Table+getColumns() org.h2.table.Table+getColumns() org.h2.value.DataType+isLargeObject(int) org.h2.value.DataType+isLargeObject(int) org.h2.value.TypeInfo+getValueType() org.h2.table.Column+getType() org.h2.table.Column+getType() org.h2.value.TypeInfo+getValueType() org.h2.engine.Database+isPersistent() org.h2.engine.Database+isPersistent() org.h2.index.PageDataIndex+PageDataIndex(PageStoreTable,int,IndexColumn[],IndexType,boolean,Session) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.Table+getColumns() org.h2.table.Table+getColumns() org.h2.index.IndexType+createScan(boolean) org.h2.index.IndexType+createScan(boolean) org.h2.index.ScanIndex+ScanIndex(PageStoreTable,int,IndexColumn[],IndexType) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.Table+getColumns() org.h2.table.Table+getColumns() org.h2.index.IndexType+createScan(boolean) org.h2.index.IndexType+createScan(boolean) java.util.ArrayList+add(E) java.util.ArrayList+add(E) org.h2.engine.Database+getTrace(int) org.h2.engine.Database+getTrace(int)",org.h2.table.PageStoreTable+nextAnalyze org.h2.engine.DbSettings+analyzeAuto org.h2.engine.DbObjectBase+database org.h2.engine.DbSettings+analyzeAuto org.h2.table.Table+isHidden org.h2.table.Table+isHidden org.h2.command.ddl.CreateTableData+isHidden org.h2.table.PageStoreTable+containsLargeObject org.h2.command.ddl.CreateTableData+persistData org.h2.engine.DbObjectBase+database org.h2.table.PageStoreTable+mainIndex org.h2.command.ddl.CreateTableData+id org.h2.command.ddl.CreateTableData+persistData org.h2.command.ddl.CreateTableData+create org.h2.command.ddl.CreateTableData+session org.h2.table.PageStoreTable+scanIndex org.h2.table.PageStoreTable+mainIndex org.h2.table.PageStoreTable+mainIndex org.h2.table.PageStoreTable+scanIndex org.h2.command.ddl.CreateTableData+id org.h2.command.ddl.CreateTableData+persistData org.h2.table.PageStoreTable+indexes org.h2.table.PageStoreTable+scanIndex org.h2.table.PageStoreTable+traceLock org.h2.engine.DbObjectBase+database org.h2.message.Trace+LOCK,1013,26,1,,"public PageStoreTable(CreateTableData data) {
        super(data);
        nextAnalyze = database.getSettings().analyzeAuto;
        this.isHidden = data.isHidden;
        boolean b = false;
        for (Column col : getColumns()) {
            if (DataType.isLargeObject(col.getType().getValueType())) {
                b = true;
                break;
            }
        }
        containsLargeObject = b;
        if (data.persistData && database.isPersistent()) {
            mainIndex = new PageDataIndex(this, data.id,
                    IndexColumn.wrap(getColumns()),
                    IndexType.createScan(data.persistData),
                    data.create, data.session);
            scanIndex = mainIndex;
        } else {
            mainIndex = null;
            scanIndex = new ScanIndex(this, data.id,
                    IndexColumn.wrap(getColumns()), IndexType.createScan(data.persistData));
        }
        indexes.add(scanIndex);
        traceLock = database.getTrace(Trace.LOCK);
    }",False
15,close(Session),Method,,,org.h2.index.Index+close(Session) org.h2.index.Index+close(Session),org.h2.table.PageStoreTable+indexes,138,6,1,,"@Override
    public void close(Session session) {
        for (Index index : indexes) {
            index.close(session);
        }
    }",False
16,"getRow(Session,long)",Method,,"org.h2.index.HashIndex+find(Session,SearchRow,SearchRow) org.h2.index.NonUniqueHashCursor+get() org.h2.index.PageBtreeIndex+getRow(Session,long) org.h2.index.PageBtreeIndex+readRow(Data,int,boolean,boolean) org.h2.index.PageBtreeIndex+readRow(long)","org.h2.index.Index+getRow(Session,long) org.h2.index.Index+getRow(Session,long)",org.h2.table.PageStoreTable+scanIndex,113,4,1,,"@Override
    public Row getRow(Session session, long key) {
        return scanIndex.getRow(session, key);
    }",False
17,"addRow(Session,Row)",Method,,,"org.h2.engine.Database+getNextModificationDataId() org.h2.engine.Database+getNextModificationDataId() java.util.ArrayList+size() java.util.ArrayList+size() java.util.ArrayList+get(int) java.util.ArrayList+get(int) org.h2.index.Index+add(Session,Row) org.h2.index.Index+add(Session,Row) org.h2.table.PageStoreTable+checkRowCount(Session,Index,int) org.h2.table.PageStoreTable+checkRowCount(Session,Index,int) java.util.ArrayList+get(int) java.util.ArrayList+get(int) org.h2.index.Index+remove(Session,Row) org.h2.index.Index+remove(Session,Row) org.h2.table.PageStoreTable+checkRowCount(Session,Index,int) org.h2.table.PageStoreTable+checkRowCount(Session,Index,int) org.h2.message.Trace+error(Throwable,String) org.h2.message.Trace+error(Throwable,String) org.h2.message.DbException+convert(Throwable) org.h2.message.DbException+convert(Throwable) org.h2.table.PageStoreTable+analyzeIfRequired(Session) org.h2.table.PageStoreTable+analyzeIfRequired(Session)",org.h2.table.PageStoreTable+lastModificationId org.h2.engine.DbObjectBase+database org.h2.table.PageStoreTable+indexes org.h2.table.PageStoreTable+indexes org.h2.table.PageStoreTable+rowCount org.h2.table.PageStoreTable+indexes org.h2.engine.DbObjectBase+trace,1079,29,1,,"@Override
    public void addRow(Session session, Row row) {
        lastModificationId = database.getNextModificationDataId();
        int i = 0;
        try {
            for (int size = indexes.size(); i < size; i++) {
                Index index = indexes.get(i);
                index.add(session, row);
                checkRowCount(session, index, 1);
            }
            rowCount++;
        } catch (Throwable e) {
            try {
                while (--i >= 0) {
                    Index index = indexes.get(i);
                    index.remove(session, row);
                    checkRowCount(session, index, 0);
                }
            } catch (DbException e2) {
                // this could happen, for example on failure in the storage
                // but if that is not the case it means there is something wrong
                // with the database
                trace.error(e2, ""could not undo operation"");
                throw e2;
            }
            throw DbException.convert(e);
        }
        analyzeIfRequired(session);
    }",False
18,"checkRowCount(Session,Index,int)",Method,"addRow(Session,Row) addRow(Session,Row) removeRow(Session,Row) removeRow(Session,Row)",,org.h2.index.Index+getRowCount(Session) org.h2.index.Index+getRowCount(Session) org.h2.message.DbException+throwInternalError(String) org.h2.message.DbException+throwInternalError(String) org.h2.engine.DbObjectBase+getName() org.h2.engine.DbObjectBase+getName() org.h2.engine.DbObject+getName() org.h2.engine.DbObject+getName(),org.h2.engine.SysProperties+CHECK org.h2.table.PageStoreTable+rowCount org.h2.table.PageStoreTable+rowCount,521,12,2,,"private void checkRowCount(Session session, Index index, int offset) {
        if (SysProperties.CHECK) {
            if (!(index instanceof PageDelegateIndex)) {
                long rc = index.getRowCount(session);
                if (rc != rowCount + offset) {
                    DbException.throwInternalError(
                            ""rowCount expected "" + (rowCount + offset) +
                            "" got "" + rc + "" "" + getName() + ""."" + index.getName());
                }
            }
        }
    }",False
