index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,select,Field,"AbstractAggregate(Select,boolean)",,,,30,1,20,,protected final Select select;,True
2,distinct,Field,"AbstractAggregate(Select,boolean)",,,,33,1,20,,protected final boolean distinct;,False
3,filterCondition,Field,setFilterCondition(Expression),,,,37,1,4,,protected Expression filterCondition;,False
4,over,Field,setOverCondition(Window),,,,22,1,4,,protected Window over;,True
5,overOrderBySort,Field,,,,,36,1,4,,protected SortOrder overOrderBySort;,True
6,lastGroupRowId,Field,,,,,27,1,2,,private int lastGroupRowId;,True
7,"createOrder(Session,ArrayList<SelectOrderBy>,int)",Method,optimize(Session),org.h2.expression.aggregate.Aggregate+optimize(Session),"java.util.ArrayList+size() java.util.ArrayList+size() java.util.ArrayList+get(int) java.util.ArrayList+get(int) org.h2.result.SortOrder+SortOrder(Database,int[],int[],ArrayList<SelectOrderBy>) org.h2.engine.Session+getDatabase() org.h2.engine.Session+getDatabase()",org.h2.command.dml.SelectOrderBy+sortType,467,11,12,,"protected static SortOrder createOrder(Session session, ArrayList<SelectOrderBy> orderBy, int offset) {
        int size = orderBy.size();
        int[] index = new int[size];
        int[] sortType = new int[size];
        for (int i = 0; i < size; i++) {
            SelectOrderBy o = orderBy.get(i);
            index[i] = i + offset;
            sortType[i] = o.sortType;
        }
        return new SortOrder(session.getDatabase(), index, sortType, null);
    }",True
8,"AbstractAggregate(Select,boolean)",Method,,,,org.h2.expression.aggregate.AbstractAggregate+select org.h2.expression.aggregate.AbstractAggregate+select org.h2.expression.aggregate.AbstractAggregate+distinct org.h2.expression.aggregate.AbstractAggregate+distinct,122,4,0,,"AbstractAggregate(Select select, boolean distinct) {
        this.select = select;
        this.distinct = distinct;
    }",False
9,setFilterCondition(Expression),Method,,org.h2.command.Parser+readFilterAndOver(AbstractAggregate),org.h2.expression.aggregate.AbstractAggregate+isAggregate() org.h2.expression.aggregate.AbstractAggregate+isAggregate() org.h2.message.DbException+getUnsupportedException(String) org.h2.message.DbException+getUnsupportedException(String),org.h2.expression.aggregate.AbstractAggregate+filterCondition org.h2.expression.aggregate.AbstractAggregate+filterCondition,370,13,1,"/** 
 * Sets the FILTER condition.
 * @param filterCondition FILTER condition
 */
","/**
     * Sets the FILTER condition.
     *
     * @param filterCondition
     *            FILTER condition
     */
    public void setFilterCondition(Expression filterCondition) {
        if (isAggregate()) {
            this.filterCondition = filterCondition;
        } else {
            throw DbException.getUnsupportedException(""Window function"");
        }
    }",False
10,setOverCondition(Window),Method,,org.h2.command.Parser+readFilterAndOver(AbstractAggregate),,org.h2.expression.aggregate.AbstractAggregate+over org.h2.expression.aggregate.AbstractAggregate+over,182,9,1,"/** 
 * Sets the OVER condition.
 * @param over OVER condition
 */
","/**
     * Sets the OVER condition.
     *
     * @param over
     *            OVER condition
     */
    public void setOverCondition(Window over) {
        this.over = over;
    }",True
11,isAggregate(),Method,"setFilterCondition(Expression) optimize(Session) updateAggregate(Session,int) getWindowResult(Session,SelectGroups)",org.h2.command.Parser+readFilterAndOver(AbstractAggregate),,,269,7,1025,"/** 
 * Checks whether this expression is an aggregate function.
 * @return true if this is an aggregate function (including aggregates withOVER clause), false if this is a window function
 */
","/**
     * Checks whether this expression is an aggregate function.
     *
     * @return true if this is an aggregate function (including aggregates with
     *         OVER clause), false if this is a window function
     */
    public abstract boolean isAggregate();",True
12,getOverOrderBySort(),Method,"getOrderedResultLoop(Session,HashMap<Integer,Value>,ArrayList<Value[]>,int)","org.h2.expression.aggregate.WindowFunction+getOrderedResultLoop(Session,HashMap<Integer,Value>,ArrayList<Value[]>,int) org.h2.expression.aggregate.WindowFunction+getNth(Session,HashMap<Integer,Value>,ArrayList<Value[]>,int) org.h2.expression.aggregate.WindowFunction+getNth(Session,HashMap<Integer,Value>,ArrayList<Value[]>,int) org.h2.expression.aggregate.WindowFunction+getNth(Session,HashMap<Integer,Value>,ArrayList<Value[]>,int)",,org.h2.expression.aggregate.AbstractAggregate+overOrderBySort,186,8,0,"/** 
 * Returns the sort order for OVER clause.
 * @return the sort order for OVER clause
 */
","/**
     * Returns the sort order for OVER clause.
     *
     * @return the sort order for OVER clause
     */
    SortOrder getOverOrderBySort() {
        return overOrderBySort;
    }",False
