index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,code summary
1,MILLIS_PER_DAY,millis per day the number of milliseconds per day ,Field,,,,,122,4,25,"/** 
 * The number of milliseconds per day.
 */
","/**
     * The number of milliseconds per day.
     */
    public static final long MILLIS_PER_DAY = 24 * 60 * 60 * 1000L;",False,False,"/** 
 * The number of milliseconds per day.
 */
","/** 
 * The number of milliseconds per day.
 */
"
2,SECONDS_PER_DAY,seconds per day the number of seconds per day ,Field,,,,,110,4,25,"/** 
 * The number of seconds per day.
 */
","/**
     * The number of seconds per day.
     */
    public static final long SECONDS_PER_DAY = 24 * 60 * 60;",False,False,"/** 
 * The number of seconds per day.
 */
","/** 
 * The number of seconds per day.
 */
"
3,UTC,utc utc time zone ,Field,,,,,101,4,25,"/** 
 * UTC time zone.
 */
","/**
     * UTC time zone.
     */
    public static final TimeZone UTC = TimeZone.getTimeZone(""UTC"");",False,False,"/** 
 * UTC time zone.
 */
","/** 
 * UTC time zone.
 */
"
4,NANOS_PER_SECOND,nanos per second the number of nanoseconds per second ,Field,,,,,121,4,25,"/** 
 * The number of nanoseconds per second.
 */
","/**
     * The number of nanoseconds per second.
     */
    public static final long NANOS_PER_SECOND = 1_000_000_000;

",False,False,"/** 
 * The number of nanoseconds per second.
 */
","/** 
 * The number of nanoseconds per second.
 */
"
5,NANOS_PER_MINUTE,nanos per minute the number of nanoseconds per minute ,Field,,,,,127,4,25,"/** 
 * The number of nanoseconds per minute.
 */
","/**
     * The number of nanoseconds per minute.
     */
    public static final long NANOS_PER_MINUTE = 60 * NANOS_PER_SECOND;",False,False,"/** 
 * The number of nanoseconds per minute.
 */
","/** 
 * The number of nanoseconds per minute.
 */
"
6,NANOS_PER_HOUR,nanos per hour the number of nanoseconds per hour ,Field,,,,,123,4,25,"/** 
 * The number of nanoseconds per hour.
 */
","/**
     * The number of nanoseconds per hour.
     */
    public static final long NANOS_PER_HOUR = 60 * NANOS_PER_MINUTE;",False,False,"/** 
 * The number of nanoseconds per hour.
 */
","/** 
 * The number of nanoseconds per hour.
 */
"
7,NANOS_PER_DAY,nanos per day the number of nanoseconds per day ,Field,,,,,128,4,25,"/** 
 * The number of nanoseconds per day.
 */
","/**
     * The number of nanoseconds per day.
     */
    public static final long NANOS_PER_DAY = MILLIS_PER_DAY * 1_000_000;

",False,False,"/** 
 * The number of nanoseconds per day.
 */
","/** 
 * The number of nanoseconds per day.
 */
"
8,SHIFT_YEAR,shift year ,Field,,,,,40,1,26,,private static final int SHIFT_YEAR = 9;,False,False,,
9,SHIFT_MONTH,shift month ,Field,,,,,41,1,26,,private static final int SHIFT_MONTH = 5;,False,False,,
10,EPOCH_DATE_VALUE,epoch date value date value for 1970 01 01 ,Field,,,,,139,4,25,"/** 
 * Date value for 1970-01-01.
 */
","/**
     * Date value for 1970-01-01.
     */
    public static final int EPOCH_DATE_VALUE = (1970 << SHIFT_YEAR) + (1 << SHIFT_MONTH) + 1;",False,False,"/** 
 * Date value for 1970-01-01.
 */
","/** 
 * Date value for 1970-01-01.
 */
"
11,NORMAL_DAYS_PER_MONTH,normal days per month ,Field,,,,,117,2,26,,"private static final int[] NORMAL_DAYS_PER_MONTH = { 0, 31, 28, 31, 30, 31,
            30, 31, 31, 30, 31, 30, 31 };",False,False,,
12,DAYS_OFFSET,days offset offsets of month within a year starting with march april ,Field,,,,,202,5,26,"/** 
 * Offsets of month within a year, starting with March, April,...
 */
","/**
     * Offsets of month within a year, starting with March, April,...
     */
    private static final int[] DAYS_OFFSET = { 0, 31, 61, 92, 122, 153, 184,
            214, 245, 275, 306, 337, 366 };",False,False,"/** 
 * Offsets of month within a year, starting with March, April,...
 */
","/** 
 * Offsets of month within a year, starting with March, April,...
 */
"
