index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,store,Field,"BtreeMap(BtreeMapStore,String,Class<K>,Class<V>)",,,,34,1,18,,private final BtreeMapStore store;,False
2,name,Field,"BtreeMap(BtreeMapStore,String,Class<K>,Class<V>)",,,,26,1,18,,private final String name;,False
3,keyType,Field,,,,,30,1,18,,private final KeyType keyType;,False
4,valueType,Field,,,,,34,1,18,,private final ValueType valueType;,False
5,root,Field,,,,,18,1,2,,private Page root;,False
6,"BtreeMap(BtreeMapStore,String,Class<K>,Class<V>)",Method,,,org.h2.dev.store.btree.BtreeMap.IntegerType+IntegerType() org.h2.dev.store.btree.BtreeMap.StringType+StringType() java.lang.RuntimeException+RuntimeException(String) java.lang.Class+toString() java.lang.Class+toString() org.h2.dev.store.btree.BtreeMap.IntegerType+IntegerType() org.h2.dev.store.btree.BtreeMap.StringType+StringType() java.lang.RuntimeException+RuntimeException(String) java.lang.Class+toString() java.lang.Class+toString(),"org.h2.dev.store.btree.BtreeMap<K,V>+store org.h2.dev.store.btree.BtreeMap+store org.h2.dev.store.btree.BtreeMap<K,V>+name org.h2.dev.store.btree.BtreeMap+name org.h2.dev.store.btree.BtreeMap+keyType org.h2.dev.store.btree.BtreeMap+keyType org.h2.dev.store.btree.BtreeMap+valueType org.h2.dev.store.btree.BtreeMap+valueType",730,18,2,,"private BtreeMap(BtreeMapStore store, String name, Class<K> keyClass, Class<V> valueClass) {
        this.store = store;
        this.name = name;
        if (keyClass == Integer.class) {
            keyType = new IntegerType();
        } else if (keyClass == String.class) {
            keyType = new StringType();
        } else {
            throw new RuntimeException(""Unsupported key class "" + keyClass.toString());
        }
        if (valueClass == Integer.class) {
            valueType = new IntegerType();
        } else if (valueClass == String.class) {
            valueType = new StringType();
        } else {
            throw new RuntimeException(""Unsupported value class "" + keyClass.toString());
        }
    }",False
7,getClass(String),Method,,,java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.RuntimeException+RuntimeException(String),,385,14,8,"/** 
 * Get the class with the given tag name.
 * @param name the tag name
 * @return the class
 */
","/**
     * Get the class with the given tag name.
     *
     * @param name the tag name
     * @return the class
     */
    static Class<?> getClass(String name) {
        if (name.equals(""i"")) {
            return Integer.class;
        } else if (name.equals(""s"")) {
            return String.class;
        }
        throw new RuntimeException(""Unknown class name "" + name);
    }",False
8,"open(BtreeMapStore,String,Class<K>,Class<V>)",Method,,"org.h2.dev.store.btree.BtreeMapStore+openMap(String,Class<K>,Class<V>) org.h2.dev.store.btree.BtreeMapStore+open()","org.h2.dev.store.btree.BtreeMap+BtreeMap(BtreeMapStore,String,Class<K>,Class<V>)",,466,14,8,"/** 
 * Open a map.
 * @param < K > the key type
 * @param < V > the value type
 * @param store the tree store
 * @param name the name of the map
 * @param keyClass the key class
 * @param valueClass the value class
 * @return the map
 */
","/**
     * Open a map.
     *
     * @param <K> the key type
     * @param <V> the value type
     * @param store the tree store
     * @param name the name of the map
     * @param keyClass the key class
     * @param valueClass the value class
     * @return the map
     */
    static <K, V> BtreeMap<K, V> open(BtreeMapStore store, String name, Class<K> keyClass, Class<V> valueClass) {
        return new BtreeMap<K, V>(store, name, keyClass, valueClass);
    }",False
9,"put(K,V)",Method,,org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testDefragment() org.h2.test.unit.TestTreeMapStore+testReuseSpace() org.h2.test.unit.TestTreeMapStore+testRandom() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testIterate() org.h2.test.unit.TestTreeMapStore+testSimple() org.h2.dev.store.btree.BtreeMapStore+store() org.h2.dev.store.btree.BtreeMapStore+store() org.h2.dev.store.btree.BtreeMapStore+store() org.h2.dev.store.btree.BtreeMapStore+store() org.h2.dev.store.btree.BtreeMapStore+store() org.h2.dev.store.btree.BtreeMapStore+store(),"org.h2.dev.store.btree.BtreeMap+isChanged() org.h2.dev.store.btree.BtreeMap+isChanged() org.h2.dev.store.btree.BtreeMapStore+markChanged(String,BtreeMap<?,?>) org.h2.dev.store.btree.BtreeMapStore+markChanged(String,BtreeMap<?,?>) org.h2.dev.store.btree.Page+put(BtreeMap<?,?>,Page,Object,Object) org.h2.dev.store.btree.Page+put(BtreeMap<?,?>,Page,Object,Object)",org.h2.dev.store.btree.BtreeMap+store org.h2.dev.store.btree.BtreeMap+name org.h2.dev.store.btree.BtreeMap+root org.h2.dev.store.btree.BtreeMap+root,276,12,1,"/** 
 * Store a key-value pair.
 * @param key the key
 * @param data the value
 */
","/**
     * Store a key-value pair.
     *
     * @param key the key
     * @param data the value
     */
    public void put(K key, V data) {
        if (!isChanged()) {
            store.markChanged(name, this);
        }
        root = Page.put(this, root, key, data);
    }",False
10,get(K),Method,,"org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testBtreeStore() org.h2.test.unit.TestTreeMapStore+testRandom() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testKeyValueClasses() org.h2.test.unit.TestTreeMapStore+testSimple() org.h2.test.unit.TestTreeMapStore+testSimple() org.h2.test.unit.TestTreeMapStore+testSimple() org.h2.test.unit.TestTreeMapStore+testSimple() org.h2.dev.store.btree.BtreeMapStore+openMap(String,Class<K>,Class<V>) org.h2.dev.store.btree.BtreeMapStore+readMeta()",org.h2.dev.store.btree.Page+find(Object) org.h2.dev.store.btree.Page+find(Object),org.h2.dev.store.btree.BtreeMap+root org.h2.dev.store.btree.BtreeMap+root,276,13,1,"/** 
 * Get a value.
 * @param key the key
 * @return the value, or null if not found
 */
","/**
     * Get a value.
     *
     * @param key the key
     * @return the value, or null if not found
     */
    @SuppressWarnings(""unchecked"")
    public V get(K key) {
        if (root == null) {
            return null;
        }
        return (V) root.find(key);
    }",False
