index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,IOUtils(),Method,,,,,50,3,2,,"private IOUtils() {
        // utility class
    }",False
2,closeSilently(OutputStream),Method,"copyAndClose(InputStream,OutputStream)","org.h2.command.dml.RunScriptCommand+closeIO() org.h2.server.web.WebServlet+run() org.h2.tools.Backup+process(String,String,String,boolean) org.h2.tools.CreateCluster+process(String,String,String,String,String) org.h2.tools.Recover+dumpLob(String,boolean) org.h2.tools.Restore+execute(String,String,String,boolean) org.h2.tools.Script+execute(String,String,String,String) org.h2.test.poweroff.TestRecover+backup(String,String,String,int,String) org.h2.test.poweroff.TestRecover+testConsistency() org.h2.dev.fs.FileShell+zip(String,String,ArrayList<String>) org.h2.dev.fs.FileShell+unzip(String,String) org.h2.dev.ftp.server.FtpServer+StreamRedirect.run()","org.h2.util.IOUtils+trace(String,String,Object) org.h2.util.IOUtils+trace(String,String,Object) java.io.OutputStream+close() java.io.OutputStream+close()",,397,15,9,"/** 
 * Close an output stream without throwing an exception.
 * @param out the output stream or null
 */
","/**
     * Close an output stream without throwing an exception.
     *
     * @param out the output stream or null
     */
    public static void closeSilently(OutputStream out) {
        if (out != null) {
            try {
                trace(""closeSilently"", null, out);
                out.close();
            } catch (Exception e) {
                // ignore
            }
        }
    }",False
3,"skipFully(InputStream,long)",Method,,"org.h2.jdbc.JdbcBlob+getBytes(long,int) org.h2.jdbc.JdbcBlob+position(byte[],long) org.h2.store.fs.FileObjectZip+readFully(byte[],int,int) org.h2.dev.fs.FileObjectZip2+readFully(byte[],int,int) org.h2.dev.ftp.server.FtpData+send(String,long)",java.io.InputStream+skip(long) java.io.InputStream+skip(long) java.io.EOFException+EOFException() org.h2.message.DbException+convertToIOException(Throwable) org.h2.message.DbException+convertToIOException(Throwable),,758,22,9,"/** 
 * Skip a number of bytes in an input stream.
 * @param in the input stream
 * @param skip the number of bytes to skip
 * @throws EOFException if the end of file has been reached before all bytescould be skipped
 * @throws IOException if an IO exception occurred while skipping
 */
","/**
     * Skip a number of bytes in an input stream.
     *
     * @param in the input stream
     * @param skip the number of bytes to skip
     * @throws EOFException if the end of file has been reached before all bytes
     *             could be skipped
     * @throws IOException if an IO exception occurred while skipping
     */
    public static void skipFully(InputStream in, long skip) throws IOException {
        try {
            while (skip > 0) {
                long skipped = in.skip(skip);
                if (skipped <= 0) {
                    throw new EOFException();
                }
                skip -= skipped;
            }
        } catch (Exception e) {
            throw DbException.convertToIOException(e);
        }
    }",False
4,"skipFully(Reader,long)",Method,,"org.h2.jdbc.JdbcClob+getSubString(long,int)",java.io.Reader+skip(long) java.io.Reader+skip(long) java.io.EOFException+EOFException() org.h2.message.DbException+convertToIOException(Throwable) org.h2.message.DbException+convertToIOException(Throwable),,767,22,9,"/** 
 * Skip a number of characters in a reader.
 * @param reader the reader
 * @param skip the number of characters to skip
 * @throws EOFException if the end of file has been reached before allcharacters could be skipped
 * @throws IOException if an IO exception occurred while skipping
 */
","/**
     * Skip a number of characters in a reader.
     *
     * @param reader the reader
     * @param skip the number of characters to skip
     * @throws EOFException if the end of file has been reached before all
     *             characters could be skipped
     * @throws IOException if an IO exception occurred while skipping
     */
    public static void skipFully(Reader reader, long skip) throws IOException {
        try {
            while (skip > 0) {
                long skipped = reader.skip(skip);
                if (skipped <= 0) {
                    throw new EOFException();
                }
                skip -= skipped;
            }
        } catch (Exception e) {
            throw DbException.convertToIOException(e);
        }
    }",False
5,"copyAndClose(InputStream,OutputStream)",Method,"copy(String,String)","org.h2.test.unit.FileSystemDatabase+openFileObject(String,String) org.h2.test.unit.TestSampleApps+test() org.h2.dev.ftp.FtpClient+retrieve(String,OutputStream,long) org.h2.dev.ftp.FtpClient+store(String,InputStream) org.h2.dev.ftp.FtpClient+nameList(String) org.h2.dev.ftp.FtpClient+list(String)","org.h2.util.IOUtils+copyAndCloseInput(InputStream,OutputStream) org.h2.util.IOUtils+copyAndCloseInput(InputStream,OutputStream) java.io.OutputStream+close() java.io.OutputStream+close() org.h2.message.DbException+convertToIOException(Throwable) org.h2.message.DbException+convertToIOException(Throwable) org.h2.util.IOUtils+closeSilently(OutputStream) org.h2.util.IOUtils+closeSilently(OutputStream)",,623,19,9,"/** 
 * Copy all data from the input stream to the output stream and close both streams. Exceptions while closing are ignored.
 * @param in the input stream
 * @param out the output stream
 * @return the number of bytes copied
 */
","/**
     * Copy all data from the input stream to the output stream and close both
     * streams. Exceptions while closing are ignored.
     *
     * @param in the input stream
     * @param out the output stream
     * @return the number of bytes copied
     */
    public static long copyAndClose(InputStream in, OutputStream out) throws IOException {
        try {
            long len = copyAndCloseInput(in, out);
            out.close();
            return len;
        } catch (Exception e) {
            throw DbException.convertToIOException(e);
        } finally {
            closeSilently(out);
        }
    }",False
6,"copyAndCloseInput(InputStream,OutputStream)",Method,"copyAndClose(InputStream,OutputStream)","org.h2.command.dml.BackupCommand+backupFile(ZipOutputStream,String,String) org.h2.jdbc.JdbcBlob+length() org.h2.tools.Backup+process(String,String,String,boolean) org.h2.value.Transfer+writeValue(Value) org.h2.test.poweroff.TestRecover+backup(String,String,String,int,String) org.h2.test.server.WebClient+upload(String,String,InputStream) org.h2.dev.fs.FileShell+zip(String,String,ArrayList<String>)","org.h2.util.IOUtils+copy(InputStream,OutputStream) org.h2.util.IOUtils+copy(InputStream,OutputStream) org.h2.message.DbException+convertToIOException(Throwable) org.h2.message.DbException+convertToIOException(Throwable) org.h2.util.IOUtils+closeSilently(InputStream) org.h2.util.IOUtils+closeSilently(InputStream)",,599,17,9,"/** 
 * Copy all data from the input stream to the output stream and close the input stream. Exceptions while closing are ignored.
 * @param in the input stream
 * @param out the output stream (null if writing is not required)
 * @return the number of bytes copied
 */
","/**
     * Copy all data from the input stream to the output stream and close the
     * input stream. Exceptions while closing are ignored.
     *
     * @param in the input stream
     * @param out the output stream (null if writing is not required)
     * @return the number of bytes copied
     */
    public static long copyAndCloseInput(InputStream in, OutputStream out) throws IOException {
        try {
            return copy(in, out);
        } catch (Exception e) {
            throw DbException.convertToIOException(e);
        } finally {
            closeSilently(in);
        }
    }",False
7,"copy(InputStream,OutputStream)",Method,"copyAndCloseInput(InputStream,OutputStream)","org.h2.tools.Recover+dumpLob(String,boolean) org.h2.tools.Restore+execute(String,String,String,boolean) org.h2.util.SourceCompiler+call() org.h2.util.Utils+loadResource(String) org.h2.test.unit.TestCompress+test(int) org.h2.test.unit.TestCompress+test(int) org.h2.dev.fs.FileShell+unzip(String,String) org.h2.dev.ftp.server.FtpData+receive(String) org.h2.dev.ftp.server.FtpData+send(String,long)","org.h2.util.IOUtils+copy(InputStream,OutputStream,long) org.h2.util.IOUtils+copy(InputStream,OutputStream,long)",java.lang.Long+MAX_VALUE,399,11,9,"/** 
 * Copy all data from the input stream to the output stream. Both streams are kept open.
 * @param in the input stream
 * @param out the output stream (null if writing is not required)
 * @return the number of bytes copied
 */
","/**
     * Copy all data from the input stream to the output stream. Both streams
     * are kept open.
     *
     * @param in the input stream
     * @param out the output stream (null if writing is not required)
     * @return the number of bytes copied
     */
    public static long copy(InputStream in, OutputStream out) throws IOException {
        return copy(in, out, Long.MAX_VALUE);
    }",False
8,"copy(InputStream,OutputStream,long)",Method,"copy(InputStream,OutputStream) readBytesAndClose(InputStream,int)","org.h2.jdbc.JdbcBlob+getBytes(long,int) org.h2.server.web.WebServlet+uploadMultipart(InputStream,int) org.h2.dev.fs.FileShell+cat(String,long)","java.lang.Math+min(long,long) java.lang.Math+min(long,long) java.io.InputStream+read(byte[],int,int) java.io.InputStream+read(byte[],int,int) java.io.OutputStream+write(byte[],int,int) java.io.OutputStream+write(byte[],int,int) java.lang.Math+min(long,long) java.lang.Math+min(long,long) org.h2.message.DbException+convertToIOException(Throwable) org.h2.message.DbException+convertToIOException(Throwable)",org.h2.engine.Constants+IO_BUFFER_SIZE org.h2.engine.Constants+IO_BUFFER_SIZE,1109,31,9,"/** 
 * Copy all data from the input stream to the output stream. Both streams are kept open.
 * @param in the input stream
 * @param out the output stream (null if writing is not required)
 * @param length the maximum number of bytes to copy
 * @return the number of bytes copied
 */
","/**
     * Copy all data from the input stream to the output stream. Both streams
     * are kept open.
     *
     * @param in the input stream
     * @param out the output stream (null if writing is not required)
     * @param length the maximum number of bytes to copy
     * @return the number of bytes copied
     */
    public static long copy(InputStream in, OutputStream out, long length) throws IOException {
        try {
            long copied = 0;
            int len = (int) Math.min(length, Constants.IO_BUFFER_SIZE);
            byte[] buffer = new byte[len];
            while (length > 0) {
                len = in.read(buffer, 0, len);
                if (len < 0) {
                    break;
                }
                if (out != null) {
                    out.write(buffer, 0, len);
                }
                copied += len;
                length -= len;
                len = (int) Math.min(length, Constants.IO_BUFFER_SIZE);
            }
            return copied;
        } catch (Exception e) {
            throw DbException.convertToIOException(e);
        }
    }",False
9,"copyAndCloseInput(Reader,Writer,long)",Method,"readStringAndClose(Reader,int)","org.h2.jdbc.JdbcClob+length() org.h2.jdbc.JdbcClob+getSubString(long,int)","java.lang.Math+min(long,long) java.lang.Math+min(long,long) java.io.Reader+read(char[],int,int) java.io.Reader+read(char[],int,int) java.io.Writer+write(char[],int,int) java.io.Writer+write(char[],int,int) java.lang.Math+min(long,long) java.lang.Math+min(long,long) org.h2.message.DbException+convertToIOException(Throwable) org.h2.message.DbException+convertToIOException(Throwable) java.io.Reader+close() java.io.Reader+close()",org.h2.engine.Constants+IO_BUFFER_SIZE org.h2.engine.Constants+IO_BUFFER_SIZE,1165,33,9,"/** 
 * Copy all data from the reader to the writer and close the reader. Exceptions while closing are ignored.
 * @param in the reader
 * @param out the writer (null if writing is not required)
 * @param length the maximum number of bytes to copy
 * @return the number of characters copied
 */
","/**
     * Copy all data from the reader to the writer and close the reader.
     * Exceptions while closing are ignored.
     *
     * @param in the reader
     * @param out the writer (null if writing is not required)
     * @param length the maximum number of bytes to copy
     * @return the number of characters copied
     */
    public static long copyAndCloseInput(Reader in, Writer out, long length) throws IOException {
        try {
            long copied = 0;
            int len = (int) Math.min(length, Constants.IO_BUFFER_SIZE);
            char[] buffer = new char[len];
            while (length > 0) {
                len = in.read(buffer, 0, len);
                if (len < 0) {
                    break;
                }
                if (out != null) {
                    out.write(buffer, 0, len);
                }
                length -= len;
                len = (int) Math.min(length, Constants.IO_BUFFER_SIZE);
                copied += len;
            }
            return copied;
        } catch (Exception e) {
            throw DbException.convertToIOException(e);
        } finally {
            in.close();
        }
    }",False
10,closeSilently(InputStream),Method,"copyAndCloseInput(InputStream,OutputStream)","org.h2.command.dml.RunScriptCommand+closeIO() org.h2.command.dml.ScriptCommand+writeLobStream(Value) org.h2.server.web.WebServlet+run() org.h2.tools.Backup+process(String,String,String,boolean) org.h2.tools.Recover+dumpLob(String,boolean) org.h2.tools.Restore+getOriginalDbName(String,String) org.h2.tools.Restore+execute(String,String,String,boolean) org.h2.tools.RunScript+process(Connection,String,boolean,String) org.h2.test.poweroff.TestRecover+backup(String,String,String,int,String) org.h2.test.synth.OutputCatcher+run() org.h2.dev.fs.FileShell+cat(String,long) org.h2.dev.fs.FileShell+zip(String,String,ArrayList<String>) org.h2.dev.fs.FileShell+unzip(String,String) org.h2.dev.ftp.server.FtpServer+StreamRedirect.run()","org.h2.util.IOUtils+trace(String,String,Object) org.h2.util.IOUtils+trace(String,String,Object) java.io.InputStream+close() java.io.InputStream+close()",,389,15,9,"/** 
 * Close an input stream without throwing an exception.
 * @param in the input stream or null
 */
","/**
     * Close an input stream without throwing an exception.
     *
     * @param in the input stream or null
     */
    public static void closeSilently(InputStream in) {
        if (in != null) {
            try {
                trace(""closeSilently"", null, in);
                in.close();
            } catch (Exception e) {
                // ignore
            }
        }
    }",False
