index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,PREFIX,Field,,,,,111,4,25,"/** 
 * The prefix used for a debugging file system.
 */
","/**
     * The prefix used for a debugging file system.
     */
    public static final String PREFIX = ""rec:"";",False
2,INSTANCE,Field,,,,,78,1,26,,private static final RecordingFileSystem INSTANCE = new RecordingFileSystem();,False
3,recorder,Field,,,,,33,1,10,,private static Recorder recorder;,False
4,trace,Field,setTrace(boolean),,,,22,1,2,,private boolean trace;,False
5,register(),Method,,org.h2.test.TestAll+run(String) org.h2.test.todo.TestTempTableCrash+test() org.h2.test.unit.TestReopen+test(),org.h2.store.fs.FileSystem+register(FileSystem) org.h2.store.fs.FileSystem+register(FileSystem),org.h2.test.utils.RecordingFileSystem+INSTANCE,125,6,9,"/** 
 * Register the file system.
 */
","/**
     * Register the file system.
     */
    public static void register() {
        FileSystem.register(INSTANCE);
    }",False
6,setRecorder(Recorder),Method,,org.h2.test.TestAll+run(String) org.h2.test.todo.TestTempTableCrash+test() org.h2.test.unit.TestReopen+test(),,org.h2.test.utils.RecordingFileSystem+recorder,196,8,9,"/** 
 * Set the recorder class.
 * @param recorder the recorder
 */
","/**
     * Set the recorder class.
     *
     * @param recorder the recorder
     */
    public static void setRecorder(Recorder recorder) {
        RecordingFileSystem.recorder = recorder;
    }",False
7,canWrite(String),Method,,,org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.store.fs.FileSystem+canWrite(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+canWrite(String),,164,4,1,,"public boolean canWrite(String fileName) {
        fileName = translateFileName(fileName);
        return FileSystem.getInstance(fileName).canWrite(fileName);
    }",True
8,"copy(String,String)",Method,,,"org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+log(int,String) org.h2.test.utils.RecordingFileSystem+log(int,String) org.h2.store.fs.FileSystem+copy(String,String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+copy(String,String)",org.h2.test.utils.Recorder+COPY,256,6,1,,"public void copy(String original, String copy) {
        original = translateFileName(original);
        copy = translateFileName(copy);
        log(Recorder.COPY, original + "":"" + copy);
        FileSystem.getInstance(original).copy(original, copy);
    }",False
9,createDirs(String),Method,,,"org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+log(int,String) org.h2.test.utils.RecordingFileSystem+log(int,String) org.h2.store.fs.FileSystem+createDirs(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+createDirs(String)",org.h2.test.utils.Recorder+CREATE_DIRS,203,5,1,,"public void createDirs(String fileName) {
        fileName = translateFileName(fileName);
        log(Recorder.CREATE_DIRS, fileName);
        FileSystem.getInstance(fileName).createDirs(fileName);
    }",False
10,createNewFile(String),Method,,,"org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+translateFileName(String) org.h2.test.utils.RecordingFileSystem+log(int,String) org.h2.test.utils.RecordingFileSystem+log(int,String) org.h2.store.fs.FileSystem+createNewFile(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+getInstance(String) org.h2.store.fs.FileSystem+createNewFile(String)",org.h2.test.utils.Recorder+CREATE_NEW_FILE,223,5,1,,"public boolean createNewFile(String fileName) {
        fileName = translateFileName(fileName);
        log(Recorder.CREATE_NEW_FILE, fileName);
        return FileSystem.getInstance(fileName).createNewFile(fileName);
    }",False
