index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,PREFIX,Field,,,,,108,4,25,"/** 
 * The prefix to use for this file system.
 */
","/**
     * The prefix to use for this file system.
     */
    public static final String PREFIX = ""split:"";",False
2,PART_SUFFIX,Field,,,,,50,1,26,,"private static final String PART_SUFFIX = "".part"";",False
3,defaultMaxSize,Field,,,,,72,1,2,,private long defaultMaxSize = 1L << SysProperties.SPLIT_FILE_SIZE_SHIFT;,False
4,canWrite(String),Method,,,org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystem+canWrite(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+canWrite(String),,155,4,1,,"public boolean canWrite(String fileName) {
        fileName = translateFileName(fileName);
        return getFileSystem(fileName).canWrite(fileName);
    }",True
5,setReadOnly(String),Method,,,"org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystem+exists(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+exists(String) org.h2.store.fs.FileSystem+setReadOnly(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+setReadOnly(String)",,407,13,1,,"public boolean setReadOnly(String fileName) {
        fileName = translateFileName(fileName);
        boolean result = false;
        for (int i = 0;; i++) {
            String f = getFileName(fileName, i);
            if (getFileSystem(f).exists(f)) {
                result = getFileSystem(f).setReadOnly(f);
            } else {
                break;
            }
        }
        return result;
    }",False
6,"copy(String,String)",Method,,,"org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystem+copy(String,String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+copy(String,String) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystem+exists(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+exists(String) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystem+copy(String,String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+copy(String,String)",,485,14,1,,"public void copy(String original, String copy) {
        original = translateFileName(original);
        copy = translateFileName(copy);
        getFileSystem(original).copy(original, copy);
        for (int i = 1;; i++) {
            String o = getFileName(original, i);
            if (getFileSystem(o).exists(o)) {
                String c = getFileName(copy, i);
                getFileSystem(o).copy(o, c);
            } else {
                break;
            }
        }
    }",False
7,createDirs(String),Method,,,org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystem+createDirs(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+createDirs(String),,149,4,1,,"public void createDirs(String fileName) {
        fileName = translateFileName(fileName);
        getFileSystem(fileName).createDirs(fileName);
    }",True
8,createNewFile(String),Method,,,org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystem+createNewFile(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+createNewFile(String),,165,4,1,,"public boolean createNewFile(String fileName) {
        fileName = translateFileName(fileName);
        return getFileSystem(fileName).createNewFile(fileName);
    }",True
9,"createTempFile(String,String,boolean,boolean)",Method,,,"org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystem+createTempFile(String,String,boolean,boolean) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+createTempFile(String,String,boolean,boolean)",org.h2.store.fs.FileSystemSplit+PREFIX,285,5,1,,"public String createTempFile(String prefix, String suffix, boolean deleteOnExit, boolean inTempDir)
            throws IOException {
        prefix = translateFileName(prefix);
        return PREFIX + getFileSystem(prefix).createTempFile(prefix, suffix, deleteOnExit, inTempDir);
    }",True
10,delete(String),Method,,,"org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+translateFileName(String) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystemSplit+getFileName(String,int) org.h2.store.fs.FileSystem+exists(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+exists(String) org.h2.store.fs.FileSystem+delete(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystemSplit+getFileSystem(String) org.h2.store.fs.FileSystem+delete(String)",,344,11,1,,"public void delete(String fileName) {
        fileName = translateFileName(fileName);
        for (int i = 0;; i++) {
            String f = getFileName(fileName, i);
            if (getFileSystem(fileName).exists(f)) {
                getFileSystem(fileName).delete(f);
            } else {
                break;
            }
        }
    }",False
