index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TRIGGER_PREFIX,Field,,,,,51,1,26,,"private static final String TRIGGER_PREFIX = ""FT_"";",False
2,SCHEMA,Field,,,,,42,1,26,,"private static final String SCHEMA = ""FT"";",False
3,FIELD_QUERY,Field,,,,,138,4,26,"/** 
 * The column name of the result set returned by the search method.
 */
","/**
     * The column name of the result set returned by the search method.
     */
    private static final String FIELD_QUERY = ""QUERY"";",False
4,FIELD_SCHEMA,Field,,,,,142,4,26,"/** 
 * A column name of the result set returned by the searchData method.
 */
","/**
     * A column name of the result set returned by the searchData method.
     */
    private static final String FIELD_SCHEMA = ""SCHEMA"";",False
5,FIELD_TABLE,Field,,,,,140,4,26,"/** 
 * A column name of the result set returned by the searchData method.
 */
","/**
     * A column name of the result set returned by the searchData method.
     */
    private static final String FIELD_TABLE = ""TABLE"";",False
6,FIELD_COLUMNS,Field,,,,,144,4,26,"/** 
 * A column name of the result set returned by the searchData method.
 */
","/**
     * A column name of the result set returned by the searchData method.
     */
    private static final String FIELD_COLUMNS = ""COLUMNS"";",False
7,FIELD_KEYS,Field,,,,,138,4,26,"/** 
 * A column name of the result set returned by the searchData method.
 */
","/**
     * A column name of the result set returned by the searchData method.
     */
    private static final String FIELD_KEYS = ""KEYS"";",False
8,setting,Field,,,,,33,1,2,,private FullTextSettings setting;,True
9,index,Field,,,,,24,1,2,,private IndexInfo index;,True
10,dataTypes,Field,,,,,24,1,2,,private int[] dataTypes;,True
11,prepInsertWord,Field,,,,,71,1,2,,"private PreparedStatement prepInsertWord, prepInsertRow, prepInsertMap;",True
12,prepInsertRow,Field,,,,,71,1,2,,"private PreparedStatement prepInsertWord, prepInsertRow, prepInsertMap;",True
13,prepInsertMap,Field,,,,,71,1,2,,"private PreparedStatement prepInsertWord, prepInsertRow, prepInsertMap;",True
14,prepDeleteRow,Field,,,,,55,1,2,,"private PreparedStatement prepDeleteRow, prepDeleteMap;",True
15,prepDeleteMap,Field,,,,,55,1,2,,"private PreparedStatement prepDeleteRow, prepDeleteMap;",True
16,prepSelectRow,Field,,,,,40,1,2,,private PreparedStatement prepSelectRow;,True
17,"createIndex(Connection,String,String,String)",Method,,org.h2.test.db.TestFullText+testCreateDrop(),"org.h2.fulltext.FullText+init(Connection) org.h2.fulltext.FullText+init(Connection) java.sql.Connection+prepareStatement(String) java.sql.Connection+prepareStatement(String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+execute() java.sql.PreparedStatement+execute() org.h2.fulltext.FullText+createTrigger(Connection,String,String) org.h2.fulltext.FullText+createTrigger(Connection,String,String) org.h2.fulltext.FullText+indexExistingRows(Connection,String,String) org.h2.fulltext.FullText+indexExistingRows(Connection,String,String)",org.h2.fulltext.FullText+SCHEMA,877,20,9,"/** 
 * Create a new full text index for a table and column list. Each table may only have one index at any time.
 * @param conn the connection
 * @param schema the schema name of the table (case sensitive)
 * @param table the table name (case sensitive)
 * @param columnList the column list (null for all columns)
 */
","/**
     * Create a new full text index for a table and column list. Each table may
     * only have one index at any time.
     *
     * @param conn the connection
     * @param schema the schema name of the table (case sensitive)
     * @param table the table name (case sensitive)
     * @param columnList the column list (null for all columns)
     */
    public static void createIndex(Connection conn, String schema, String table, String columnList) throws SQLException {
        init(conn);
        PreparedStatement prep = conn.prepareStatement(""INSERT INTO "" + SCHEMA
                + "".INDEXES(SCHEMA, TABLE, COLUMNS) VALUES(?, ?, ?)"");
        prep.setString(1, schema);
        prep.setString(2, table);
        prep.setString(3, columnList);
        prep.execute();
        createTrigger(conn, schema, table);
        indexExistingRows(conn, schema, table);
    }",False
18,"dropIndex(Connection,String,String)",Method,,org.h2.test.db.TestFullText+testCreateDrop(),"org.h2.fulltext.FullText+init(Connection) org.h2.fulltext.FullText+init(Connection) java.sql.Connection+prepareStatement(String) java.sql.Connection+prepareStatement(String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+setString(int,String) java.sql.PreparedStatement+executeQuery() java.sql.PreparedStatement+executeQuery() java.sql.ResultSet+next() java.sql.ResultSet+next() java.sql.ResultSet+getInt(int) java.sql.ResultSet+getInt(int) java.sql.Connection+prepareStatement(String) java.sql.Connection+prepareStatement(String) java.sql.PreparedStatement+setInt(int,int) java.sql.PreparedStatement+setInt(int,int) java.sql.PreparedStatement+execute() java.sql.PreparedStatement+execute() org.h2.fulltext.FullText+createOrDropTrigger(Connection,String,String,boolean) org.h2.fulltext.FullText+createOrDropTrigger(Connection,String,String,boolean) java.sql.Connection+prepareStatement(String) java.sql.Connection+prepareStatement(String) java.sql.PreparedStatement+setInt(int,int) java.sql.PreparedStatement+setInt(int,int) java.sql.PreparedStatement+executeUpdate() java.sql.PreparedStatement+executeUpdate() java.sql.Connection+prepareStatement(String) java.sql.Connection+prepareStatement(String) java.sql.PreparedStatement+executeUpdate() java.sql.PreparedStatement+executeUpdate()",org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA,1628,42,9,"/** 
 * Drop an existing full text index for a table. This method returns silently if no index for this table exists.
 * @param conn the connection
 * @param schema the schema name of the table (case sensitive)
 * @param table the table name (case sensitive)
 */
","/**
     * Drop an existing full text index for a table. This method returns
     * silently if no index for this table exists.
     *
     * @param conn the connection
     * @param schema the schema name of the table (case sensitive)
     * @param table the table name (case sensitive)
     */
    public static void dropIndex(Connection conn, String schema, String table) throws SQLException {
        init(conn);
        PreparedStatement prep = conn.prepareStatement(""SELECT ID FROM "" + SCHEMA
                + "".INDEXES WHERE SCHEMA=? AND TABLE=?"");
        prep.setString(1, schema);
        prep.setString(2, table);
        ResultSet rs = prep.executeQuery();
        if (!rs.next()) {
            return;
        }
        int indexId = rs.getInt(1);
        prep = conn.prepareStatement(""DELETE FROM "" + SCHEMA
                + "".INDEXES WHERE ID=?"");
        prep.setInt(1, indexId);
        prep.execute();
        createOrDropTrigger(conn, schema, table, false);
        prep = conn.prepareStatement(""DELETE FROM "" + SCHEMA +
                "".ROWS WHERE INDEXID=? AND ROWNUM<10000"");
        while (true) {
            prep.setInt(1, indexId);
            int deleted = prep.executeUpdate();
            if (deleted == 0) {
                break;
            }
        }
        prep = conn.prepareStatement(""DELETE FROM "" + SCHEMA + "".MAP M "" +
                ""WHERE NOT EXISTS (SELECT * FROM "" + SCHEMA + "".ROWS R WHERE R.ID=M.ROWID) AND ROWID<10000"");
        while (true) {
            int deleted = prep.executeUpdate();
            if (deleted == 0) {
                break;
            }
        }
    }",False
19,"createTrigger(Connection,String,String)",Method,"createIndex(Connection,String,String,String) reindex(Connection)",,"org.h2.fulltext.FullText+createOrDropTrigger(Connection,String,String,boolean) org.h2.fulltext.FullText+createOrDropTrigger(Connection,String,String,boolean)",,163,3,10,,"private static void createTrigger(Connection conn, String schema, String table) throws SQLException {
        createOrDropTrigger(conn, schema, table, true);
    }",False
20,"createOrDropTrigger(Connection,String,String,boolean)",Method,"dropIndex(Connection,String,String) createTrigger(Connection,String,String)",,java.sql.Connection+createStatement() java.sql.Connection+createStatement() org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.lang.StringBuffer+StringBuffer(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.lang.Class+getName() java.lang.Class+getName() java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.lang.StringBuffer+toString() java.lang.StringBuffer+toString(),org.h2.fulltext.FullText+TRIGGER_PREFIX,866,16,10,,"private static void createOrDropTrigger(Connection conn, String schema, String table, boolean create) throws SQLException {
        Statement stat = conn.createStatement();
        String trigger = StringUtils.quoteIdentifier(schema) + "".""
                + StringUtils.quoteIdentifier(TRIGGER_PREFIX + table);
        stat.execute(""DROP TRIGGER IF EXISTS "" + trigger);
        if (create) {
            StringBuffer buff = new StringBuffer(""CREATE TRIGGER IF NOT EXISTS "");
            buff.append(trigger);
            buff.append("" AFTER INSERT, UPDATE, DELETE ON "");
            buff.append(StringUtils.quoteIdentifier(schema) + ""."" + StringUtils.quoteIdentifier(table));
            buff.append("" FOR EACH ROW CALL \"""");
            buff.append(FullText.class.getName());
            buff.append(""\"""");
            stat.execute(buff.toString());
        }
    }",False
21,"indexExistingRows(Connection,String,String)",Method,"createIndex(Connection,String,String,String) reindex(Connection)",,"org.h2.fulltext.FullText+FullText() org.h2.fulltext.FullText+init(Connection,String,String,String,boolean,int) org.h2.fulltext.FullText+init(Connection,String,String,String,boolean,int) java.lang.StringBuffer+StringBuffer(String) java.lang.StringBuffer+append(String) java.lang.StringBuffer+append(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) org.h2.util.StringUtils+quoteIdentifier(String) java.sql.Statement+executeQuery(String) java.sql.Connection+createStatement() java.sql.Connection+createStatement() java.sql.Statement+executeQuery(String) java.lang.StringBuffer+toString() java.lang.StringBuffer+toString() java.sql.ResultSetMetaData+getColumnCount() java.sql.ResultSet+getMetaData() java.sql.ResultSet+getMetaData() java.sql.ResultSetMetaData+getColumnCount() java.sql.ResultSet+next() java.sql.ResultSet+next() java.sql.ResultSet+getObject(int) java.sql.ResultSet+getObject(int) org.h2.fulltext.FullText+fire(Connection,Object[],Object[]) org.h2.fulltext.FullText+fire(Connection,Object[],Object[])",org.h2.api.Trigger+INSERT,769,15,10,,"private static void indexExistingRows(Connection conn, String schema, String table) throws SQLException {
        FullText existing = new FullText();
        existing.init(conn, schema, null, table, false, INSERT);
        StringBuffer buff = new StringBuffer(""SELECT * FROM "");
        buff.append(StringUtils.quoteIdentifier(schema) + ""."" + StringUtils.quoteIdentifier(table));
        ResultSet rs = conn.createStatement().executeQuery(buff.toString());
        int columnCount = rs.getMetaData().getColumnCount();
        while (rs.next()) {
            Object[] row = new Object[columnCount];
            for (int i = 0; i < columnCount; i++) {
                row[i] = rs.getObject(i + 1);
            }
            existing.fire(conn, null, row);
        }
    }",False
22,reindex(Connection),Method,,,"org.h2.fulltext.FullText+init(Connection) org.h2.fulltext.FullText+init(Connection) org.h2.fulltext.FullText+removeAllTriggers(Connection) org.h2.fulltext.FullText+removeAllTriggers(Connection) org.h2.fulltext.FullTextSettings+getInstance(Connection) org.h2.fulltext.FullTextSettings+getInstance(Connection) java.util.HashMap+clear() org.h2.fulltext.FullTextSettings+getWordList() org.h2.fulltext.FullTextSettings+getWordList() java.util.HashMap+clear() java.sql.Connection+createStatement() java.sql.Connection+createStatement() java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.sql.Statement+execute(String) java.sql.Statement+executeQuery(String) java.sql.Statement+executeQuery(String) java.sql.ResultSet+next() java.sql.ResultSet+next() java.sql.ResultSet+getString(String) java.sql.ResultSet+getString(String) java.sql.ResultSet+getString(String) java.sql.ResultSet+getString(String) org.h2.fulltext.FullText+createTrigger(Connection,String,String) org.h2.fulltext.FullText+createTrigger(Connection,String,String) org.h2.fulltext.FullText+indexExistingRows(Connection,String,String) org.h2.fulltext.FullText+indexExistingRows(Connection,String,String)",org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA org.h2.fulltext.FullText+SCHEMA,898,22,9,"/** 
 * Re-creates the full text index for this database
 * @param conn the connection
 */
","/**
     * Re-creates the full text index for this database
     *
     * @param conn the connection
     */
    public static void reindex(Connection conn) throws SQLException {
        init(conn);
        removeAllTriggers(conn);
        FullTextSettings setting = FullTextSettings.getInstance(conn);
        setting.getWordList().clear();
        Statement stat = conn.createStatement();
        stat.execute(""TRUNCATE TABLE "" + SCHEMA + "".WORDS"");
        stat.execute(""TRUNCATE TABLE "" + SCHEMA + "".ROWS"");
        stat.execute(""TRUNCATE TABLE "" + SCHEMA + "".MAP"");
        ResultSet rs = stat.executeQuery(""SELECT * FROM "" + SCHEMA + "".INDEXES"");
        while (rs.next()) {
            String schema = rs.getString(""SCHEMA"");
            String table = rs.getString(""TABLE"");
            createTrigger(conn, schema, table);
            indexExistingRows(conn, schema, table);
        }
    }",False
