index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,_init,Field,,,,,31,1,25,,public static final Boot _init;,False
2,_jarHash,Field,Boot() Boot() Boot(),,,,29,1,17,,public final byte[] _jarHash;,False
3,_h2oJar,Field,,,,,30,1,18,,private final ZipFile _h2oJar;,False
4,_parentDir,Field,,,,,30,1,18,,private final File _parentDir;,False
5,_pool,Field,,,,,24,1,2,,private ClassPool _pool;,True
6,_serBases,Field,,,,,28,1,2,,private CtClass[] _serBases;,True
7,_enum,Field,,,,,22,1,2,,private CtClass _enum;,True
8,x,Field,,,,,21,1,10,,private static enum x,False
9,_x,Field,,,,,48,1,10,,"@SuppressWarnings(""unused"") private static x _x;",False
10,fromJar(),Method,boot(String[]) getResource2(String),water.hdfs.Hdfs+initialize(),,H2OInit.Boot+_h2oJar,52,1,1,,public boolean fromJar() { return _h2oJar != null; },False
11,getMD5(InputStream),Method,Boot(),,"java.security.MessageDigest+getInstance(String) java.security.MessageDigest+getInstance(String) java.io.InputStream+read(byte[]) java.io.InputStream+read(byte[]) java.security.MessageDigest+update(byte[],int,int) java.security.MessageDigest+update(byte[],int,int) java.security.MessageDigest+digest() java.security.MessageDigest+digest() java.lang.RuntimeException+RuntimeException(Throwable) java.io.InputStream+close() java.io.InputStream+close()",,430,13,2,,"private byte[] getMD5(InputStream is) throws IOException {
    try {
      MessageDigest md5 = MessageDigest.getInstance(""MD5"");
      byte[] buf = new byte[4096];
      int pos;
      while( (pos = is.read(buf)) > 0 ) md5.update(buf, 0, pos);
      return md5.digest();
    } catch( NoSuchAlgorithmException e ) {
      throw new RuntimeException(e);
    } finally {
      try { is.close(); } catch( IOException e ) { }
    }
  }",False
