index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,classPool,Field,,,,,30,1,4,,protected ClassPool classPool;,True
2,thisClass,Field,,,,,30,1,4,,protected CtClass   thisClass;,False
3,thisMethod,Field,,,,,32,1,4,,protected MethodInfo thisMethod;,False
4,resultStatic,Field,,,,,31,1,4,,protected boolean resultStatic;,False
5,"MemberCodeGen(Bytecode,CtClass,ClassPool)",Method,,,,javassist.compiler.MemberCodeGen+classPool javassist.compiler.MemberCodeGen+thisClass javassist.compiler.MemberCodeGen+thisMethod,159,6,1,,"public MemberCodeGen(Bytecode b, CtClass cc, ClassPool cp) {
        super(b);
        classPool = cp;
        thisClass = cc;
        thisMethod = null;
    }",False
6,setThisMethod(CtMethod),Method,,"javassist.compiler.Javac+compileMethod(Parser,MethodDecl) javassist.compiler.Javac+compileBody(CtBehavior,String)",javassist.CtBehavior+getMethodInfo2() javassist.CtBehavior+getMethodInfo2(),javassist.compiler.MemberCodeGen+thisMethod,148,6,1,"/** 
 * Records the currently compiled method.
 */
","/**
     * Records the currently compiled method.
     */
    public void setThisMethod(CtMethod m) {
        thisMethod = m.getMethodInfo2();
    }",False
7,getThisClass(),Method,,"javassist.compiler.Javac+compileField(FieldDecl) javassist.compiler.Javac+compileMethod(Parser,MethodDecl) javassist.compiler.Javac+compileMethod(Parser,MethodDecl)",,javassist.compiler.MemberCodeGen+thisClass,51,1,1,,public CtClass getThisClass() { return thisClass; },False
8,getThisName(),Method,,"javassist.compiler.JvstCodeGen+recordParams(CtClass[],boolean,String,String,String,SymbolTable)",javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.CtClass+getName() javassist.CtClass+getName(),javassist.compiler.MemberCodeGen+thisClass,172,6,4,"/** 
 * Returns the JVM-internal representation of this class name.
 */
","/**
     * Returns the JVM-internal representation of this class name.
     */
    protected String getThisName() {
        return javaToJvmName(thisClass.getName());
    }",False
9,getSuperName(),Method,,,javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.CtClass+getName() javassist.compiler.MemberCodeGen+getSuperclass(CtClass) javassist.compiler.MemberCodeGen+getSuperclass(CtClass) javassist.CtClass+getName(),javassist.compiler.MemberCodeGen+thisClass,214,6,4,"/** 
 * Returns the JVM-internal representation of this super class name.
 */
","/**
     * Returns the JVM-internal representation of this super class name.
     */
    protected String getSuperName() throws CompileError {
        return javaToJvmName(getSuperclass(thisClass).getName());
    }",False
10,insertDefaultSuperCall(),Method,,,"javassist.bytecode.Bytecode+addAload(int) javassist.bytecode.Bytecode+addAload(int) javassist.bytecode.Bytecode+addInvokespecial(CtClass,String,String) javassist.bytecode.Bytecode+addInvokespecial(CtClass,String,String) javassist.compiler.MemberCodeGen+getSuperclass(CtClass) javassist.compiler.MemberCodeGen+getSuperclass(CtClass)",javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.MemberCodeGen+thisClass,175,4,4,,"protected void insertDefaultSuperCall() throws CompileError {
        bytecode.addAload(0);
        bytecode.addInvokespecial(getSuperclass(thisClass), ""<init>"", ""()V"");
    }",False
11,atTryStmnt(Stmnt),Method,,,"javassist.compiler.ast.ASTList+getLeft() javassist.compiler.ast.ASTList+getLeft() javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+currentPc() javassist.compiler.ast.Stmnt+accept(Visitor) javassist.compiler.ast.Stmnt+accept(Visitor) javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+currentPc() javassist.compiler.CompileError+CompileError(String) javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+addIndex(int) javassist.bytecode.Bytecode+addIndex(int) javassist.compiler.CodeGen+getMaxLocals() javassist.compiler.CodeGen+getMaxLocals() javassist.compiler.CodeGen+incMaxLocals(int) javassist.compiler.CodeGen+incMaxLocals(int) javassist.compiler.ast.ASTree+getLeft() javassist.compiler.ast.ASTList+getRight() javassist.compiler.ast.ASTList+getRight() javassist.compiler.ast.ASTree+getLeft() javassist.compiler.ast.ASTList+head() javassist.compiler.ast.ASTList+head() javassist.compiler.ast.ASTList+tail() javassist.compiler.ast.ASTList+tail() javassist.compiler.ast.Pair+getLeft() javassist.compiler.ast.Pair+getLeft() javassist.compiler.ast.Pair+getRight() javassist.compiler.ast.Pair+getRight() javassist.compiler.ast.Declarator+setLocalVar(int) javassist.compiler.ast.Declarator+setLocalVar(int) javassist.compiler.MemberCodeGen+lookupJvmClass(String) javassist.compiler.MemberCodeGen+lookupJvmClass(String) javassist.compiler.ast.Declarator+getClassName() javassist.compiler.ast.Declarator+getClassName() javassist.compiler.ast.Declarator+setClassName(String) javassist.compiler.ast.Declarator+setClassName(String) javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.CtClass+getName() javassist.CtClass+getName() javassist.bytecode.Bytecode+addExceptionHandler(int,int,int,CtClass) javassist.bytecode.Bytecode+addExceptionHandler(int,int,int,CtClass) javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+growStack(int) javassist.bytecode.Bytecode+growStack(int) javassist.bytecode.Bytecode+addAstore(int) javassist.bytecode.Bytecode+addAstore(int) javassist.compiler.ast.Stmnt+accept(Visitor) javassist.compiler.ast.Stmnt+accept(Visitor) javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+addIndex(int) javassist.bytecode.Bytecode+addIndex(int) javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+currentPc() javassist.compiler.ast.ASTree+getLeft() javassist.compiler.ast.ASTree+getRight() javassist.compiler.ast.ASTList+getRight() javassist.compiler.ast.ASTList+getRight() javassist.compiler.ast.ASTree+getRight() javassist.compiler.ast.ASTree+getLeft() javassist.compiler.CompileError+CompileError(String) javassist.bytecode.Bytecode+write16bit(int,int) javassist.bytecode.Bytecode+write16bit(int,int) javassist.bytecode.Bytecode+currentPc() javassist.bytecode.Bytecode+currentPc()",javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.bytecode.Opcode+GOTO javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.bytecode.Opcode+GOTO javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+hasReturned,1665,47,4,,"protected void atTryStmnt(Stmnt st) throws CompileError {
        Stmnt body = (Stmnt)st.getLeft();
        if (body == null)
            return;

        int start = bytecode.currentPc();
        body.accept(this);
        int end = bytecode.currentPc();
        if (start == end)
            throw new CompileError(""empty try block"");

        bytecode.addOpcode(Opcode.GOTO);
        int pc = bytecode.currentPc();
        bytecode.addIndex(0);   // correct later

        int var = getMaxLocals();
        incMaxLocals(1);
        ASTList catchList = (ASTList)st.getRight().getLeft();
        while (catchList != null) {
            Pair p = (Pair)catchList.head();
            catchList = catchList.tail();
            Declarator decl = (Declarator)p.getLeft();
            Stmnt block = (Stmnt)p.getRight();

            decl.setLocalVar(var);

            CtClass type = lookupJvmClass(decl.getClassName());
            decl.setClassName(javaToJvmName(type.getName()));
            bytecode.addExceptionHandler(start, end, bytecode.currentPc(),
                                         type);
            bytecode.growStack(1);
            bytecode.addAstore(var);
            if (block != null)
                block.accept(this);

            bytecode.addOpcode(Opcode.GOTO);
            bytecode.addIndex(pc - bytecode.currentPc());
        }

        Stmnt finallyBlock = (Stmnt)st.getRight().getRight().getLeft();
        if (finallyBlock != null)
            throw new CompileError(
                        ""sorry, finally has not been supported yet"");

        bytecode.write16bit(pc, bytecode.currentPc() - pc + 1);
        hasReturned = false;
    }",False
12,atNewExpr(NewExpr),Method,,,"javassist.compiler.ast.NewExpr+isArray() javassist.compiler.ast.NewExpr+isArray() javassist.compiler.MemberCodeGen+atNewArrayExpr(NewExpr) javassist.compiler.MemberCodeGen+atNewArrayExpr(NewExpr) javassist.compiler.MemberCodeGen+lookupClass(ASTList) javassist.compiler.MemberCodeGen+lookupClass(ASTList) javassist.compiler.ast.NewExpr+getClassName() javassist.compiler.ast.NewExpr+getClassName() javassist.CtClass+getName() javassist.CtClass+getName() javassist.compiler.ast.NewExpr+getArguments() javassist.compiler.ast.NewExpr+getArguments() javassist.bytecode.Bytecode+addNew(String) javassist.bytecode.Bytecode+addNew(String) javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+addOpcode(int) javassist.compiler.MemberCodeGen+atMethodCall2(CtClass,String,ASTList,boolean,boolean,int) javassist.compiler.MemberCodeGen+atMethodCall2(CtClass,String,ASTList,boolean,boolean,int) javassist.compiler.MemberCodeGen+javaToJvmName(String) javassist.compiler.MemberCodeGen+javaToJvmName(String)",javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+bytecode javassist.bytecode.Opcode+DUP javassist.bytecode.MethodInfo+nameInit javassist.compiler.CodeGen+exprType javassist.compiler.TokenId+CLASS javassist.compiler.CodeGen+arrayDim javassist.compiler.CodeGen+className,559,17,1,,"public void atNewExpr(NewExpr expr) throws CompileError {
        if (expr.isArray())
            atNewArrayExpr(expr);
        else {
            CtClass clazz = lookupClass(expr.getClassName());
            String cname = clazz.getName();
            ASTList args = expr.getArguments();
            bytecode.addNew(cname);
            bytecode.addOpcode(DUP);

            atMethodCall2(clazz, MethodInfo.nameInit, args, false, true, -1);

            exprType = CLASS;
            arrayDim = 0;
            className = javaToJvmName(cname);
        }
    }",False
13,atNewArrayExpr(NewExpr),Method,atNewExpr(NewExpr),,"javassist.compiler.ast.NewExpr+getInitializer() javassist.compiler.ast.NewExpr+getInitializer() javassist.compiler.CompileError+CompileError(String) javassist.compiler.ast.NewExpr+getArrayType() javassist.compiler.ast.NewExpr+getArrayType() javassist.compiler.ast.NewExpr+getArraySize() javassist.compiler.ast.NewExpr+getArraySize() javassist.compiler.ast.NewExpr+getClassName() javassist.compiler.ast.NewExpr+getClassName() javassist.compiler.ast.ASTList+length() javassist.compiler.ast.ASTList+length() javassist.compiler.MemberCodeGen+atMultiNewArray(int,ASTList,ASTList) javassist.compiler.MemberCodeGen+atMultiNewArray(int,ASTList,ASTList) javassist.compiler.ast.ASTree+accept(Visitor) javassist.compiler.ast.ASTList+head() javassist.compiler.ast.ASTList+head() javassist.compiler.ast.ASTree+accept(Visitor) javassist.compiler.MemberCodeGen+resolveClassName(ASTList) javassist.compiler.MemberCodeGen+resolveClassName(ASTList) javassist.bytecode.Bytecode+addAnewarray(String) javassist.bytecode.Bytecode+addAnewarray(String) javassist.compiler.MemberCodeGen+jvmToJavaName(String) javassist.compiler.MemberCodeGen+jvmToJavaName(String) javassist.compiler.MemberCodeGen+badNewExpr() javassist.compiler.MemberCodeGen+badNewExpr() javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+addOpcode(int) javassist.bytecode.Bytecode+add(int) javassist.bytecode.Bytecode+add(int)",javassist.compiler.CodeGen+exprType javassist.compiler.CodeGen+arrayDim javassist.compiler.TokenId+CLASS javassist.compiler.CodeGen+className javassist.compiler.CodeGen+bytecode javassist.compiler.CodeGen+className javassist.compiler.CodeGen+className javassist.compiler.TokenId+BOOLEAN javassist.bytecode.Opcode+T_BOOLEAN javassist.compiler.TokenId+CHAR javassist.bytecode.Opcode+T_CHAR javassist.compiler.TokenId+FLOAT javassist.bytecode.Opcode+T_FLOAT javassist.compiler.TokenId+DOUBLE javassist.bytecode.Opcode+T_DOUBLE javassist.compiler.TokenId+BYTE javassist.bytecode.Opcode+T_BYTE javassist.compiler.TokenId+SHORT javassist.bytecode.Opcode+T_SHORT javassist.compiler.TokenId+INT javassist.bytecode.Opcode+T_INT javassist.compiler.TokenId+LONG javassist.bytecode.Opcode+T_LONG javassist.compiler.CodeGen+bytecode javassist.bytecode.Opcode+NEWARRAY javassist.compiler.CodeGen+bytecode,1588,56,1,,"public void atNewArrayExpr(NewExpr expr) throws CompileError {
        if (expr.getInitializer() != null)
            throw new CompileError(""array initializer is not supported"");

        int type = expr.getArrayType();
        ASTList size = expr.getArraySize();
        ASTList classname = expr.getClassName();
        if (size.length() > 1) {
            atMultiNewArray(type, classname, size);
            return;
        }

        size.head().accept(this);
        exprType = type;
        arrayDim = 1;
        if (type == CLASS) {
            className = resolveClassName(classname);
            bytecode.addAnewarray(jvmToJavaName(className));
        }
        else {
            className = null;
            int atype = 0;
            switch (type) {
            case BOOLEAN :
                atype = T_BOOLEAN;
                break;
            case CHAR :
                atype = T_CHAR;
                break;
            case FLOAT :
                atype = T_FLOAT;
                break;
            case DOUBLE :
                atype = T_DOUBLE;
                break;
            case BYTE :
                atype = T_BYTE;
                break;
            case SHORT :
                atype = T_SHORT;
                break;
            case INT :
                atype = T_INT;
                break;
            case LONG :
                atype = T_LONG;
                break;
            default :
                badNewExpr();
                break;
            }

            bytecode.addOpcode(NEWARRAY);
            bytecode.add(atype);
        }
    }",False
14,badNewExpr(),Method,atNewArrayExpr(NewExpr),,javassist.compiler.CompileError+CompileError(String),,114,3,10,,"private static void badNewExpr() throws CompileError {
        throw new CompileError(""bad new expression"");
    }",False
