index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,buf,Field,"DexBuffer(byte[],boolean) getSignature() readSmallUint(int) readOptionalUint(int) readUshort(int) readLong(int) readInt(int) readShort(int)",,,,48,1,16,,@Nonnull /* package private */ final byte[] buf;,False
2,stringCount,Field,,,,,30,1,18,,private final int stringCount;,False
3,stringStartOffset,Field,,,,,36,1,18,,private final int stringStartOffset;,False
4,typeCount,Field,,,,,28,1,18,,private final int typeCount;,False
5,typeStartOffset,Field,,,,,34,1,18,,private final int typeStartOffset;,False
6,protoCount,Field,,,,,29,1,18,,private final int protoCount;,False
7,protoStartOffset,Field,,,,,35,1,18,,private final int protoStartOffset;,False
8,fieldCount,Field,,,,,29,1,18,,private final int fieldCount;,False
9,fieldStartOffset,Field,,,,,35,1,18,,private final int fieldStartOffset;,False
10,methodCount,Field,,,,,30,1,18,,private final int methodCount;,False
11,methodStartOffset,Field,,,,,36,1,18,,private final int methodStartOffset;,False
12,classCount,Field,,,,,29,1,18,,private final int classCount;,False
13,classStartOffset,Field,,,,,35,1,18,,private final int classStartOffset;,False
14,stringCache,Field,,,,,44,1,18,,@Nonnull private final String[] stringCache;,False
15,MAGIC_VALUES,Field,,,,,203,3,26,,"private static final byte[][] MAGIC_VALUES= new byte[][] {
            new byte[]{0x64, 0x65, 0x78, 0x0a, 0x30, 0x33, 0x35, 0x00},
            new byte[]{0x64, 0x65, 0x78, 0x0a, 0x30, 0x33, 0x36, 0x00}};",False
16,LITTLE_ENDIAN_TAG,Field,,,,,56,1,26,,private static final int LITTLE_ENDIAN_TAG = 0x12345678;,False
17,BIG_ENDIAN_TAG,Field,,,,,53,1,26,,private static final int BIG_ENDIAN_TAG = 0x78563412;,False
18,CHECKSUM_OFFSET,Field,,,,,45,1,26,,private static final int CHECKSUM_OFFSET = 8;,False
19,SIGNATURE_OFFSET,Field,,,,,47,1,26,,private static final int SIGNATURE_OFFSET = 12;,False
20,ENDIAN_TAG_OFFSET,Field,,,,,48,1,26,,private static final int ENDIAN_TAG_OFFSET = 40;,False
21,MAP_OFFSET,Field,,,,,41,1,26,,private static final int MAP_OFFSET = 52;,False
22,STRING_COUNT_OFFSET,Field,,,,,50,1,26,,private static final int STRING_COUNT_OFFSET = 56;,False
23,STRING_START_OFFSET,Field,,,,,50,1,26,,private static final int STRING_START_OFFSET = 60;,False
