index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TEXT_KEY,Field,,,,,46,1,26,,"private static final String TEXT_KEY = ""text"";",False
2,text,Field,"TextNode(String,String) text(String)",,,,12,1,0,,String text;,False
3,"TextNode(String,String)",Method,,,,org.jsoup.nodes.Node+baseUri org.jsoup.nodes.Node+baseUri org.jsoup.nodes.TextNode+text org.jsoup.nodes.TextNode+text,299,11,1,"/** 
 * Create a new TextNode representing the supplied (unencoded) text).
 * @param text raw text
 * @param baseUri base uri
 * @see #createFromEncoded(String,String)
 */
","/**
     Create a new TextNode representing the supplied (unencoded) text).

     @param text raw text
     @param baseUri base uri
     @see #createFromEncoded(String, String)
     */
    public TextNode(String text, String baseUri) {
        this.baseUri = baseUri;
        this.text = text;
    }",False
4,nodeName(),Method,,,,,56,3,1,,"public String nodeName() {
        return ""#text"";
    }",False
5,text(),Method,,"org.jsoup.examples.HtmlToPlainText+FormattingVisitor.head(Node,int) org.jsoup.nodes.ElementTest+testGetTextNodes() org.jsoup.nodes.ElementTest+testGetTextNodes() org.jsoup.nodes.ElementTest+testGetTextNodes() org.jsoup.nodes.NodeTest+unwrap() org.jsoup.nodes.NodeTest+childNodesCopy() org.jsoup.nodes.TextNodeTest+testTextBean() org.jsoup.nodes.TextNodeTest+testTextBean() org.jsoup.nodes.TextNodeTest+testTextBean() org.jsoup.parser.XmlTreeBuilderTest+xmlFragment()",org.jsoup.nodes.TextNode+normaliseWhitespace(String) org.jsoup.nodes.TextNode+normaliseWhitespace(String) org.jsoup.nodes.TextNode+getWholeText() org.jsoup.nodes.TextNode+getWholeText(),,222,8,1,"/** 
 * Get the text content of this text node.
 * @return Unencoded, normalised text.
 * @see TextNode#getWholeText()
 */
","/**
     * Get the text content of this text node.
     * @return Unencoded, normalised text.
     * @see TextNode#getWholeText()
     */
    public String text() {
        return normaliseWhitespace(getWholeText());
    }",False
6,text(String),Method,splitText(int),org.jsoup.nodes.ElementTest+testManipulateTextNodes() org.jsoup.nodes.ElementTest+testManipulateTextNodes() org.jsoup.nodes.NodeTest+childNodesCopy() org.jsoup.nodes.TextNodeTest+testTextBean() org.jsoup.nodes.TextNodeTest+testSplitText(),"org.jsoup.nodes.Attributes+put(String,String) org.jsoup.nodes.Attributes+put(String,String)",org.jsoup.nodes.TextNode+text org.jsoup.nodes.TextNode+text org.jsoup.nodes.Node+attributes org.jsoup.nodes.Node+attributes org.jsoup.nodes.TextNode+TEXT_KEY,295,11,1,"/** 
 * Set the text content of this text node.
 * @param text unencoded text
 * @return this, for chaining
 */
","/**
     * Set the text content of this text node.
     * @param text unencoded text
     * @return this, for chaining
     */
    public TextNode text(String text) {
        this.text = text;
        if (attributes != null)
            attributes.put(TEXT_KEY, text);
        return this;
    }",False
7,getWholeText(),Method,"text() isBlank() splitText(int) splitText(int) outerHtmlHead(Appendable,int,Document.OutputSettings)","org.jsoup.helper.W3CDom+W3CBuilder.head(org.jsoup.nodes.Node,int) org.jsoup.nodes.Element+appendNormalisedText(StringBuilder,TextNode) org.jsoup.safety.Cleaner+CleaningVisitor.head(Node,int) org.jsoup.nodes.ElementTest+getElementsByTagName() org.jsoup.nodes.ElementTest+getElementsByTagName() org.jsoup.nodes.ElementTest+testNormalizesNbspInText() org.jsoup.nodes.TextNodeTest+testSplitText() org.jsoup.nodes.TextNodeTest+testSplitText() org.jsoup.parser.HtmlParserTest+parsesComments() org.jsoup.parser.HtmlParserTest+parsesUnterminatedComments()",org.jsoup.nodes.Attributes+get(String) org.jsoup.nodes.Attributes+get(String),org.jsoup.nodes.Node+attributes org.jsoup.nodes.TextNode+text org.jsoup.nodes.Node+attributes org.jsoup.nodes.TextNode+TEXT_KEY,247,7,1,"/** 
 * Get the (unencoded) text of this text node, including any newlines and spaces present in the original.
 * @return text
 */
","/**
     Get the (unencoded) text of this text node, including any newlines and spaces present in the original.
     @return text
     */
    public String getWholeText() {
        return attributes == null ? text : attributes.get(TEXT_KEY);
    }",False
8,isBlank(),Method,"outerHtmlHead(Appendable,int,Document.OutputSettings) outerHtmlHead(Appendable,int,Document.OutputSettings)",org.jsoup.nodes.Document+normaliseTextNodes(Element) org.jsoup.nodes.Element+hasText() org.jsoup.nodes.TextNodeTest+testBlank() org.jsoup.nodes.TextNodeTest+testBlank() org.jsoup.nodes.TextNodeTest+testBlank() org.jsoup.nodes.TextNodeTest+testBlank() org.jsoup.nodes.TextNodeTest+testBlank(),org.jsoup.helper.StringUtil+isBlank(String) org.jsoup.helper.StringUtil+isBlank(String) org.jsoup.nodes.TextNode+getWholeText() org.jsoup.nodes.TextNode+getWholeText(),,298,7,1,"/** 
 * Test if this text node is blank -- that is, empty or only whitespace (including newlines).
 * @return true if this document is empty or only whitespace, false if it contains any text content.
 */
","/**
     Test if this text node is blank -- that is, empty or only whitespace (including newlines).
     @return true if this document is empty or only whitespace, false if it contains any text content.
     */
    public boolean isBlank() {
        return StringUtil.isBlank(getWholeText());
    }",False
9,splitText(int),Method,,org.jsoup.nodes.ElementTest+testManipulateTextNodes() org.jsoup.nodes.TextNodeTest+testSplitText() org.jsoup.nodes.TextNodeTest+testSplitAnEmbolden(),"org.jsoup.helper.Validate+isTrue(boolean,String) org.jsoup.helper.Validate+isTrue(boolean,String) org.jsoup.helper.Validate+isTrue(boolean,String) org.jsoup.helper.Validate+isTrue(boolean,String) java.lang.String+length() java.lang.String+length() java.lang.String+substring(int,int) org.jsoup.nodes.TextNode+getWholeText() org.jsoup.nodes.TextNode+getWholeText() java.lang.String+substring(int,int) java.lang.String+substring(int) org.jsoup.nodes.TextNode+getWholeText() org.jsoup.nodes.TextNode+getWholeText() java.lang.String+substring(int) org.jsoup.nodes.TextNode+text(String) org.jsoup.nodes.TextNode+text(String) org.jsoup.nodes.TextNode+TextNode(String,String) org.jsoup.nodes.Node+baseUri() org.jsoup.nodes.Node+baseUri() org.jsoup.nodes.Node+parent() org.jsoup.nodes.Node+parent() org.jsoup.nodes.Node+addChildren(int,Node[]) org.jsoup.nodes.Node+parent() org.jsoup.nodes.Node+parent() org.jsoup.nodes.Node+addChildren(int,Node[]) org.jsoup.nodes.Node+siblingIndex() org.jsoup.nodes.Node+siblingIndex()",org.jsoup.nodes.TextNode+text,941,19,1,"/** 
 * Split this text node into two nodes at the specified string offset. After splitting, this node will contain the original text up to the offset, and will have a new text node sibling containing the text after the offset.
 * @param offset string offset point to split node at.
 * @return the newly created text node containing the text after the offset.
 */
","/**
     * Split this text node into two nodes at the specified string offset. After splitting, this node will contain the
     * original text up to the offset, and will have a new text node sibling containing the text after the offset.
     * @param offset string offset point to split node at.
     * @return the newly created text node containing the text after the offset.
     */
    public TextNode splitText(int offset) {
        Validate.isTrue(offset >= 0, ""Split offset must be not be negative"");
        Validate.isTrue(offset < text.length(), ""Split offset must not be greater than current text length"");

        String head = getWholeText().substring(0, offset);
        String tail = getWholeText().substring(offset);
        text(head);
        TextNode tailNode = new TextNode(tail, this.baseUri());
        if (parent() != null)
            parent().addChildren(siblingIndex()+1, tailNode);

        return tailNode;
    }",False
10,"outerHtmlHead(Appendable,int,Document.OutputSettings)",Method,,,"org.jsoup.nodes.Document.OutputSettings+prettyPrint() org.jsoup.nodes.Document.OutputSettings+prettyPrint() org.jsoup.nodes.Node+siblingIndex() org.jsoup.nodes.Node+siblingIndex() org.jsoup.parser.Tag+formatAsBlock() org.jsoup.nodes.Element+tag() org.jsoup.nodes.Element+tag() org.jsoup.parser.Tag+formatAsBlock() org.jsoup.nodes.TextNode+isBlank() org.jsoup.nodes.TextNode+isBlank() org.jsoup.nodes.Document.OutputSettings+outline() org.jsoup.nodes.Document.OutputSettings+outline() java.util.List+size() org.jsoup.nodes.Node+siblingNodes() org.jsoup.nodes.Node+siblingNodes() java.util.List+size() org.jsoup.nodes.TextNode+isBlank() org.jsoup.nodes.TextNode+isBlank() org.jsoup.nodes.Node+indent(Appendable,int,OutputSettings) org.jsoup.nodes.Node+indent(Appendable,int,OutputSettings) org.jsoup.nodes.Document.OutputSettings+prettyPrint() org.jsoup.nodes.Document.OutputSettings+prettyPrint() org.jsoup.nodes.Node+parent() org.jsoup.nodes.Node+parent() org.jsoup.nodes.Element+preserveWhitespace(Node) org.jsoup.nodes.Element+preserveWhitespace(Node) org.jsoup.nodes.Node+parent() org.jsoup.nodes.Node+parent() org.jsoup.nodes.Entities+escape(Appendable,String,OutputSettings,boolean,boolean,boolean) org.jsoup.nodes.Entities+escape(Appendable,String,OutputSettings,boolean,boolean,boolean) org.jsoup.nodes.TextNode+getWholeText() org.jsoup.nodes.TextNode+getWholeText()",org.jsoup.nodes.Node+parentNode org.jsoup.nodes.Node+parentNode,580,8,0,,"void outerHtmlHead(Appendable accum, int depth, Document.OutputSettings out) throws IOException {
        if (out.prettyPrint() && ((siblingIndex() == 0 && parentNode instanceof Element && ((Element) parentNode).tag().formatAsBlock() && !isBlank()) || (out.outline() && siblingNodes().size()>0 && !isBlank()) ))
            indent(accum, depth, out);

        boolean normaliseWhite = out.prettyPrint() && parent() instanceof Element
                && !Element.preserveWhitespace(parent());
        Entities.escape(accum, getWholeText(), out, false, normaliseWhite, false);
    }",False
