index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LOGGER,Field,,,,,106,4,26,"/** 
 * Logger.
 */
","/**
     * Logger.
     */
    private static final Logger LOGGER = Logger.getLogger(IrcConnection.class);",False
2,IRC_PROTOCOL_MAXIMUM_MESSAGE_SIZE,Field,,,,,225,5,26,"/** 
 * Maximum message size for IRC messages given the spec specifies a buffer of 512 bytes. The command ending (CRLF) takes up 2 bytes.
 */
","/**
     * Maximum message size for IRC messages given the spec specifies a buffer
     * of 512 bytes. The command ending (CRLF) takes up 2 bytes.
     */
    private static final int IRC_PROTOCOL_MAXIMUM_MESSAGE_SIZE = 510;",False
3,SPECIAL_CHARACTERS,Field,,,,,263,6,25,"/** 
 * Set of characters with special meanings for IRC, such as: ',' used as separator of list of items (channels, nicks, etc.), ' ' (space) separator of command parameters, etc.
 */
","/**
     * Set of characters with special meanings for IRC, such as: ',' used as
     * separator of list of items (channels, nicks, etc.), ' ' (space) separator
     * of command parameters, etc.
     */
    public static final Set<Character> SPECIAL_CHARACTERS;",False
4,provider,Field,"IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) onSuccess(IRCChannel) onSuccess(IRCChannel) onFailure(Exception) prepareChatRoom(ChatRoomIrcImpl,IRCChannel) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onError(ErrorMessage) ServerListener.onUserPrivMessage(UserPrivMsg) ServerListener.onUserPrivMessage(UserPrivMsg) ServerListener.onUserNotice(UserNotice) ServerListener.onUserNotice(UserNotice) ServerListener.onUserAction(UserActionMsg) ServerListener.onUserAction(UserActionMsg) ChatRoomListener.onChannelJoin(ChanJoinMessage) ChatRoomListener.onChannelKick(ChannelKick) ChatRoomListener.onChannelMessage(ChannelPrivMsg) ChatRoomListener.onChannelAction(ChannelActionMsg) ChatRoomListener.onChannelNotice(ChannelNotice) ChatRoomListener.leaveChatRoom() ChatRoomListener.extractChatRoomMember(ChannelModeMessage)",,,,120,4,18,"/** 
 * Instance of the protocol provider service.
 */
","/**
     * Instance of the protocol provider service.
     */
    private final ProtocolProviderServiceIrcImpl provider;",False
5,irc,Field,"IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) disconnect() disconnect() setSubject(ChatRoomIrcImpl,String) setSubject(ChatRoomIrcImpl,String) join(ChatRoomIrcImpl,String) join(ChatRoomIrcImpl,String) onSuccess(IRCChannel) onSuccess(IRCChannel) leave(String) leave(String) kickParticipant(ChatRoomIrcImpl,ChatRoomMember,String) kickParticipant(ChatRoomIrcImpl,ChatRoomMember,String) invite(String,ChatRoomIrcImpl) invite(String,ChatRoomIrcImpl) command(String,String) command(String,String) command(String,String) command(String,String) command(String,String) command(String,String) command(String,String) command(String,String) message(ChatRoomIrcImpl,String) message(ChatRoomIrcImpl,String) message(Contact,Message) message(Contact,Message) grant(ChatRoomIrcImpl,String,Mode) grant(ChatRoomIrcImpl,String,Mode) revoke(ChatRoomIrcImpl,String,Mode) revoke(ChatRoomIrcImpl,String,Mode)",,,,69,4,18,"/** 
 * Instance of IRC Api.
 */
","/**
     * Instance of IRC Api.
     */
    private final IRCApi irc;",False
6,connectionState,Field,"IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) isConnected() isConnected() isSecureConnection() getChannelTypes() ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onError(ErrorMessage) ServerListener.onError(ErrorMessage) ServerListener.onUserQuit(QuitMessage) ChatRoomListener.onUserQuit(QuitMessage) ChatRoomListener.isMe(String)",,,,112,4,18,"/** 
 * Connection state of a successful IRC connection.
 */
","/**
     * Connection state of a successful IRC connection.
     */
    private final IIRCState connectionState;",False
7,presence,Field,"IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) getPresenceManager()",,,,115,4,18,"/** 
 * Manager component that manages current IRC presence.
 */
","/**
     * Manager component that manages current IRC presence.
     */
    private final PresenceManager presence;",False
8,channelLister,Field,"IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) getServerChannelLister()",,,,117,4,18,"/** 
 * Manager component for server channel listing.
 */
","/**
     * Manager component for server channel listing.
     */
    private final ServerChannelLister channelLister;",False
9,identity,Field,"IrcConnection(ProtocolProviderServiceIrcImpl,IServerParameters,IRCApi) getIdentityManager() prepareChatRoom(ChatRoomIrcImpl,IRCChannel) calculateMaximumMessageSize(Contact)",,,,164,5,18,"/** 
 * The local user's identity as it will be used in server-client communication for sent messages.
 */
","/**
     * The local user's identity as it will be used in server-client
     * communication for sent messages.
     */
    private final IdentityManager identity;",False
10,joined,Field,"isJoined(ChatRoomIrcImpl) join(ChatRoomIrcImpl,String) join(ChatRoomIrcImpl,String) onSuccess(IRCChannel) onSuccess(IRCChannel) onFailure(Exception) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ServerListener.onServerNumericMessage(ServerNumericMessage) ChatRoomListener.onChannelKick(ChannelKick) ChatRoomListener.leaveChatRoom()",,,,406,12,18,"/** 
 * Container for joined channels. There are two different cases: <pre> - null value: joining is initiated but still in progress. - non-null value: joining is finished, chat room instance is available. </pre>
 */
","/**
     * Container for joined channels.
     *
     * There are two different cases:
     *
     * <pre>
     * - null value: joining is initiated but still in progress.
     * - non-null value: joining is finished, chat room instance is available.
     * </pre>
     */
    private final Map<String, ChatRoomIrcImpl> joined = Collections
        .synchronizedMap(new HashMap<String, ChatRoomIrcImpl>());",True
