index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,143,5,26,"/** 
 * The object used for logging.
 */
","/**
     * The object used for logging.
     */
    private static final Logger logger
        = Logger.getLogger(ConferenceChatManager.class);",False
2,chatRoomHistory,Field,,,,,209,5,18,"/** 
 * Maps each history window to a <tt>ChatRoomWrapper</tt>.
 */
","/**
     * Maps each history window to a <tt>ChatRoomWrapper</tt>.
     */
    private final Hashtable<ChatRoomWrapper, HistoryWindow> chatRoomHistory =
        new Hashtable<ChatRoomWrapper, HistoryWindow>();",False
3,chatRoomList,Field,,,,,119,4,18,"/** 
 * The list of persistent chat rooms.
 */
","/**
     * The list of persistent chat rooms.
     */
    private final ChatRoomList chatRoomList = new ChatRoomList();",False
4,adHocChatRoomList,Field,,,,,130,4,18,"/** 
 * The list of ad-hoc chat rooms.
 */
","/**
     * The list of ad-hoc chat rooms.
     */
    private final AdHocChatRoomList adHocChatRoomList = new AdHocChatRoomList();",False
5,listChangeListeners,Field,,,,,196,5,18,"/** 
 * A list of all <tt>ChatRoomListChangeListener</tt>-s.
 */
","/**
     * A list of all <tt>ChatRoomListChangeListener</tt>-s.
     */
    private final Vector<ChatRoomListChangeListener> listChangeListeners
        = new Vector<ChatRoomListChangeListener>();",False
6,adHoclistChangeListeners,Field,,,,,216,5,18,"/** 
 * A list of all <tt>AdHocChatRoomListChangeListener</tt>-s.
 */
","/**
     * A list of all <tt>AdHocChatRoomListChangeListener</tt>-s.
     */
    private final Vector<AdHocChatRoomListChangeListener>
        adHoclistChangeListeners = new Vector<AdHocChatRoomListChangeListener>();",False
7,ConferenceChatManager(),Method,,,java.lang.Thread+start() +() +run(),,458,18,1,"/** 
 * Creates an instance of <tt>ConferenceChatManager</tt>.
 */
","/**
     * Creates an instance of <tt>ConferenceChatManager</tt>.
     */
    public ConferenceChatManager()
    {
        // Loads the chat rooms list in a separate thread.
        new Thread()
        {
            @Override
            public void run()
            {
                chatRoomList.loadList();
                adHocChatRoomList.loadList();
            }
        }.start();

        GuiActivator.bundleContext.addServiceListener(this);
    }",False
8,getChatRoomList(),Method,,"net.java.sip.communicator.impl.gui.main.chat.ChatWindowManager+getMultiChatInternal(ChatRoom,boolean,String) net.java.sip.communicator.impl.gui.main.chatroomslist.ChatRoomListModel+ChatRoomListModel() net.java.sip.communicator.impl.gui.main.chatroomslist.ChatRoomTableModel+ChatRoomTableModel(JTable) net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.JoinChatRoomWindow+JoinChatRoomWindow(ChatRoomProviderWrapper) net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.JoinChatRoomWizard+JoinChatRoomWizard(MainFrame) net.java.sip.communicator.impl.gui.main.contactlist.ContactListPane+contactClicked(ContactListEvent) net.java.sip.communicator.impl.gui.main.contactlist.ContactListTreeCellRenderer+actionPerformed(ActionEvent) net.java.sip.communicator.impl.gui.main.login.LoginRendererSwingImpl+protocolProviderConnected(ProtocolProviderService,long)",,net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager+chatRoomList,273,10,1,"/** 
 * Returns all chat room providers currently contained in the chat room list.
 * @return  all chat room providers currently contained in the chat roomlist.
 */
","/**
     * Returns all chat room providers currently contained in the chat room
     * list.
     * @return  all chat room providers currently contained in the chat room
     * list.
     */
    public ChatRoomList getChatRoomList()
    {
        return chatRoomList;
    }",True
9,getAdHocChatRoomList(),Method,,"net.java.sip.communicator.impl.gui.main.chat.ChatWindowManager+getMultiChatInternal(AdHocChatRoom,boolean,String)",,net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager+adHocChatRoomList,309,11,1,"/** 
 * Returns all chat room providers currently contained in the ad-hoc chat room list.
 * @return  all chat room providers currently contained in the ad-hoc chatroom list.
 */
","/**
     * Returns all chat room providers currently contained in the ad-hoc chat
     * room list.
     *
     * @return  all chat room providers currently contained in the ad-hoc chat
     * room list.
     */
    public AdHocChatRoomList getAdHocChatRoomList()
    {
        return adHocChatRoomList;
    }",False
10,invitationReceived(ChatRoomInvitationReceivedEvent),Method,,,"net.java.sip.communicator.impl.gui.main.chat.conference.InvitationReceivedDialog+InvitationReceivedDialog(ConferenceChatManager,OperationSetMultiUserChat,ChatRoomInvitation) net.java.sip.communicator.service.protocol.event.ChatRoomInvitationReceivedEvent+getSourceOperationSet() net.java.sip.communicator.service.protocol.event.ChatRoomInvitationReceivedEvent+getSourceOperationSet() net.java.sip.communicator.service.protocol.event.ChatRoomInvitationReceivedEvent+getInvitation() net.java.sip.communicator.service.protocol.event.ChatRoomInvitationReceivedEvent+getInvitation() net.java.sip.communicator.plugin.desktoputil.SIPCommDialog+setVisible(boolean) net.java.sip.communicator.plugin.desktoputil.SIPCommDialog+setVisible(boolean)",,389,13,1,"/** 
 * Handles <tt>ChatRoomInvitationReceivedEvent</tt>-s.
 */
","/**
     * Handles <tt>ChatRoomInvitationReceivedEvent</tt>-s.
     */
    public void invitationReceived(ChatRoomInvitationReceivedEvent evt)
    {
        InvitationReceivedDialog dialog
            = new InvitationReceivedDialog(
                    this,
                    evt.getSourceOperationSet(),
                    evt.getInvitation());

        dialog.setVisible(true);
    }",False
11,invitationRejected(ChatRoomInvitationRejectedEvent),Method,,,,,70,1,1,,public void invitationRejected(ChatRoomInvitationRejectedEvent evt) {},False
12,messageDelivered(ChatRoomMessageDeliveredEvent),Method,,,"java.util.EventObject+getSource() java.util.EventObject+getSource() net.java.sip.communicator.util.Logger+isTraceEnabled() net.java.sip.communicator.util.Logger+isTraceEnabled() net.java.sip.communicator.util.Logger+trace(Object) net.java.sip.communicator.util.Logger+trace(Object) net.java.sip.communicator.service.protocol.ChatRoom+getName() net.java.sip.communicator.service.protocol.ChatRoom+getName() net.java.sip.communicator.impl.gui.main.chat.ChatWindowManager+getMultiChat(ChatRoom,boolean) net.java.sip.communicator.impl.gui.UIServiceImpl+getChatWindowManager() net.java.sip.communicator.impl.gui.GuiActivator+getUIService() net.java.sip.communicator.impl.gui.GuiActivator+getUIService() net.java.sip.communicator.impl.gui.UIServiceImpl+getChatWindowManager() net.java.sip.communicator.impl.gui.main.chat.ChatWindowManager+getMultiChat(ChatRoom,boolean) net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+getEventType() net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+getEventType() net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+getMessage() net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+getMessage() net.java.sip.communicator.impl.gui.main.chat.ChatPanel+addMessage(String,String,Date,String,String,String,String,String) net.java.sip.communicator.impl.gui.main.chat.ChatPanel+addMessage(String,String,Date,String,String,String,String,String) net.java.sip.communicator.service.protocol.ChatRoom+getUserNickname() net.java.sip.communicator.service.protocol.ChatRoom+getUserNickname() net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+getTimestamp() net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+getTimestamp() net.java.sip.communicator.service.protocol.Message+getContent() net.java.sip.communicator.service.protocol.Message+getContent() net.java.sip.communicator.service.protocol.Message+getContentType() net.java.sip.communicator.service.protocol.Message+getContentType() net.java.sip.communicator.service.protocol.Message+getMessageUID() net.java.sip.communicator.service.protocol.Message+getMessageUID()",net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager+logger net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager+logger net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+CONVERSATION_MESSAGE_DELIVERED net.java.sip.communicator.service.gui.Chat+OUTGOING_MESSAGE net.java.sip.communicator.service.protocol.event.ChatRoomMessageDeliveredEvent+ACTION_MESSAGE_DELIVERED net.java.sip.communicator.service.gui.Chat+ACTION_MESSAGE,1631,49,1,"/** 
 * Implements the <tt>ChatRoomMessageListener.messageDelivered</tt> method. <br> Shows the message in the conversation area and clears the write message area.
 * @param evt the <tt>ChatRoomMessageDeliveredEvent</tt> that notified usthat the message was delivered to its destination
 */
","/**
     * Implements the <tt>ChatRoomMessageListener.messageDelivered</tt> method.
     * <br>
     * Shows the message in the conversation area and clears the write message
     * area.
     * @param evt the <tt>ChatRoomMessageDeliveredEvent</tt> that notified us
     * that the message was delivered to its destination
     */
    public void messageDelivered(ChatRoomMessageDeliveredEvent evt)
    {
        ChatRoom sourceChatRoom = (ChatRoom) evt.getSource();

        if (logger.isTraceEnabled())
            logger.trace(
                ""MESSAGE DELIVERED to chat room: "" + sourceChatRoom.getName());

        ChatPanel chatPanel = GuiActivator.getUIService().getChatWindowManager()
            .getMultiChat(sourceChatRoom, false);

        if(chatPanel != null)
        {
            String messageType;

            switch (evt.getEventType())
            {
            case ChatRoomMessageDeliveredEvent.CONVERSATION_MESSAGE_DELIVERED:
                messageType = Chat.OUTGOING_MESSAGE;
                break;
            case ChatRoomMessageDeliveredEvent.ACTION_MESSAGE_DELIVERED:
                messageType = Chat.ACTION_MESSAGE;
                break;
            default:
                messageType = null;
                break;
            }

            Message msg = evt.getMessage();

            chatPanel.addMessage(
                sourceChatRoom.getUserNickname(),
                null,
                evt.getTimestamp(),
                messageType,
                msg.getContent(),
                msg.getContentType(),
                msg.getMessageUID(),
                null);
        }
    }",False
