index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,244,6,26,"/** 
 * The <tt>Logger</tt> used by the <tt>ResourceManagementServiceImpl</tt> class and its instances for logging output.
 */
","/**
     * The <tt>Logger</tt> used by the <tt>ResourceManagementServiceImpl</tt>
     * class and its instances for logging output.
     */
    private static final Logger logger
        = Logger.getLogger(ResourceManagementServiceImpl.class);",False
2,colorResources,Field,,,,,117,4,2,"/** 
 * Resources for currently loaded <tt>ColorPack</tt>.
 */
","/**
     * Resources for currently loaded <tt>ColorPack</tt>.
     */
    private Map<String, String> colorResources;",True
3,colorPack,Field,,,,,90,4,2,"/** 
 * Currently loaded color pack.
 */
","/**
     * Currently loaded color pack.
     */
    private ResourcePack colorPack = null;",True
4,imageResources,Field,,,,,117,4,2,"/** 
 * Resources for currently loaded <tt>ImagePack</tt>.
 */
","/**
     * Resources for currently loaded <tt>ImagePack</tt>.
     */
    private Map<String, String> imageResources;",True
5,imagePack,Field,,,,,90,4,2,"/** 
 * Currently loaded image pack.
 */
","/**
     * Currently loaded image pack.
     */
    private ResourcePack imagePack = null;",True
6,languageResources,Field,,,,,123,4,2,"/** 
 * Resources for currently loaded <tt>LanguagePack</tt>.
 */
","/**
     * Resources for currently loaded <tt>LanguagePack</tt>.
     */
    private Map<String, String> languageResources;",True
7,languagePack,Field,,,,,96,4,2,"/** 
 * Currently loaded language pack.
 */
","/**
     * Currently loaded language pack.
     */
    private LanguagePack languagePack = null;",True
8,languageLocale,Field,,,,,228,6,2,"/** 
 * The  {@link Locale} of <code>languageResources</code> so that the cachingof the latter can be used when a string with the same <code>Locale</code> is requested.
 */
","/**
     * The {@link Locale} of <code>languageResources</code> so that the caching
     * of the latter can be used when a string with the same <code>Locale</code>
     * is requested.
     */
    private Locale languageLocale;",True
9,settingsResources,Field,,,,,123,4,2,"/** 
 * Resources for currently loaded <tt>SettingsPack</tt>.
 */
","/**
     * Resources for currently loaded <tt>SettingsPack</tt>.
     */
    private Map<String, String> settingsResources;",True
10,settingsPack,Field,,,,,96,4,2,"/** 
 * Currently loaded settings pack.
 */
","/**
     * Currently loaded settings pack.
     */
    private ResourcePack settingsPack = null;",True
11,soundResources,Field,,,,,117,4,2,"/** 
 * Resources for currently loaded <tt>SoundPack</tt>.
 */
","/**
     * Resources for currently loaded <tt>SoundPack</tt>.
     */
    private Map<String, String> soundResources;",True
12,soundPack,Field,,,,,90,4,2,"/** 
 * Currently loaded sound pack.
 */
","/**
     * Currently loaded sound pack.
     */
    private ResourcePack soundPack = null;",True
13,skinResources,Field,,,,,115,4,2,"/** 
 * Resources for currently loaded <tt>SkinPack</tt>.
 */
","/**
     * Resources for currently loaded <tt>SkinPack</tt>.
     */
    private Map<String, String> skinResources;",False
14,skinPack,Field,,,,,92,4,2,"/** 
 * Currently loaded <tt>SkinPack</tt>.
 */
","/**
     * Currently loaded <tt>SkinPack</tt>.
     */
    private SkinPack skinPack = null;",True
15,uiService,Field,,,,,80,4,2,"/** 
 * UI Service reference.
 */
","/**
     * UI Service reference.
     */
    private UIService uiService = null;",False
