index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,WINDOW_LIST,Field,,,,,129,4,26,"/** 
 * The list of all <tt>Window</tt>s owned by this application.
 */
","/**
     * The list of all <tt>Window</tt>s owned by this application.
     */
    private static final List<Window> WINDOW_LIST;",True
2,c1,Field,,,,,58,1,26,,private static final Calendar c1 = Calendar.getInstance();,False
3,c2,Field,,,,,58,1,26,,private static final Calendar c2 = Calendar.getInstance();,False
4,MILLIS_PER_SECOND,Field,,,,,109,4,25,"/** 
 * Number of milliseconds in a second.
 */
","/**
     * Number of milliseconds in a second.
     */
    public static final long MILLIS_PER_SECOND = 1000;",False
5,MILLIS_PER_MINUTE,Field,,,,,136,4,25,"/** 
 * Number of milliseconds in a standard minute.
 */
","/**
     * Number of milliseconds in a standard minute.
     */
    public static final long MILLIS_PER_MINUTE = 60 * MILLIS_PER_SECOND;",False
6,MILLIS_PER_HOUR,Field,,,,,132,4,25,"/** 
 * Number of milliseconds in a standard hour.
 */
","/**
     * Number of milliseconds in a standard hour.
     */
    public static final long MILLIS_PER_HOUR = 60 * MILLIS_PER_MINUTE;",False
7,MILLIS_PER_DAY,Field,,,,,128,4,25,"/** 
 * Number of milliseconds in a standard day.
 */
","/**
     * Number of milliseconds in a standard day.
     */
    public static final long MILLIS_PER_DAY = 24 * MILLIS_PER_HOUR;",False
8,DIGIT_MAPPINGS,Field,,,,,62,1,26,,"private static final Map<Character, Character> DIGIT_MAPPINGS;",False
9,ESCAPE_SEQUENCES,Field,,,,,485,16,26,"/** 
 * Characters and their replacement in created folder names
 */
","/**
     *  Characters and their replacement in created folder names
     */
    private final static String[][] ESCAPE_SEQUENCES = new String[][]
    {
        {""&"", ""&_amp""},
        {""/"", ""&_sl""},
        {""\\\\"", ""&_bs""},   // the char \
        {"":"", ""&_co""},
        {""\\*"", ""&_as""},    // the char *
        {""\\?"", ""&_qm""},    // the char ?
        {""\"""", ""&_pa""},     // the char ""
        {""<"", ""&_lt""},
        {"">"", ""&_gt""},
        {""\\|"", ""&_pp""}     // the char |
    };",False
10,replaceSpecialRegExpChars(String),Method,,net.java.sip.communicator.impl.replacement.smiley.ReplacementServiceSmileyImpl+getSmileyPattern(Collection<Smiley>),"java.lang.String+replaceAll(String,String) java.lang.String+replaceAll(String,String)",,285,9,9,"/** 
 * Replaces some chars that are special in a regular expression.
 * @param text The initial text.
 * @return the formatted text
 */
","/**
     * Replaces some chars that are special in a regular expression.
     * @param text The initial text.
     * @return the formatted text
     */
    public static String replaceSpecialRegExpChars(String text)
    {
        return text.replaceAll(""([.()^&$*|])"", ""\\\\$1"");
    }",False
11,"getStringWidth(Component,String)",Method,,"net.java.sip.communicator.impl.gui.main.chat.StatusPanel+setStatusMessage(String) net.java.sip.communicator.impl.gui.main.chat.StatusPanel+setStatusMessage(String) net.java.sip.communicator.impl.gui.main.chat.StatusPanel+setStatusMessage(String) net.java.sip.communicator.impl.gui.main.presence.GlobalStatusSelectorBox+fitSizeToText() net.java.sip.communicator.impl.swingnotification.PopupMessageHandlerSwingImpl+getPopupMessageAreaHeight(Component,String) net.java.sip.communicator.util.swing.ExtendedTooltip+calculateLabelSize(JLabel)","javax.swing.SwingUtilities+computeStringWidth(FontMetrics,String) javax.swing.SwingUtilities+computeStringWidth(FontMetrics,String) java.awt.Component+getFontMetrics(Font) java.awt.Component+getFontMetrics(Font) java.awt.Component+getFont() java.awt.Component+getFont()",,379,11,9,"/** 
 * Returns the width in pixels of a text.
 * @param c the component where the text is contained
 * @param text the text to measure
 * @return the width in pixels of a text.
 */
","/**
     * Returns the width in pixels of a text.
     * @param c the component where the text is contained
     * @param text the text to measure
     * @return the width in pixels of a text.
     */
    public static int getStringWidth(Component c, String text)
    {
        return SwingUtilities.computeStringWidth(c
                .getFontMetrics(c.getFont()), text);
    }",True
