index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,processEngineName,Field,setProcessEngineName(String),,,,33,1,2,,private String processEngineName;,False
2,processService,Field,,,,,44,1,18,,private final ProcessService processService;,False
3,identityService,Field,,,,,46,1,18,,private final IdentityService identityService;,False
4,taskService,Field,,,,,38,1,18,,private final TaskService taskService;,False
5,managementService,Field,,,,,50,1,18,,private final ManagementService managementService;,False
6,deployerManager,Field,,,,,46,1,18,,private final DeployerManager deployerManager;,False
7,variableTypes,Field,,,,,42,1,18,,private final VariableTypes variableTypes;,False
8,jobExecutor,Field,,,,,38,1,18,,private final JobExecutor jobExecutor;,False
9,jobHandlers,Field,,,,,38,1,18,,private final JobHandlers jobHandlers;,False
10,idGenerator,Field,,,,,38,1,18,,private final IdGenerator idGenerator;,False
11,commandExecutor,Field,,,,,46,1,18,,private final CommandExecutor commandExecutor;,False
12,jobExecutorAutoActivate,Field,setJobExecutorAutoActivate(boolean),,,,40,1,2,,private boolean jobExecutorAutoActivate;,True
13,dbSchemaStrategy,Field,setDbSchemaStrategy(DbSchemaStrategy),,,,42,1,2,,private DbSchemaStrategy dbSchemaStrategy;,False
14,commandContextFactory,Field,ProcessEngineConfiguration() ProcessEngineConfiguration(),,,,59,1,2,,private DefaultCommandContextFactory commandContextFactory;,False
15,persistenceSessionFactory,Field,setPersistenceSessionFactory(PersistenceSessionFactory),,,,60,1,2,,private PersistenceSessionFactory persistenceSessionFactory;,False
