index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,connector,Field,RTPConnectorImpl(StreamConnector),,,,191,5,18,"/** 
 * The pair of datagram sockets for RTP and RTCP traffic that this instance uses in the form of a <tt>StreamConnector</tt>.
 */
","/**
     * The pair of datagram sockets for RTP and RTCP traffic that this instance
     * uses in the form of a <tt>StreamConnector</tt>.
     */
    private final StreamConnector connector;",False
2,controlInputStream,Field,,,,,128,4,2,"/** 
 * RTCP packet input stream used by <tt>RTPManager</tt>.
 */
","/**
     * RTCP packet input stream used by <tt>RTPManager</tt>.
     */
    private RTPConnectorInputStream controlInputStream;",False
3,controlOutputStream,Field,,,,,131,4,2,"/** 
 * RTCP packet output stream used by <tt>RTPManager</tt>.
 */
","/**
     * RTCP packet output stream used by <tt>RTPManager</tt>.
     */
    private RTPConnectorOutputStream controlOutputStream;",False
4,controlSocket,Field,,,,,128,4,2,"/** 
 * The UDP socket this instance uses to send and receive RTCP packets.
 */
","/**
     * The UDP socket this instance uses to send and receive RTCP packets.
     */
    private DatagramSocket controlSocket;",True
5,dataInputStream,Field,,,,,124,4,2,"/** 
 * RTP packet input stream used by <tt>RTPManager</tt>.
 */
","/**
     * RTP packet input stream used by <tt>RTPManager</tt>.
     */
    private RTPConnectorInputStream dataInputStream;",False
6,dataOutputStream,Field,,,,,127,4,2,"/** 
 * RTP packet output stream used by <tt>RTPManager</tt>.
 */
","/**
     * RTP packet output stream used by <tt>RTPManager</tt>.
     */
    private RTPConnectorOutputStream dataOutputStream;",False
7,dataSocket,Field,,,,,124,4,2,"/** 
 * The UDP socket this instance uses to send and receive RTP packets.
 */
","/**
     * The UDP socket this instance uses to send and receive RTP packets.
     */
    private DatagramSocket dataSocket;",True
8,RTPConnectorImpl(StreamConnector),Method,,,java.lang.NullPointerException+NullPointerException(String),net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+connector net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+connector,514,15,1,"/** 
 * Initializes a new <tt>RTPConnectorImpl</tt> which is to use a given pair of datagram sockets for RTP and RTCP traffic specified in the form of a <tt>StreamConnector</tt>.
 * @param connector the pair of datagram sockets for RTP and RTCP trafficthe new instance is to use
 */
","/**
     * Initializes a new <tt>RTPConnectorImpl</tt> which is to use a given pair
     * of datagram sockets for RTP and RTCP traffic specified in the form of a
     * <tt>StreamConnector</tt>.
     *
     * @param connector the pair of datagram sockets for RTP and RTCP traffic
     * the new instance is to use
     */
    public RTPConnectorImpl(StreamConnector connector)
    {
        if (connector == null)
            throw new NullPointerException(""connector"");

        this.connector = connector;
    }",False
9,addTarget(SessionAddress),Method,,net.java.sip.communicator.impl.neomedia.MediaStreamImpl+doSetTarget(MediaStreamTarget),"net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+addTarget(InetAddress,int) net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+getControlOutputStream() net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+getControlOutputStream() net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+addTarget(InetAddress,int) javax.media.rtp.SessionAddress+getControlAddress() javax.media.rtp.SessionAddress+getControlAddress() javax.media.rtp.SessionAddress+getControlPort() javax.media.rtp.SessionAddress+getControlPort() net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+addTarget(InetAddress,int) net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+getDataOutputStream() net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+getDataOutputStream() net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+addTarget(InetAddress,int) javax.media.rtp.SessionAddress+getDataAddress() javax.media.rtp.SessionAddress+getDataAddress() javax.media.rtp.SessionAddress+getDataPort() javax.media.rtp.SessionAddress+getDataPort()",,789,22,1,"/** 
 * Add a stream target. A stream target is the destination address which this RTP session will send its data to. For a single session, we can add multiple SessionAddresses, and for each address, one copy of data will be sent to.
 * @param target Destination target address
 * @throws IOException if there was a socket-related error while adding thespecified target
 */
","/**
     * Add a stream target. A stream target is the destination address which
     * this RTP session will send its data to. For a single session, we can add
     * multiple SessionAddresses, and for each address, one copy of data will be
     * sent to.
     *
     * @param target Destination target address
     * @throws IOException if there was a socket-related error while adding the
     * specified target
     */
    public void addTarget(SessionAddress target)
        throws IOException
    {
        getControlOutputStream()
            .addTarget(
                target.getControlAddress(),
                target.getControlPort());
        getDataOutputStream()
            .addTarget(
                target.getDataAddress(),
                target.getDataPort());
    }",False
10,close(),Method,,,net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorOutputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorInputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorInputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorInputStream+close() net.java.sip.communicator.impl.neomedia.RTPConnectorInputStream+close() net.java.sip.communicator.service.neomedia.StreamConnector+close() net.java.sip.communicator.service.neomedia.StreamConnector+close(),net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+dataOutputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+dataOutputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+dataOutputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+controlOutputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+controlOutputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+controlOutputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+dataInputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+dataInputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+dataInputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+controlInputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+controlInputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+controlInputStream net.java.sip.communicator.impl.neomedia.RTPConnectorImpl+connector,738,31,1,"/** 
 * Closes all sockets, stream, and the <tt>StreamConnector</tt> that this <tt>RTPConnector</tt> is using.
 */
","/**
     * Closes all sockets, stream, and the <tt>StreamConnector</tt> that this
     * <tt>RTPConnector</tt> is using.
     */
    public void close()
    {
        if (dataOutputStream != null)
        {
            dataOutputStream.close();
            dataOutputStream = null;
        }

        if (controlOutputStream != null)
        {
            controlOutputStream.close();
            controlOutputStream = null;
        }

        if (dataInputStream != null)
        {
            dataInputStream.close();
            dataInputStream = null;
        }
        if (controlInputStream != null)
        {
            controlInputStream.close();
            controlInputStream = null;
        }

        connector.close();
    }",False
