index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,86,2,26,,"private static final Logger logger = Logger
        .getLogger(FirstWizardPage.class);",True
2,FIRST_PAGE_IDENTIFIER,Field,,,,,73,1,25,,"public static final String FIRST_PAGE_IDENTIFIER = ""FirstPageIdentifier"";",False
3,USER_NAME_EXAMPLE,Field,,,,,74,1,25,,"public static final String USER_NAME_EXAMPLE = ""Ex: johnsmith@jabber.org"";",True
4,jabberNewAccountDialog,Field,,,,,54,1,2,,private JabberNewAccountDialog jabberNewAccountDialog;,True
5,userIDPassPanel,Field,,,,,88,2,2,,"private JPanel userIDPassPanel
        = new TransparentPanel(new BorderLayout(10, 10));",True
6,labelsPanel,Field,FirstWizardPage(JabberAccountRegistrationWizard) init(),,,,52,1,2,,private JPanel labelsPanel = new TransparentPanel();,True
7,valuesPanel,Field,FirstWizardPage(JabberAccountRegistrationWizard) init(),,,,52,1,2,,private JPanel valuesPanel = new TransparentPanel();,True
8,userIDLabel,Field,,,,,105,2,2,,"private JLabel userIDLabel
        = new JLabel(Resources.getString(""plugin.jabberaccregwizz.USERNAME""));",True
9,passLabel,Field,,,,,91,2,2,,"private JLabel passLabel
        = new JLabel(Resources.getString(""service.gui.PASSWORD""));",True
10,emptyPanel,Field,init() init(),,,,51,1,2,,private JPanel emptyPanel = new TransparentPanel();,True
11,userIDExampleLabel,Field,init() init() init(),,,,66,1,2,,private JLabel userIDExampleLabel = new JLabel(USER_NAME_EXAMPLE);,True
12,userIDField,Field,init() loadAccount(ProtocolProviderService) loadAccount(ProtocolProviderService),,,,50,1,2,,private JTextField userIDField = new JTextField();,True
13,passField,Field,loadAccount(ProtocolProviderService),,,,56,1,2,,private JPasswordField passField = new JPasswordField();,True
14,rememberPassBox,Field,init() loadAccount(ProtocolProviderService),,,,119,2,2,,"private JCheckBox rememberPassBox = new SIPCommCheckBox(Resources
        .getString(""service.gui.REMEMBER_PASSWORD""));",True
15,advancedOpPanel,Field,,,,,88,2,2,,"private JPanel advancedOpPanel
        = new TransparentPanel(new BorderLayout(10, 10));",True
16,labelsAdvOpPanel,Field,,,,,93,2,2,,"private JPanel labelsAdvOpPanel
        = new TransparentPanel(new GridLayout(0, 1, 10, 10));",True
17,valuesAdvOpPanel,Field,,,,,93,2,2,,"private JPanel valuesAdvOpPanel
        = new TransparentPanel(new GridLayout(0, 1, 10, 10));",True
18,sendKeepAliveBox,Field,,,,,132,2,2,,"private JCheckBox sendKeepAliveBox = new SIPCommCheckBox(Resources
        .getString(""plugin.jabberaccregwizz.ENABLE_KEEP_ALIVE""));",True
19,gmailNotificationsBox,Field,commitPage(),,,,150,2,2,,"private JCheckBox gmailNotificationsBox = new SIPCommCheckBox(Resources
            .getString(""plugin.jabberaccregwizz.ENABLE_GMAIL_NOTIFICATIONS""));",True
20,resourceLabel,Field,,,,,107,2,2,,"private JLabel resourceLabel
        = new JLabel(Resources.getString(""plugin.jabberaccregwizz.RESOURCE""));",True
21,resourceField,Field,,,,,102,2,2,,"private JTextField resourceField
        = new JTextField(JabberAccountRegistration.DEFAULT_RESOURCE);",True
22,priorityLabel,Field,,,,,108,2,2,,"private JLabel priorityLabel = new JLabel(
        Resources.getString(""plugin.jabberaccregwizz.PRIORITY""));",True
23,priorityField,Field,,,,,102,2,2,,"private JTextField priorityField
        = new JTextField(JabberAccountRegistration.DEFAULT_PRIORITY);",True
24,serverLabel,Field,,,,,103,2,2,,"private JLabel serverLabel
        = new JLabel(Resources.getString(""plugin.jabberaccregwizz.SERVER""));",True
25,serverField,Field,,,,,50,1,2,,private JTextField serverField = new JTextField();,True
26,portLabel,Field,,,,,99,2,2,,"private JLabel portLabel
        = new JLabel(Resources.getString(""plugin.jabberaccregwizz.PORT""));",True
27,portField,Field,,,,,94,2,2,,"private JTextField portField
        = new JTextField(JabberAccountRegistration.DEFAULT_PORT);",True
28,registerPanel,Field,,,,,74,1,2,,"private JPanel registerPanel = new TransparentPanel(new GridLayout(0, 1));",True
29,buttonPanel,Field,,,,,93,2,2,,"private JPanel buttonPanel
        = new TransparentPanel(new FlowLayout(FlowLayout.CENTER));",True
30,registerArea,Field,,,,,130,2,2,,"private JTextArea registerArea = new JTextArea(Resources
        .getString(""plugin.jabberaccregwizz.REGISTER_NEW_ACCOUNT_TEXT""));",True
31,registerButton,Field,,,,,120,2,2,,"private JButton registerButton = new JButton(Resources
        .getString(""plugin.jabberaccregwizz.NEW_ACCOUNT_TITLE""));",True
32,mainPanel,Field,init(),,,,50,1,2,,private JPanel mainPanel = new TransparentPanel();,True
33,nextPageIdentifier,Field,,,,,71,1,2,,private Object nextPageIdentifier = WizardPage.SUMMARY_PAGE_IDENTIFIER;,False
34,wizard,Field,FirstWizardPage(JabberAccountRegistrationWizard),,,,53,1,18,,private final JabberAccountRegistrationWizard wizard;,False
35,isCommitted,Field,commitPage(),,,,36,1,2,,private boolean isCommitted = false;,False
36,isServerOverridden,Field,loadAccount(ProtocolProviderService),,,,43,1,2,,private boolean isServerOverridden = false;,False
37,FirstWizardPage(JabberAccountRegistrationWizard),Method,,,"java.awt.BorderLayout+BorderLayout() java.awt.Container+setLayout(LayoutManager) java.awt.Container+setLayout(LayoutManager) javax.swing.BoxLayout+BoxLayout(Container,int) net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+init() net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+init() javax.swing.JComponent+setBorder(Border) javax.swing.JComponent+setBorder(Border) javax.swing.BorderFactory+createEmptyBorder(int,int,int,int) javax.swing.BorderFactory+createEmptyBorder(int,int,int,int) java.awt.Container+setLayout(LayoutManager) java.awt.Container+setLayout(LayoutManager) javax.swing.BoxLayout+BoxLayout(Container,int) java.awt.Container+setLayout(LayoutManager) java.awt.Container+setLayout(LayoutManager) javax.swing.BoxLayout+BoxLayout(Container,int)",net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+wizard net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+wizard net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+mainPanel net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+mainPanel javax.swing.BoxLayout+Y_AXIS net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+labelsPanel net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+labelsPanel net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+labelsPanel javax.swing.BoxLayout+Y_AXIS net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+valuesPanel net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+valuesPanel net.java.sip.communicator.plugin.jabberaccregwizz.FirstWizardPage+valuesPanel javax.swing.BoxLayout+Y_AXIS,620,23,1,"/** 
 * Creates an instance of <tt>FirstWizardPage</tt>.
 * @param wizard the parent wizard
 */
","/**
     * Creates an instance of <tt>FirstWizardPage</tt>.
     *
     * @param wizard the parent wizard
     */
    public FirstWizardPage(JabberAccountRegistrationWizard wizard)
    {
        super(new BorderLayout());

        this.wizard = wizard;

        mainPanel.setLayout(new BoxLayout(mainPanel, BoxLayout.Y_AXIS));

        this.init();

        this.setBorder(BorderFactory.createEmptyBorder(10, 10, 10, 10));

        this.labelsPanel
            .setLayout(new BoxLayout(labelsPanel, BoxLayout.Y_AXIS));

        this.valuesPanel
            .setLayout(new BoxLayout(valuesPanel, BoxLayout.Y_AXIS));
    }",False
