index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger the logger ,Field,,,,,99,4,18,"/** 
 * The logger.
 */
","/**
     * The logger.
     */
    private final Logger logger = Logger.getLogger(MainFrame.class);",False,False,"/** 
 * The logger.
 */
",False,"/** 
 * The logger.
 */
"
2,mainPanel,main panel the main container ,Field,init() init() initPluginComponents(),,,,139,5,18,"/** 
 * The main container.
 */
","/**
     * The main container.
     */
    private final TransparentPanel mainPanel
        = new TransparentPanel(new BorderLayout(0, 0));",False,False,"/** 
 * The main container.
 */
",False,"/** 
 * The main container.
 */
"
3,statusBarPanel,status bar panel the status bar panel ,Field,"removePluginComponent(Component,Container,Object)",,,,142,5,18,"/** 
 * The status bar panel.
 */
","/**
     * The status bar panel.
     */
    private final TransparentPanel statusBarPanel
        = new TransparentPanel(new BorderLayout());",False,False,"/** 
 * The status bar panel.
 */
",False,"/** 
 * The status bar panel.
 */
"
4,centerPanel,center panel the center panel containing the contact list ,Field,,,,,168,5,18,"/** 
 * The center panel, containing the contact list.
 */
","/**
     * The center panel, containing the contact list.
     */
    private final TransparentPanel centerPanel
        = new TransparentPanel(new BorderLayout(0, 0));",False,False,"/** 
 * The center panel, containing the contact list.
 */
",False,"/** 
 * The center panel, containing the contact list.
 */
"
5,menu,menu the main menu ,Field,,,,,60,4,2,"/** 
 * The main menu.
 */
","/**
     * The main menu.
     */
    private MainMenu menu;",False,False,"/** 
 * The main menu.
 */
",False,"/** 
 * The main menu.
 */
"
6,searchField,search field the search field shown above the contact list ,Field,MainFrame(),,,,108,4,18,"/** 
 * The search field shown above the contact list.
 */
","/**
     * The search field shown above the contact list.
     */
    private final SearchField searchField;",False,False,"/** 
 * The search field shown above the contact list.
 */
",False,"/** 
 * The search field shown above the contact list.
 */
"
7,protocolProviders,protocol providers a mapping of protocol provider service s and their indexes ,Field,addProtocolProvider(ProtocolProviderService) removeProtocolProvider(ProtocolProviderService),,,,227,5,18,"/** 
 * A mapping of <tt>ProtocolProviderService</tt>s and their indexes.
 */
","/**
     * A mapping of <tt>ProtocolProviderService</tt>s and their indexes.
     */
    private final HashMap<ProtocolProviderService, Integer> protocolProviders
        = new LinkedHashMap<ProtocolProviderService, Integer>();",False,False,"/** 
 * A mapping of <tt>ProtocolProviderService</tt>s and their indexes.
 */
",False,"/** 
 * A mapping of <tt>ProtocolProviderService</tt>s and their indexes.
 */
"
8,accountStatusPanel,account status panel the panel containing the accounts status menu ,Field,MainFrame(),,,,116,4,2,"/** 
 * The panel containing the accounts status menu.
 */
","/**
     * The panel containing the accounts status menu.
     */
    private AccountStatusPanel accountStatusPanel;",False,False,"/** 
 * The panel containing the accounts status menu.
 */
",False,"/** 
 * The panel containing the accounts status menu.
 */
"
9,unknownContactPanel,unknown contact panel the panel replacing the contact list shown when no matching is found for the search filter ,Field,,,,,171,5,2,"/** 
 * The panel replacing the contact list, shown when no matching is found for the search filter.
 */
","/**
     * The panel replacing the contact list, shown when no matching is found
     * for the search filter.
     */
    private UnknownContactPanel unknownContactPanel;",False,False,"/** 
 * The panel replacing the contact list, shown when no matching is found for the search filter.
 */
",False,"/** 
 * The panel replacing the contact list, shown when no matching is found for the search filter.
 */
"
10,providerContactHandlers,provider contact handlers a mapping of protocol provider service s and corresponding contact event handler s ,Field,,,,,298,7,18,"/** 
 * A mapping of <tt>ProtocolProviderService</tt>s and corresponding <tt>ContactEventHandler</tt>s.
 */
","/**
     * A mapping of <tt>ProtocolProviderService</tt>s and corresponding
     * <tt>ContactEventHandler</tt>s.
     */
    private final Map<ProtocolProviderService, ContactEventHandler>
        providerContactHandlers =
            new Hashtable<ProtocolProviderService, ContactEventHandler>();",False,False,"/** 
 * A mapping of <tt>ProtocolProviderService</tt>s and corresponding <tt>ContactEventHandler</tt>s.
 */
",False,"/** 
 * A mapping of <tt>ProtocolProviderService</tt>s and corresponding <tt>ContactEventHandler</tt>s.
 */
"
