index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,126,5,26,"/** 
 * Our class logger.
 */
","/**
     * Our class logger.
     */
    private static final Logger logger
        = Logger.getLogger(CallPeerSipImpl.class);",False
2,peerAddress,Field,"CallPeerSipImpl(Address,CallSipImpl,Transaction,SipProvider) setDisplayName(String)",,,,87,4,2,"/** 
 * The sip address of this peer
 */
","/**
     * The sip address of this peer
     */
    private Address peerAddress = null;",False
3,image,Field,setImage(byte[]),,,,112,4,2,"/** 
 * A byte array containing the image/photo representing the call peer.
 */
","/**
     * A byte array containing the image/photo representing the call peer.
     */
    private byte[] image;",True
4,peerID,Field,"CallPeerSipImpl(Address,CallSipImpl,Transaction,SipProvider) setPeerID(String)",,,,85,4,2,"/** 
 * A string uniquely identifying the peer.
 */
","/**
     * A string uniquely identifying the peer.
     */
    private String peerID;",True
5,call,Field,"CallPeerSipImpl(Address,CallSipImpl,Transaction,SipProvider) setCall(CallSipImpl)",,,,79,4,2,"/** 
 * The call this peer belongs to.
 */
","/**
     * The call this peer belongs to.
     */
    private CallSipImpl call;",False
6,jainSipDialog,Field,setDialog(Dialog),,,,166,5,2,"/** 
 * The JAIN SIP dialog that has been created by the application for communication with this call peer.
 */
","/**
     * The JAIN SIP dialog that has been created by the application for
     * communication with this call peer.
     */
    private Dialog jainSipDialog = null;",False
7,latestInviteTransaction,Field,setLatestInviteTransaction(Transaction),,,,239,6,2,"/** 
 * The SIP transaction that established this call. This was previously kept in the jain-sip dialog but got deprecated there so we're now keeping it here.
 */
","/**
     * The SIP transaction that established this call. This was previously kept
     * in the jain-sip dialog but got deprecated there so we're now keeping it
     * here.
     */
    private Transaction latestInviteTransaction = null;",False
8,jainSipProvider,Field,setJainSipProvider(SipProvider),,,,200,5,2,"/** 
 * The jain sip provider instance that is responsible for sending and receiving requests and responses related to this call peer.
 */
","/**
     * The jain sip provider instance that is responsible for sending and
     * receiving requests and responses related to this call peer.
     */
    private SipProvider jainSipProvider = null;",False
9,transportAddress,Field,setTransportAddress(InetSocketAddress) setTransportAddress(InetSocketAddress),,,,257,6,2,"/** 
 * The transport address that we are using to address the peer or the first one that we'll try when we next send them a message (could be the address of our sip registrar).
 */
","/**
     * The transport address that we are using to address the peer or the
     * first one that we'll try when we next send them a message (could be the
     * address of our sip registrar).
     */
    private InetSocketAddress transportAddress = null;",False
10,mediaHandler,Field,"CallPeerSipImpl(Address,CallSipImpl,Transaction,SipProvider)",,,,451,8,18,"/** 
 * The media handler class handles all media management for a single <tt>CallPeer</tt>. This includes initializing and configuring streams, generating SDP, handling ICE, etc. One instance of <tt>CallPeer</tt>always corresponds to exactly one instance of <tt>CallPeerMediaHandler</tt> and both classes are only separated for reasons of readability.
 */
","/**
     * The media handler class handles all media management for a single
     * <tt>CallPeer</tt>. This includes initializing and configuring streams,
     * generating SDP, handling ICE, etc. One instance of <tt>CallPeer</tt>always
     * corresponds to exactly one instance of <tt>CallPeerMediaHandler</tt> and
     * both classes are only separated for reasons of readability.
     */
    private final CallPeerMediaHandlerSipImpl mediaHandler;",True
11,mediaHandlerPropertyChangeListener,Field,,,,,216,5,2,"/** 
 * The <tt>PropertyChangeListener</tt> which listens to {@link #mediaHandler} for changes in the values of its properties.
 */
","/**
     * The <tt>PropertyChangeListener</tt> which listens to
     * {@link #mediaHandler} for changes in the values of its properties.
     */
    private PropertyChangeListener mediaHandlerPropertyChangeListener;",True
12,messageFactory,Field,"CallPeerSipImpl(Address,CallSipImpl,Transaction,SipProvider)",,,,175,5,18,"/** 
 * A reference to the <tt>SipMessageFactory</tt> instance that we should use when creating requests.
 */
","/**
     * A reference to the <tt>SipMessageFactory</tt> instance that we should
     * use when creating requests.
     */
    private final SipMessageFactory messageFactory;",False
13,methodProcessorListeners,Field,,,,,272,6,18,"/** 
 * The <tt>List</tt> of <tt>MethodProcessorListener</tt>s interested in how this <tt>CallPeer</tt> processes SIP signaling.
 */
","/**
     * The <tt>List</tt> of <tt>MethodProcessorListener</tt>s interested in how
     * this <tt>CallPeer</tt> processes SIP signaling.
     */
    private final List<MethodProcessorListener> methodProcessorListeners
        = new LinkedList<MethodProcessorListener>();",False
14,videoPropertyChangeListeners,Field,,,,,316,7,18,"/** 
 * The <tt>List</tt> of <tt>PropertyChangeListener</tt>s listening to this <tt>CallPeer</tt> for changes in the values of its properties related to video.
 */
","/**
     * The <tt>List</tt> of <tt>PropertyChangeListener</tt>s listening to this
     * <tt>CallPeer</tt> for changes in the values of its properties related to
     * video.
     */
    private final List<PropertyChangeListener> videoPropertyChangeListeners
            = new LinkedList<PropertyChangeListener>();",True
15,streamAudioLevelListeners,Field,,,,,243,6,18,"/** 
 * Holds listeners registered for level changes in the audio we are getting from the remote participant.
 */
","/**
     * Holds listeners registered for level changes in the audio we are getting
     * from the remote participant.
     */
    private final List<SoundLevelListener> streamAudioLevelListeners
        = new ArrayList<SoundLevelListener>();",True
16,conferenceMemberAudioLevelListeners,Field,,,,,358,8,18,"/** 
 * Holds listeners registered for level changes in the audio of participants that this peer might be mixing and that we are not directly communicating with.
 */
","/**
     * Holds listeners registered for level changes in the audio of participants
     * that this peer might be mixing and that we are not directly communicating
     * with.
     */
    private final List<ConferenceMembersSoundLevelListener>
        conferenceMemberAudioLevelListeners
            = new ArrayList<ConferenceMembersSoundLevelListener>();",True
