index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,114,4,26,"/** 
 * Our class logger.
 */
","/**
     * Our class logger.
     */
    private static final Logger logger = Logger.getLogger(CallSipImpl.class);",False
2,conferenceAudioMixer,Field,,,,,322,7,2,"/** 
 * The <tt>MediaDevice</tt> which performs audio mixing for this <tt>Call</tt> and its <tt>CallPeer</tt>s when the local peer represented by this <tt>Call</tt> is acting as a conference focus i.e. {@link #conferenceFocus} is <tt>true</tt>.
 */
","/**
     * The <tt>MediaDevice</tt> which performs audio mixing for this
     * <tt>Call</tt> and its <tt>CallPeer</tt>s when the local peer represented
     * by this <tt>Call</tt> is acting as a conference focus i.e.
     * {@link #conferenceFocus} is <tt>true</tt>.
     */
    private MediaDevice conferenceAudioMixer;",True
3,conferenceFocus,Field,setConferenceFocus(boolean) setConferenceFocus(boolean) setConferenceFocus(boolean) setConferenceFocus(boolean) setConferenceFocus(boolean),,,,315,7,2,"/** 
 * The indicator which determines whether the local peer represented by this <tt>Call</tt> is acting as a conference focus and is thus specifying the &quot;isfocus&quot; parameter in the Contact headers of its outgoing SIP signaling.
 */
","/**
     * The indicator which determines whether the local peer represented by this
     * <tt>Call</tt> is acting as a conference focus and is thus specifying the
     * &quot;isfocus&quot; parameter in the Contact headers of its outgoing SIP
     * signaling.
     */
    private boolean conferenceFocus = false;",True
4,localVideoAllowed,Field,"setLocalVideoAllowed(boolean,MediaUseCase)",,,,93,4,2,"/** 
 * Our video streaming policy.
 */
","/**
     * Our video streaming policy.
     */
    private boolean localVideoAllowed = false;",True
5,messageFactory,Field,CallSipImpl(OperationSetBasicTelephonySipImpl),,,,175,5,18,"/** 
 * A reference to the <tt>SipMessageFactory</tt> instance that we should use when creating requests.
 */
","/**
     * A reference to the <tt>SipMessageFactory</tt> instance that we should
     * use when creating requests.
     */
    private final SipMessageFactory messageFactory;",False
6,parentOpSet,Field,CallSipImpl(OperationSetBasicTelephonySipImpl),,,,169,5,18,"/** 
 * A reference to the <tt>OperationSetBasicTelephonySipImpl</tt> that created us;
 */
","/**
     * A reference to the <tt>OperationSetBasicTelephonySipImpl</tt> that
     * created us;
     */
    private final OperationSetBasicTelephonySipImpl parentOpSet;",False
7,localUserAudioLevelListeners,Field,,,,,198,5,18,"/** 
 * Holds listeners registered for level changes in local audio.
 */
","/**
     * Holds listeners registered for level changes in local audio.
     */
    private final List<SoundLevelListener> localUserAudioLevelListeners
        = new ArrayList<SoundLevelListener>();",True
8,mute,Field,isMute() setMute(boolean) setMute(boolean),,,,175,5,2,"/** 
 * The indicator which determines whether this <tt>Call</tt> is set to transmit ""silence"" instead of the actual media.
 */
","/**
     * The indicator which determines whether this <tt>Call</tt> is set
     * to transmit ""silence"" instead of the actual media.
     */
    private boolean mute = false;",True
9,mediaUseCase,Field,,,,,140,4,0,"/** 
 * Device used in call will be choosen according to <tt>MediaUseCase</tt>.
 */
","/**
     * Device used in call will be choosen according to <tt>MediaUseCase</tt>.
     */
    MediaUseCase mediaUseCase = MediaUseCase.ANY;",True
10,localAudioLevelDelegator,Field,,,,,460,13,18,"/** 
 * The listener that would actually subscribe for level events from the media handler if there's at least one listener in <tt>localUserAudioLevelListeners</tt>.
 */
","/**
     * The listener that would actually subscribe for level events from the
     * media handler if there's at least one listener in
     * <tt>localUserAudioLevelListeners</tt>.
     */
    private final SimpleAudioLevelListener localAudioLevelDelegator
        = new SimpleAudioLevelListener()
        {
            public void audioLevelChanged(int level)
            {
                fireLocalUserAudioLevelChangeEvent(level);
            }
        };",True
