index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,83,2,26,,"private static final Logger logger =
        Logger.getLogger(CallPeerPanel.class);",False
2,callStatusLabel,Field,"setState(String,Icon) setState(String,Icon)",,,,52,1,18,,private final JLabel callStatusLabel = new JLabel();,True
3,securityStatusLabel,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,54,1,18,,private final SecurityStatusLabel securityStatusLabel;,True
4,muteStatusLabel,Field,,,,,52,1,18,,private final JLabel muteStatusLabel = new JLabel();,True
5,timeLabel,Field,,,,,71,1,18,,"private final JLabel timeLabel = new JLabel(""00:00:00"", JLabel.CENTER);",False
6,callStartTime,Field,,,,,203,5,18,"/** 
 * This date is meant to be used in the GuiCallPeerRecord, which is added to the CallList after a call.
 */
","/**
     * This date is meant to be used in the GuiCallPeerRecord, which is
     * added to the CallList after a call.
     */
    private final Date callStartTime = new Date(System.currentTimeMillis());",True
7,callDuration,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,26,1,2,,private Date callDuration;,True
8,timer,Field,"CallPeerPanel(CallDialog,CallPeer) CallPeerPanel(CallDialog,CallPeer) startCallTimer() stopCallTimer()",,,,20,1,2,,private Timer timer;,True
9,callType,Field,setCallType(String),,,,24,1,2,,private String callType;,True
10,peerName,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,30,1,18,,private final String peerName;,False
11,callPeer,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,32,1,18,,private final CallPeer callPeer;,False
12,videoContainers,Field,,,,,93,2,18,,"private final java.util.List<Container> videoContainers =
        new ArrayList<Container>();",False
13,videoTelephony,Field,,,,,50,1,2,,private OperationSetVideoTelephony videoTelephony;,False
14,localVideo,Field,handleVideoEvent(VideoEvent) handleVideoEvent(VideoEvent) handleVideoEvent(VideoEvent),,,,29,1,2,,private Component localVideo;,False
15,isAudioSecurityOn,Field,setAudioSecurityOn(boolean),,,,42,1,2,,private boolean isAudioSecurityOn = false;,True
16,isVideoSecurityOn,Field,setVideoSecurityOn(boolean),,,,42,1,2,,private boolean isVideoSecurityOn = false;,True
17,encryptionCipher,Field,setEncryptionCipher(String),,,,32,1,2,,private String encryptionCipher;,True
18,fullScreenWindow,Field,exitFullScreen(Window) exitFullScreen(Window),,,,352,7,2,"/** 
 * The current <code>Window</code> being displayed in full-screen. Because the AWT API with respect to the full-screen support doesn't seem sophisticated enough, the field is used sparingly i.e. when there are no other means (such as a local variable) of acquiring the instance.
 */
","/**
     * The current <code>Window</code> being displayed in full-screen. Because
     * the AWT API with respect to the full-screen support doesn't seem
     * sophisticated enough, the field is used sparingly i.e. when there are no
     * other means (such as a local variable) of acquiring the instance.
     */
    private Window fullScreenWindow;",False
