index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,isMouseOver,Field,setMouseOver(boolean),,,,36,1,2,,private boolean isMouseOver = false;,False
2,menu,Field,removeMenuItem(JComponent),,,,49,1,18,,private final JPopupMenu menu = new JPopupMenu();,False
3,menuItemsTable,Field,removeMenuItem(JComponent),,,,97,2,18,,"private final Map<String, Component> menuItemsTable =
        new Hashtable<String, Component>();",False
4,MoreButton(),Method,,,javax.swing.ImageIcon+ImageIcon(Image) net.java.sip.communicator.impl.gui.utils.ImageLoader+getImage(ImageID) net.java.sip.communicator.impl.gui.utils.ImageLoader+getImage(ImageID) javax.swing.JLabel+setVerticalTextPosition(int) javax.swing.JLabel+setVerticalTextPosition(int) javax.swing.JLabel+setHorizontalTextPosition(int) javax.swing.JLabel+setHorizontalTextPosition(int) javax.swing.JComponent+setToolTipText(String) javax.swing.JComponent+setToolTipText(String) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String) net.java.sip.communicator.impl.gui.GuiActivator+getResources() net.java.sip.communicator.impl.gui.GuiActivator+getResources() net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String) java.awt.Component+addMouseListener(MouseListener) java.awt.Component+addMouseListener(MouseListener) java.awt.Component+addFocusListener(FocusListener) java.awt.Component+addFocusListener(FocusListener),net.java.sip.communicator.impl.gui.utils.ImageLoader+MORE_BUTTON javax.swing.SwingConstants+CENTER javax.swing.SwingConstants+BOTTOM javax.swing.SwingConstants+CENTER,442,15,1,,"public MoreButton()
    {
        super(new ImageIcon(ImageLoader.getImage(ImageLoader.MORE_BUTTON)),
            JLabel.CENTER);

        this.setVerticalTextPosition(SwingConstants.BOTTOM);
        this.setHorizontalTextPosition(SwingConstants.CENTER);

        this.setToolTipText(
            GuiActivator.getResources().getI18NString(""service.gui.MORE""));

        this.addMouseListener(this);

        this.addFocusListener(this);
    }",False
5,getComponent(),Method,,,,,61,4,1,,"public Object getComponent()
    {
        return this;
    }",False
6,getConstraints(),Method,,,,,63,4,1,,"public String getConstraints()
    {
        return null;
    }",True
7,getContainer(),Method,,,,net.java.sip.communicator.service.gui.Container+CONTAINER_MAIN_TOOL_BAR,93,4,1,,"public Container getContainer()
    {
        return Container.CONTAINER_MAIN_TOOL_BAR;
    }",True
8,getName(),Method,,,javax.swing.JLabel+getText() javax.swing.JLabel+getText(),,66,4,1,,"public String getName()
    {
        return this.getText();
    }",False
9,setMouseOver(boolean),Method,mouseEntered(MouseEvent) mouseExited(MouseEvent),,java.awt.Component+repaint() java.awt.Component+repaint(),net.java.sip.communicator.impl.gui.main.menus.MoreButton+isMouseOver net.java.sip.communicator.impl.gui.main.menus.MoreButton+isMouseOver,121,5,1,,"public void setMouseOver(boolean isMouseOver)
    {
        this.isMouseOver = isMouseOver;
        this.repaint();
    }",False
10,setCurrentContact(Contact),Method,,,,,58,3,1,,"public void setCurrentContact(Contact contact)
    {
    }",True
11,setCurrentContact(MetaContact),Method,,,,,66,3,1,,"public void setCurrentContact(MetaContact metaContact)
    {
    }",True
12,setCurrentContactGroup(MetaContactGroup),Method,,,,,74,3,1,,"public void setCurrentContactGroup(MetaContactGroup metaGroup)
    {
    }",True
13,mouseClicked(MouseEvent),Method,,,,,50,3,1,,"public void mouseClicked(MouseEvent e)
    {
    }",False
14,mouseEntered(MouseEvent),Method,,,net.java.sip.communicator.impl.gui.main.menus.MoreButton+setMouseOver(boolean) net.java.sip.communicator.impl.gui.main.menus.MoreButton+setMouseOver(boolean),,83,4,1,,"public void mouseEntered(MouseEvent e)
    {
        this.setMouseOver(true);
    }",False
15,mouseExited(MouseEvent),Method,,,net.java.sip.communicator.impl.gui.main.menus.MoreButton+setMouseOver(boolean) net.java.sip.communicator.impl.gui.main.menus.MoreButton+setMouseOver(boolean),,83,4,1,,"public void mouseExited(MouseEvent e)
    {
        this.setMouseOver(false);
    }",False
16,mousePressed(MouseEvent),Method,,,"javax.swing.JComponent+requestFocus() javax.swing.JComponent+requestFocus() javax.swing.JPopupMenu+isVisible() javax.swing.JPopupMenu+isVisible() java.awt.Component+getLocationOnScreen() java.awt.Component+getLocationOnScreen() javax.swing.JPopupMenu+setLocation(int,int) javax.swing.JPopupMenu+setLocation(int,int) javax.swing.JComponent+getHeight() javax.swing.JComponent+getHeight() javax.swing.JPopupMenu+setVisible(boolean) javax.swing.JPopupMenu+setVisible(boolean) javax.swing.JPopupMenu+setVisible(boolean) javax.swing.JPopupMenu+setVisible(boolean)",net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu java.awt.Point+x java.awt.Point+y net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu,389,17,1,,"public void mousePressed(MouseEvent e)
    {
        requestFocus();

        if (!menu.isVisible())
        {
            Point locationOnScreen = getLocationOnScreen();

            menu.setLocation(
                locationOnScreen.x,
                locationOnScreen.y + getHeight());

            menu.setVisible(true);
        }
        else
            menu.setVisible(false);
    }",False
17,mouseReleased(MouseEvent),Method,,,,,51,3,1,,"public void mouseReleased(MouseEvent e)
    {
    }",False
18,getPositionIndex(),Method,,,,,239,9,1,"/** 
 * Specifies the position of this component in the container, where it will be added.
 * @return 0 to indicate the first position in the container.
 */
","/**
     * Specifies the position of this component in the container, where it
     * will be added.
     * @return 0 to indicate the first position in the container.
     */
    public int getPositionIndex()
    {
        return -1;
    }",True
19,focusGained(FocusEvent),Method,,,,,52,3,1,,"public void focusGained(FocusEvent arg0)
    {
    }",False
20,focusLost(FocusEvent),Method,,,javax.swing.JPopupMenu+setVisible(boolean) javax.swing.JPopupMenu+setVisible(boolean),net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu,82,4,1,,"public void focusLost(FocusEvent arg0)
    {
        menu.setVisible(false);
    }",False
21,addMenuItem(JComponent),Method,,net.java.sip.communicator.impl.gui.main.menus.ExtendedQuickMenu+componentMoved(ComponentEvent),javax.swing.JComponent+getToolTipText() javax.swing.JComponent+getToolTipText() net.java.sip.communicator.impl.gui.main.menus.MoreButton+containsItem(String) net.java.sip.communicator.impl.gui.main.menus.MoreButton+containsItem(String) javax.swing.JMenuItem+JMenuItem(String) javax.swing.AbstractButton+addActionListener(ActionListener) javax.swing.AbstractButton+addActionListener(ActionListener) +() +actionPerformed(ActionEvent),,1190,36,1,,"public void addMenuItem(final JComponent c)
    {
        String name = c.getToolTipText();

        if (!this.containsItem(name))
        {
            JMenuItem item = new JMenuItem(name);
            item.addActionListener(new ActionListener()
            {
                public void actionPerformed(ActionEvent e)
                {
                    MouseEvent mouseEvent
                        = new MouseEvent(c,
                            MouseEvent.MOUSE_PRESSED,
                            System.currentTimeMillis(),
                            MouseEvent.BUTTON1,
                            c.getX(),
                            c.getY(),
                            1,
                            false);

                    for (MouseListener l : c.getMouseListeners())
                    {
                        l.mousePressed(mouseEvent);
                        l.mouseReleased(mouseEvent);
                        l.mouseClicked(mouseEvent);
                    }
                    
                    menu.setVisible(false);
                }
            });

            this.menu.add(item);
            this.menuItemsTable.put(name, item);
        }
    }",False
22,removeMenuItem(JComponent),Method,,net.java.sip.communicator.impl.gui.main.menus.ExtendedQuickMenu+componentMoved(ComponentEvent),javax.swing.JComponent+getToolTipText() javax.swing.JComponent+getToolTipText() java.util.Map+get(Object) java.util.Map+get(Object) java.awt.Container+remove(Component) java.awt.Container+remove(Component) java.util.Map+remove(Object) java.util.Map+remove(Object),net.java.sip.communicator.impl.gui.main.menus.MoreButton+menuItemsTable net.java.sip.communicator.impl.gui.main.menus.MoreButton+menuItemsTable net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu net.java.sip.communicator.impl.gui.main.menus.MoreButton+menu net.java.sip.communicator.impl.gui.main.menus.MoreButton+menuItemsTable,274,11,1,,"public void removeMenuItem(JComponent c)
    {
        String name = c.getToolTipText();
        Component item = this.menuItemsTable.get(name);

        if (item != null)
        {
            this.menu.remove(item);
            menuItemsTable.remove(name);
        }
    }",False
23,getItemsCount(),Method,,net.java.sip.communicator.impl.gui.main.menus.ExtendedQuickMenu+componentMoved(ComponentEvent),java.util.Map+size() java.util.Map+size(),net.java.sip.communicator.impl.gui.main.menus.MoreButton+menuItemsTable,76,4,1,,"public int getItemsCount()
    {
        return menuItemsTable.size();
    }",False
24,containsItem(String),Method,addMenuItem(JComponent),,java.util.Map+containsKey(Object) java.util.Map+containsKey(Object),net.java.sip.communicator.impl.gui.main.menus.MoreButton+menuItemsTable,101,4,1,,"public boolean containsItem(String name)
    {
        return menuItemsTable.containsKey(name);
    }",False
25,isNativeComponent(),Method,,,,,68,4,1,,"public boolean isNativeComponent()
    {
        return false;
    }",True
