index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,textContent,Field,"MessageZeroconfImpl(String,String,String,int)",,,,85,4,2,"/** 
 * The actual message content.
 */
","/**
     * The actual message content.
     */
    private String textContent = null;",True
2,contentType,Field,"MessageZeroconfImpl(String,String,String,int)",,,,90,4,2,"/** 
 * The content type of the message.
 */
","/**
     * The content type of the message.
     */
    private String contentType = null;",True
3,contentEncoding,Field,"MessageZeroconfImpl(String,String,String,int)",,,,99,4,2,"/** 
 * The message encoding. (UTF8 if null).
 */
","/**
     * The message encoding. (UTF8 if null).
     */
    private String contentEncoding = null;",True
4,messageUID,Field,"MessageZeroconfImpl(String,String,String,int)",,,,98,4,2,"/** 
 * A String uniquely identifying the message
 */
","/**
     * A String uniquely identifying the message
     */
    private String messageUID = null;",True
5,subject,Field,,,,,102,4,2,"/** 
 * The subject of the message. (most often is null)
 */
","/**
     * The subject of the message. (most often is null)
     */
    private String subject = null;",True
6,type,Field,"MessageZeroconfImpl(String,String,String,int)",,,,54,4,2,"/** 
 * Message Type.
 */
","/**
     * Message Type.
     */
    private int type;",False
7,STREAM_OPEN,Field,,,,,120,4,25,"/** 
 * Message type indicating that a stream is being created
 */
","/**
     * Message type indicating that a stream is being created
     */
    public static final int STREAM_OPEN = 0x1;",False
8,MESSAGE,Field,,,,,81,4,25,"/** 
 * Normal chat message
 */
","/**
     * Normal chat message
     */
    public static final int MESSAGE = 0x2;",False
9,TYPING,Field,,,,,80,4,25,"/** 
 * Typing notification
 */
","/**
     * Typing notification
     */
    public static final int TYPING = 0x3;",False
10,STREAM_CLOSE,Field,,,,,117,4,25,"/** 
 * Message indicating that the stream is being closed
 */
","/**
     * Message indicating that the stream is being closed
     */
    public static final int STREAM_CLOSE = 0x4;",False
11,DELIVERED,Field,,,,,136,4,25,"/** 
 * Message indicating that the previsous message was delivered successfully
 */
","/**
     * Message indicating that the previsous message was delivered successfully
     */
    public static final int DELIVERED = 0x5;",False
12,UNDEF,Field,,,,,77,4,25,"/** 
 * Undefined message
 */
","/**
     * Undefined message
     */
    public static final int UNDEF = 0x6;",False
13,baloonColor,Field,setBaloonColor(int),,,,35,1,2,,private int baloonColor = 0x7BB5EE;,False
14,textColor,Field,setTextColor(int),,,,33,1,2,,private int textColor = 0x000000;,False
15,textFont,Field,setTextFont(String),,,,38,1,2,,"private String textFont = ""Helvetica"";",False
16,textSize,Field,setTextSize(int),,,,26,1,2,,private int textSize = 12;,False
17,contactID,Field,setContactID(String),,,,25,1,2,,private String contactID;,False
