index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,102,2,18,,"private final Logger logger
            = Logger.getLogger(NotificationConfigurationConfigForm.class);",False
2,dataVector,Field,,,,,33,1,2,,private Vector dataVector = null;,False
3,notificationList,Field,,,,,35,1,2,,private ListMulti notificationList;,False
4,columnToolTips,Field,,,,,227,6,25,,"public static final String[] columnToolTips
            = {""Enable or disable this feature"",
            ""Execute a program"",
            ""Display a messagebox"",
            ""Play a sound"",
            ""Description of event"" };",False
5,activate,Field,,,,,25,1,2,,private JButton activate;,False
6,desactivate,Field,,,,,28,1,2,,private JButton desactivate;,False
7,playSoundCheckBox,Field,,,,,36,1,2,,private JCheckBox playSoundCheckBox;,False
8,playSoundButton,Field,,,,,32,1,2,,private JButton playSoundButton;,False
9,soundFileTextField,Field,,,,,38,1,2,,private JTextField soundFileTextField;,False
10,soundFileChooser,Field,,,,,33,1,2,,private JButton soundFileChooser;,False
11,programCheckBox,Field,,,,,34,1,2,,private JCheckBox programCheckBox;,False
12,programFileTextField,Field,,,,,40,1,2,,private JTextField programFileTextField;,False
13,programFileChooser,Field,,,,,35,1,2,,private JButton programFileChooser;,False
14,popupCheckBox,Field,,,,,32,1,2,,private JCheckBox popupCheckBox;,False
15,turnOnAll,Field,,,,,26,1,2,,private JButton turnOnAll;,False
16,turnOffAll,Field,,,,,27,1,2,,private JButton turnOffAll;,False
17,comboBoxTurnOn,Field,,,,,33,1,2,,private JComboBox comboBoxTurnOn;,False
18,comboBoxTurnOff,Field,,,,,34,1,2,,private JComboBox comboBoxTurnOff;,False
19,apply,Field,,,,,22,1,2,,private JButton apply;,False
20,restore,Field,,,,,24,1,2,,private JButton restore;,False
21,fileChooserProgram,Field,,,,,40,1,2,,private JFileChooser fileChooserProgram;,False
22,fileChooserSound,Field,,,,,38,1,2,,private JFileChooser fileChooserSound;,False
23,index,Field,,,,,23,1,2,,private int index = -1;,False
24,turnAll,Field,,,,,32,1,2,,private boolean turnAll = false;,False
25,notificationService,Field,,,,,55,1,2,,private NotificationService notificationService = null;,False
26,noListener,Field,,,,,35,1,2,,private boolean noListener = false;,False
