index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,ruleFactory,Field,"ObjectRule(RuleFactory,ParcelableHelper)",,,,38,1,18,,private final RuleFactory ruleFactory;,False
2,parcelableHelper,Field,"ObjectRule(RuleFactory,ParcelableHelper)",,,,48,1,18,,private final ParcelableHelper parcelableHelper;,False
3,"ObjectRule(RuleFactory,ParcelableHelper)",Method,,,,org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+parcelableHelper org.jsonschema2pojo.rules.ObjectRule+parcelableHelper,178,4,4,,"protected ObjectRule(RuleFactory ruleFactory, ParcelableHelper parcelableHelper) {
        this.ruleFactory = ruleFactory;
        this.parcelableHelper = parcelableHelper;
    }",False
4,"apply(String,JsonNode,JsonNode,JPackage,Schema)",Method,,org.jsonschema2pojo.rules.TypeRuleTest+applyGeneratesCustomObject(),"org.jsonschema2pojo.rules.ObjectRule+getSuperType(String,JsonNode,JPackage,Schema) org.jsonschema2pojo.rules.ObjectRule+getSuperType(String,JsonNode,JPackage,Schema) org.jsonschema2pojo.rules.ObjectRule+isFinal(JType) org.jsonschema2pojo.rules.ObjectRule+isFinal(JType) org.jsonschema2pojo.rules.ObjectRule+createClass(String,JsonNode,JPackage) org.jsonschema2pojo.rules.ObjectRule+createClass(String,JsonNode,JPackage) org.jsonschema2pojo.exception.ClassAlreadyExistsException+getExistingClass() org.jsonschema2pojo.exception.ClassAlreadyExistsException+getExistingClass() org.jsonschema2pojo.Schema+setJavaTypeIfEmpty(JType) org.jsonschema2pojo.Schema+setJavaTypeIfEmpty(JType) org.jsonschema2pojo.rules.ObjectRule+addJsonTypeInfoAnnotation(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.ObjectRule+addJsonTypeInfoAnnotation(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.RuleFactory+getTitleRule() org.jsonschema2pojo.rules.RuleFactory+getTitleRule() org.jsonschema2pojo.rules.RuleFactory+getDescriptionRule() org.jsonschema2pojo.rules.RuleFactory+getDescriptionRule() org.jsonschema2pojo.GenerationConfig+isGenerateBuilders() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isGenerateBuilders() org.jsonschema2pojo.GenerationConfig+isUseInnerClassBuilders() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isUseInnerClassBuilders() org.jsonschema2pojo.rules.RuleFactory+getBuilderRule() org.jsonschema2pojo.rules.RuleFactory+getBuilderRule() org.jsonschema2pojo.rules.RuleFactory+getPropertiesRule() org.jsonschema2pojo.rules.RuleFactory+getPropertiesRule() org.jsonschema2pojo.rules.ObjectRule+addInterfaces(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.ObjectRule+addInterfaces(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.RuleFactory+getAdditionalPropertiesRule() org.jsonschema2pojo.rules.RuleFactory+getAdditionalPropertiesRule() org.jsonschema2pojo.rules.RuleFactory+getDynamicPropertiesRule() org.jsonschema2pojo.rules.RuleFactory+getDynamicPropertiesRule() org.jsonschema2pojo.rules.RuleFactory+getRequiredArrayRule() org.jsonschema2pojo.rules.RuleFactory+getRequiredArrayRule() org.jsonschema2pojo.GenerationConfig+isIncludeToString() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isIncludeToString() org.jsonschema2pojo.rules.ObjectRule+addToString(JDefinedClass) org.jsonschema2pojo.rules.ObjectRule+addToString(JDefinedClass) org.jsonschema2pojo.GenerationConfig+isIncludeHashcodeAndEquals() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isIncludeHashcodeAndEquals() org.jsonschema2pojo.rules.ObjectRule+addHashCode(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.ObjectRule+addHashCode(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.ObjectRule+addEquals(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.ObjectRule+addEquals(JDefinedClass,JsonNode) org.jsonschema2pojo.GenerationConfig+isParcelable() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isParcelable() org.jsonschema2pojo.rules.ObjectRule+addParcelSupport(JDefinedClass) org.jsonschema2pojo.rules.ObjectRule+addParcelSupport(JDefinedClass) org.jsonschema2pojo.GenerationConfig+isIncludeConstructors() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isIncludeConstructors() org.jsonschema2pojo.rules.ObjectRule+addConstructors(JDefinedClass,JsonNode,Schema,boolean) org.jsonschema2pojo.rules.ObjectRule+addConstructors(JDefinedClass,JsonNode,Schema,boolean) org.jsonschema2pojo.GenerationConfig+isConstructorsRequiredPropertiesOnly() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isConstructorsRequiredPropertiesOnly() org.jsonschema2pojo.GenerationConfig+isSerializable() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isSerializable() org.jsonschema2pojo.util.SerializableHelper+addSerializableSupport(JDefinedClass) org.jsonschema2pojo.util.SerializableHelper+addSerializableSupport(JDefinedClass)",org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory,3009,82,1,"/** 
 * Applies this schema rule to take the required code generation steps. <p> When this rule is applied for schemas of type object, the properties of the schema are used to generate a new Java class and determine its characteristics. See other implementers of  {@link Rule} for details.
 */
","/**
     * Applies this schema rule to take the required code generation steps.
     * <p>
     * When this rule is applied for schemas of type object, the properties of
     * the schema are used to generate a new Java class and determine its
     * characteristics. See other implementers of {@link Rule} for details.
     */
    @Override
    public JType apply(String nodeName, JsonNode node, JsonNode parent, JPackage _package, Schema schema) {

        JType superType = getSuperType(nodeName, node, _package, schema);

        if (superType.isPrimitive() || isFinal(superType)) {
            return superType;
        }

        JDefinedClass jclass;
        try {
            jclass = createClass(nodeName, node, _package);
        } catch (ClassAlreadyExistsException e) {
            return e.getExistingClass();
        }

        jclass._extends((JClass) superType);

        schema.setJavaTypeIfEmpty(jclass);

        if (node.has(""deserializationClassProperty"")) {
            addJsonTypeInfoAnnotation(jclass, node);
        }

        if (node.has(""title"")) {
            ruleFactory.getTitleRule().apply(nodeName, node.get(""title""), node, jclass, schema);
        }

        if (node.has(""description"")) {
            ruleFactory.getDescriptionRule().apply(nodeName, node.get(""description""), node, jclass, schema);
        }

        // Creates the class definition for the builder
        if(ruleFactory.getGenerationConfig().isGenerateBuilders() && ruleFactory.getGenerationConfig().isUseInnerClassBuilders()){
            ruleFactory.getBuilderRule().apply(nodeName, node, parent, jclass, schema);
        }

        ruleFactory.getPropertiesRule().apply(nodeName, node.get(""properties""), node, jclass, schema);

        if (node.has(""javaInterfaces"")) {
            addInterfaces(jclass, node.get(""javaInterfaces""));
        }

        ruleFactory.getAdditionalPropertiesRule().apply(nodeName, node.get(""additionalProperties""), node, jclass, schema);

        ruleFactory.getDynamicPropertiesRule().apply(nodeName, node.get(""properties""), node, jclass, schema);

        if (node.has(""required"")) {
            ruleFactory.getRequiredArrayRule().apply(nodeName, node.get(""required""), node, jclass, schema);
        }

        if (ruleFactory.getGenerationConfig().isIncludeToString()) {
            addToString(jclass);
        }

        if (ruleFactory.getGenerationConfig().isIncludeHashcodeAndEquals()) {
            addHashCode(jclass, node);
            addEquals(jclass, node);
        }

        if (ruleFactory.getGenerationConfig().isParcelable()) {
            addParcelSupport(jclass);
        }

        if (ruleFactory.getGenerationConfig().isIncludeConstructors()) {
            addConstructors(jclass, node, schema, ruleFactory.getGenerationConfig().isConstructorsRequiredPropertiesOnly());
        }

        if (ruleFactory.getGenerationConfig().isSerializable()) {
            SerializableHelper.addSerializableSupport(jclass);
        }

        return jclass;

    }",False
5,addParcelSupport(JDefinedClass),Method,"apply(String,JsonNode,JsonNode,JPackage,Schema)",,org.jsonschema2pojo.util.ParcelableHelper+addWriteToParcel(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addWriteToParcel(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addDescribeContents(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addDescribeContents(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addCreator(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addCreator(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addConstructorFromParcel(JDefinedClass) org.jsonschema2pojo.util.ParcelableHelper+addConstructorFromParcel(JDefinedClass) org.jsonschema2pojo.GenerationConfig+isIncludeConstructors() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+isIncludeConstructors(),org.jsonschema2pojo.rules.ObjectRule+parcelableHelper org.jsonschema2pojo.rules.ObjectRule+parcelableHelper org.jsonschema2pojo.rules.ObjectRule+parcelableHelper org.jsonschema2pojo.rules.ObjectRule+parcelableHelper org.jsonschema2pojo.rules.ObjectRule+ruleFactory,591,13,2,,"private void addParcelSupport(JDefinedClass jclass) {
        jclass._implements(jclass.owner().directClass(""android.os.Parcelable""));

        parcelableHelper.addWriteToParcel(jclass);
        parcelableHelper.addDescribeContents(jclass);
        parcelableHelper.addCreator(jclass);
        parcelableHelper.addConstructorFromParcel(jclass);
        // #742 : includeConstructors will include the default constructor
        if (!ruleFactory.getGenerationConfig().isIncludeConstructors()) {
            // Add empty constructor
            jclass.constructor(JMod.PUBLIC);
        }
    }",False
6,"getConstructorProperties(JsonNode,boolean)",Method,"getSuperTypeConstructorPropertiesRecursive(JsonNode,Schema,boolean) addConstructors(JDefinedClass,JsonNode,Schema,boolean)",,"java.util.Set+add(E) java.util.Set+add(E) org.jsonschema2pojo.rules.RuleFactory+getNameHelper() org.jsonschema2pojo.rules.RuleFactory+getNameHelper() java.util.HashSet+add(E) java.util.HashSet+add(E) org.jsonschema2pojo.util.NameHelper+getPropertyName(String,JsonNode) org.jsonschema2pojo.util.NameHelper+getPropertyName(String,JsonNode) java.util.Set+contains(Object) java.util.Set+contains(Object) java.util.HashSet+add(E) java.util.HashSet+add(E) org.jsonschema2pojo.util.NameHelper+getPropertyName(String,JsonNode) org.jsonschema2pojo.util.NameHelper+getPropertyName(String,JsonNode) java.util.HashSet+add(E) java.util.HashSet+add(E) org.jsonschema2pojo.util.NameHelper+getPropertyName(String,JsonNode) org.jsonschema2pojo.util.NameHelper+getPropertyName(String,JsonNode)",org.jsonschema2pojo.rules.ObjectRule+ruleFactory,2033,50,2,"/** 
 * Retrieve the list of properties to go in the constructor from node. This is all properties listed in node[""properties""] if ! onlyRequired, and only required properties if onlyRequired.
 * @param node
 * @return
 */
","/**
     * Retrieve the list of properties to go in the constructor from node. This
     * is all properties listed in node[""properties""] if ! onlyRequired, and
     * only required properties if onlyRequired.
     *
     * @param node
     * @return
     */
    private LinkedHashSet<String> getConstructorProperties(JsonNode node, boolean onlyRequired) {

        if (!node.has(""properties"")) {
            return new LinkedHashSet<>();
        }

        LinkedHashSet<String> rtn = new LinkedHashSet<>();
        Set<String> draft4RequiredProperties = new HashSet<>();

        // setup the set of required properties for draft4 style ""required""
        if (onlyRequired && node.has(""required"")) {
            JsonNode requiredArray =  node.get(""required"");
            if (requiredArray.isArray()) {
                for (JsonNode requiredEntry: requiredArray) {
                    if (requiredEntry.isTextual()) {
                        draft4RequiredProperties.add(requiredEntry.asText());
                    }
                }
            }
        }

        NameHelper nameHelper = ruleFactory.getNameHelper();
        for (Iterator<Map.Entry<String, JsonNode>> properties = node.get(""properties"").fields(); properties.hasNext();) {
            Map.Entry<String, JsonNode> property = properties.next();

            JsonNode propertyObj = property.getValue();
            if (onlyRequired) {
                // draft3 style
                if (propertyObj.has(""required"") && propertyObj.get(""required"").asBoolean()) {
                    rtn.add(nameHelper.getPropertyName(property.getKey(), property.getValue()));
                }

                // draft4 style
                if (draft4RequiredProperties.contains(property.getKey())) {
                    rtn.add(nameHelper.getPropertyName(property.getKey(), property.getValue()));
                }
            } else {
                rtn.add(nameHelper.getPropertyName(property.getKey(), property.getValue()));
            }
        }
        return rtn;
    }",True
7,"getSuperTypeConstructorPropertiesRecursive(JsonNode,Schema,boolean)",Method,"getSuperTypeConstructorPropertiesRecursive(JsonNode,Schema,boolean) addConstructors(JDefinedClass,JsonNode,Schema,boolean)",,"org.jsonschema2pojo.rules.ObjectRule+getSuperSchema(JsonNode,Schema,boolean) org.jsonschema2pojo.rules.ObjectRule+getSuperSchema(JsonNode,Schema,boolean) org.jsonschema2pojo.Schema+getContent() org.jsonschema2pojo.Schema+getContent() org.jsonschema2pojo.rules.ObjectRule+getConstructorProperties(JsonNode,boolean) org.jsonschema2pojo.rules.ObjectRule+getConstructorProperties(JsonNode,boolean) java.util.AbstractCollection+addAll(Collection) java.util.AbstractCollection+addAll(Collection) org.jsonschema2pojo.rules.ObjectRule+getSuperTypeConstructorPropertiesRecursive(JsonNode,Schema,boolean) org.jsonschema2pojo.rules.ObjectRule+getSuperTypeConstructorPropertiesRecursive(JsonNode,Schema,boolean)",,712,17,2,"/** 
 * Recursive, walks the schema tree and assembles a list of all properties of this schema's super schemas
 */
","/**
     * Recursive, walks the schema tree and assembles a list of all properties of this schema's super schemas
     */
    private LinkedHashSet<String> getSuperTypeConstructorPropertiesRecursive(JsonNode node, Schema schema, boolean onlyRequired) {
        Schema superTypeSchema = getSuperSchema(node, schema, true);

        if (superTypeSchema == null) {
            return new LinkedHashSet<>();
        }

        JsonNode superSchemaNode = superTypeSchema.getContent();

        LinkedHashSet<String> rtn = getConstructorProperties(superSchemaNode, onlyRequired);
        rtn.addAll(getSuperTypeConstructorPropertiesRecursive(superSchemaNode, superTypeSchema, onlyRequired));

        return rtn;
    }",False
8,"createClass(String,JsonNode,JPackage)",Method,"apply(String,JsonNode,JsonNode,JPackage,Schema)",,"org.jsonschema2pojo.exception.ClassAlreadyExistsException+ClassAlreadyExistsException(JType) org.jsonschema2pojo.exception.ClassAlreadyExistsException+ClassAlreadyExistsException(JType) org.jsonschema2pojo.rules.ObjectRule+usesPolymorphicDeserialization(JsonNode) org.jsonschema2pojo.rules.ObjectRule+usesPolymorphicDeserialization(JsonNode) org.jsonschema2pojo.exception.GenerationException+GenerationException(String) java.lang.String+contains(CharSequence) java.lang.String+contains(CharSequence) org.jsonschema2pojo.exception.GenerationException+GenerationException(String) java.lang.String+lastIndexOf(String) java.lang.String+lastIndexOf(String) java.lang.String+length() java.lang.String+length() java.lang.String+substring(int,int) java.lang.String+substring(int,int) org.jsonschema2pojo.GenerationConfig+getClassNamePrefix() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+getClassNamePrefix() java.lang.String+substring(int) java.lang.String+substring(int) org.jsonschema2pojo.GenerationConfig+getClassNameSuffix() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.rules.RuleFactory+getGenerationConfig() org.jsonschema2pojo.GenerationConfig+getClassNameSuffix() org.jsonschema2pojo.util.NameHelper+getClassName(String,JsonNode,JPackage) org.jsonschema2pojo.rules.RuleFactory+getNameHelper() org.jsonschema2pojo.rules.RuleFactory+getNameHelper() org.jsonschema2pojo.util.NameHelper+getClassName(String,JsonNode,JPackage) org.jsonschema2pojo.util.NameHelper+getClassName(String,JsonNode,JPackage) org.jsonschema2pojo.rules.RuleFactory+getNameHelper() org.jsonschema2pojo.rules.RuleFactory+getNameHelper() org.jsonschema2pojo.util.NameHelper+getClassName(String,JsonNode,JPackage) org.jsonschema2pojo.exception.ClassAlreadyExistsException+ClassAlreadyExistsException(JType) org.jsonschema2pojo.Annotator+propertyInclusion(JDefinedClass,JsonNode) org.jsonschema2pojo.rules.RuleFactory+getAnnotator() org.jsonschema2pojo.rules.RuleFactory+getAnnotator() org.jsonschema2pojo.Annotator+propertyInclusion(JDefinedClass,JsonNode)",org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory org.jsonschema2pojo.rules.ObjectRule+ruleFactory,3480,73,2,"/** 
 * Creates a new Java class that will be generated.
 * @param nodeName the node name which may be used to dictate the new class name
 * @param node the node representing the schema that caused the need for a new class. This node may include a 'javaType' property which if present will override the fully qualified name of the newly generated class.
 * @param _package the package which may contain a new class after this method call
 * @return a reference to a newly created class
 * @throws ClassAlreadyExistsException if the given arguments cause an attempt to create a class that already exists, either on the classpath or in the current map of classes to be generated.
 */
","/**
     * Creates a new Java class that will be generated.
     *
     * @param nodeName
     *            the node name which may be used to dictate the new class name
     * @param node
     *            the node representing the schema that caused the need for a
     *            new class. This node may include a 'javaType' property which
     *            if present will override the fully qualified name of the newly
     *            generated class.
     * @param _package
     *            the package which may contain a new class after this method
     *            call
     * @return a reference to a newly created class
     * @throws ClassAlreadyExistsException
     *             if the given arguments cause an attempt to create a class
     *             that already exists, either on the classpath or in the
     *             current map of classes to be generated.
     */
    private JDefinedClass createClass(String nodeName, JsonNode node, JPackage _package) throws ClassAlreadyExistsException {

        JDefinedClass newType;

        try {
            if (node.has(""existingJavaType"")) {
                String fqn = substringBefore(node.get(""existingJavaType"").asText(), ""<"");

                if (isPrimitive(fqn, _package.owner())) {
                    throw new ClassAlreadyExistsException(primitiveType(fqn, _package.owner()));
                }

                JClass existingClass = resolveType(_package, fqn + (node.get(""existingJavaType"").asText().contains(""<"") ? ""<"" + substringAfter(node.get(""existingJavaType"").asText(), ""<"") : """"));
                throw new ClassAlreadyExistsException(existingClass);
            }

            boolean usePolymorphicDeserialization = usesPolymorphicDeserialization(node);
            if (node.has(""javaType"")) {
                String fqn = node.path(""javaType"").asText();

                if (isPrimitive(fqn, _package.owner())) {
                    throw new GenerationException(""javaType cannot refer to a primitive type ("" + fqn + ""), did you mean to use existingJavaType?"");
                }

                if (fqn.contains(""<"")) {
                    throw new GenerationException(""javaType does not support generic args ("" + fqn + ""), did you mean to use existingJavaType?"");
                }

                int index = fqn.lastIndexOf(""."") + 1;
                if (index >= 0 && index < fqn.length()) {
                    fqn = fqn.substring(0, index) + ruleFactory.getGenerationConfig().getClassNamePrefix() + fqn.substring(index) + ruleFactory.getGenerationConfig().getClassNameSuffix();
                }

                if (usePolymorphicDeserialization) {
                    newType = _package.owner()._class(JMod.PUBLIC, fqn, ClassType.CLASS);
                } else {
                    newType = _package.owner()._class(fqn);
                }
            } else {
                if (usePolymorphicDeserialization) {
                    newType = _package._class(JMod.PUBLIC, ruleFactory.getNameHelper().getClassName(nodeName, node, _package), ClassType.CLASS);
                } else {
                    newType = _package._class(ruleFactory.getNameHelper().getClassName(nodeName, node, _package));
                }
            }
        } catch (JClassAlreadyExistsException e) {
            throw new ClassAlreadyExistsException(e.getExistingClass());
        }

        ruleFactory.getAnnotator().propertyInclusion(newType, node);

        return newType;

    }",False
9,isFinal(JType),Method,"apply(String,JsonNode,JsonNode,JPackage,Schema)",,java.lang.Class+forName(String) java.lang.Class+forName(String) java.lang.reflect.Modifier+isFinal(int) java.lang.reflect.Modifier+isFinal(int) java.lang.Class+getModifiers() java.lang.Class+getModifiers(),,276,8,2,,"private boolean isFinal(JType superType) {
        try {
            Class<?> javaClass = Class.forName(superType.fullName());
            return Modifier.isFinal(javaClass.getModifiers());
        } catch (ClassNotFoundException e) {
            return false;
        }
    }",True
10,"getSuperType(String,JsonNode,JPackage,Schema)",Method,"apply(String,JsonNode,JsonNode,JPackage,Schema)",,"java.lang.IllegalStateException+IllegalStateException(String) org.jsonschema2pojo.rules.ObjectRule+getSuperSchema(JsonNode,Schema,boolean) org.jsonschema2pojo.rules.ObjectRule+getSuperSchema(JsonNode,Schema,boolean) org.jsonschema2pojo.rules.RuleFactory+getSchemaRule() org.jsonschema2pojo.rules.RuleFactory+getSchemaRule()",org.jsonschema2pojo.rules.ObjectRule+ruleFactory,761,15,2,,"private JType getSuperType(String nodeName, JsonNode node, JPackage jPackage, Schema schema) {
        if (node.has(""extends"") && node.has(""extendsJavaClass"")) {
            throw new IllegalStateException(""'extends' and 'extendsJavaClass' defined simultaneously"");
        }

        JType superType = jPackage.owner().ref(Object.class);
        Schema superTypeSchema = getSuperSchema(node, schema, false);
        if (superTypeSchema != null) {
            superType = ruleFactory.getSchemaRule().apply(nodeName + ""Parent"", node.get(""extends""), node, jPackage, superTypeSchema);
        } else if (node.has(""extendsJavaClass"")) {
            superType = resolveType(jPackage, node.get(""extendsJavaClass"").asText());
        }

        return superType;
    }",True
