index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,StateListener,MemberClass,,,com.journeyapps.barcodescanner.BarcodeView.StateListener+previewReady(),,75,3,9,,"public static interface StateListener {
    public void previewReady();
  }",False
2,DecodeMode,Field,,,,,29,1,9,,public static enum DecodeMode,False
3,PreviewScaleMode,Field,,,,,35,1,9,,public static enum PreviewScaleMode,False
4,TAG,Field,,,,,68,1,26,"/** 
 * Drop the preview inside the BarcodeView (default). It will fill all available space, but sections may be cut off.
 */
",private static final String TAG = BarcodeView.class.getSimpleName();,True
5,cameraInstance,Field,,,,,38,1,2,,private CameraInstance cameraInstance;,True
6,hasSurface,Field,,,,,27,1,2,,private boolean hasSurface;,True
7,activity,Field,,,,,26,1,2,,private Activity activity;,True
8,decoderThread,Field,setDecoder(Decoder) setDecoder(Decoder),,,,36,1,2,,private DecoderThread decoderThread;,True
9,resultHandler,Field,,,,,30,1,2,,private Handler resultHandler;,True
10,decoder,Field,setDecoder(Decoder),,,,24,1,2,,private Decoder decoder;,True
11,decodeMode,Field,decodeSingle(BarcodeCallback) decodeContinuous(BarcodeCallback) stopDecoding(),,,,48,1,2,,private DecodeMode decodeMode = DecodeMode.NONE;,False
12,callback,Field,decodeSingle(BarcodeCallback) decodeContinuous(BarcodeCallback) stopDecoding(),,,,40,1,2,,private BarcodeCallback callback = null;,False
13,surfaceView,Field,,,,,32,1,2,,private SurfaceView surfaceView;,True
14,previewActive,Field,,,,,38,1,2,,private boolean previewActive = false;,True
15,rotationListener,Field,,,,,42,1,2,,private RotationListener rotationListener;,True
16,stateListeners,Field,,,,,63,1,2,,private List<StateListener> stateListeners = new ArrayList<>();,True
17,previewScaleMode,Field,setPreviewScaleMode(PreviewScaleMode),,,,66,1,2,,private PreviewScaleMode previewScaleMode = PreviewScaleMode.CROP;,True
18,containerRect,Field,containerSized(Rect) pause(),,,,27,1,2,,private Rect containerRect;,True
19,previewSize,Field,previewSized(Point) pause(),,,,26,1,2,,private Point previewSize;,True
20,surfaceRect,Field,,,,,25,1,2,,private Rect surfaceRect;,True
21,framingRect,Field,,,,,32,1,2,,private Rect framingRect = null;,True
22,previewFramingRect,Field,pause(),,,,39,1,2,,private Rect previewFramingRect = null;,True
