index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,71,1,8,,static Logger logger = LoggerFactory.getLogger(AuditHandlerTest.class);,False
2,server,Field,,,,,30,1,8,,static Undertow server = null;,True
3,auditLogger,Field,,,,,130,1,16,,final ch.qos.logback.classic.Logger auditLogger = (ch.qos.logback.classic.Logger) LoggerFactory.getLogger(Constants.AUDIT_LOGGER);,True
4,mockAppender,Field,,,,,32,2,0,,"@Mock
    Appender mockAppender;",True
5,captorLoggingEvent,Field,,,,,61,2,0,,"@Captor
    ArgumentCaptor<ILoggingEvent> captorLoggingEvent;",True
6,requiredKeys,Field,,,,,300,5,0,,"String[] requiredKeys = { AuditHandler.TIMESTAMP,
                                Constants.CORRELATION_ID_STRING,
                                Constants.TRACEABILITY_ID_STRING,
                                AuditHandler.STATUS_CODE,
                                AuditHandler.RESPONSE_TIME };",True
7,setUp(),Method,,,com.networknt.audit.AuditHandlerTest+getTestHandler() com.networknt.audit.AuditHandlerTest+getTestHandler() com.networknt.audit.AuditHandler+AuditHandler() com.networknt.audit.AuditHandler+setNext(HttpHandler) com.networknt.audit.AuditHandler+setNext(HttpHandler) com.networknt.correlation.CorrelationHandler+CorrelationHandler() com.networknt.correlation.CorrelationHandler+setNext(HttpHandler) com.networknt.correlation.CorrelationHandler+setNext(HttpHandler) com.networknt.body.BodyHandler+BodyHandler() com.networknt.body.BodyHandler+setNext(HttpHandler) com.networknt.body.BodyHandler+setNext(HttpHandler) com.networknt.audit.ParameterHandler+ParameterHandler() com.networknt.audit.ParameterHandler+setNext(HttpHandler) com.networknt.audit.ParameterHandler+setNext(HttpHandler),com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+logger com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+server,987,29,9,,"@BeforeClass
    public static void setUp() {
        if(server == null) {
            logger.info(""starting server"");
            HttpHandler handler = getTestHandler();

            AuditHandler auditHandler = new AuditHandler();
            auditHandler.setNext(handler);
            handler = auditHandler;

            CorrelationHandler correlationHandler = new CorrelationHandler();
            correlationHandler.setNext(handler);
            handler = correlationHandler;

            BodyHandler bodyHandler = new BodyHandler();
            bodyHandler.setNext(handler);
            handler = bodyHandler;

            ParameterHandler parameterHandler = new ParameterHandler();
            parameterHandler.setNext(handler);
            handler = parameterHandler;

            server = Undertow.builder()
                    .addHttpListener(8080, ""localhost"")
                    .setHandler(handler)
                    .build();
            server.start();
        }
    }",False
8,tearDown(),Method,,,java.lang.Thread+sleep(long) java.lang.Thread+sleep(long),com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+logger,308,12,9,,"@AfterClass
    public static void tearDown() throws Exception {
        if(server != null) {
            try {
                Thread.sleep(100);
            } catch (InterruptedException ignored) {

            }
            server.stop();
            logger.info(""The server is stopped."");
        }
    }",True
9,getTestHandler(),Method,setUp(),,,,511,7,8,,"static RoutingHandler getTestHandler() {
        return Handlers.routing()
                .add(Methods.POST, ""/pet"", exchange -> exchange.getResponseSender().send(""OK""))
                .add(Methods.POST, ""/error"", exchange -> new ErrorStatusTestHandler().handleRequest(exchange))
                .add(Methods.POST, ""/error/{petId}"", exchange -> new ErrorStatusTestHandler().handleRequest(exchange))
                .add(Methods.POST, ""/pet/{petId}"", exchange -> exchange.getResponseSender().send(""OK""));
    }",False
10,beforeTest(),Method,,,,com.networknt.audit.AuditHandlerTest+auditLogger com.networknt.audit.AuditHandlerTest+mockAppender,144,5,1,,"@Before
    public void beforeTest() throws Exception {
        // inject the mock appender
        auditLogger.addAppender(mockAppender);
    }",True
