index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,76,1,24,,static final Logger logger = LoggerFactory.getLogger(Http2ClientTest.class);,False
2,server,Field,,,,,30,1,8,,static Undertow server = null;,False
3,sslContext,Field,,,,,29,1,8,,static SSLContext sslContext;,False
4,message,Field,,,,,53,1,26,,"private static final String message = ""Hello World!"";",False
5,MESSAGE,Field,,,,,48,1,25,,"public static final String MESSAGE = ""/message"";",False
6,POST,Field,,,,,42,1,25,,"public static final String POST = ""/post"";",False
7,FORM,Field,,,,,42,1,25,,"public static final String FORM = ""/form"";",False
8,TOKEN,Field,,,,,51,1,25,,"public static final String TOKEN = ""/oauth2/token"";",False
9,API,Field,,,,,40,1,25,,"public static final String API = ""/api"";",False
10,KEY,Field,,,,,47,1,25,,"public static final String KEY = ""/oauth2/key"";",False
11,SERVER_KEY_STORE,Field,,,,,69,1,26,,"private static final String SERVER_KEY_STORE = ""tls/server.keystore"";",False
12,SERVER_TRUST_STORE,Field,,,,,73,1,26,,"private static final String SERVER_TRUST_STORE = ""tls/server.truststore"";",False
13,CLIENT_KEY_STORE,Field,,,,,69,1,26,,"private static final String CLIENT_KEY_STORE = ""tls/client.keystore"";",False
14,CLIENT_TRUST_STORE,Field,,,,,73,1,26,,"private static final String CLIENT_TRUST_STORE = ""tls/client.truststore"";",False
15,STORE_PASSWORD,Field,,,,,70,1,26,,"private static final char[] STORE_PASSWORD = ""password"".toCharArray();",False
16,worker,Field,,,,,33,1,10,,private static XnioWorker worker;,False
17,ADDRESS,Field,,,,,33,1,26,,private static final URI ADDRESS;,False
18,sendMessage(HttpServerExchange),Method,,,java.lang.String+length() java.lang.String+length(),com.networknt.client.Http2ClientTest+message com.networknt.client.Http2ClientTest+message,294,6,8,,"static void sendMessage(final HttpServerExchange exchange) {
        exchange.setStatusCode(StatusCodes.OK);
        exchange.getResponseHeaders().put(Headers.CONTENT_LENGTH, message.length() + """");
        final Sender sender = exchange.getResponseSender();
        sender.send(message);
    }",False
19,beforeClass(),Method,,,"java.io.PrintStream+println(String) java.io.PrintStream+println(String) com.networknt.client.Http2ClientTest+createSSLContext(KeyStore,KeyStore,boolean) com.networknt.client.Http2ClientTest+createSSLContext(KeyStore,KeyStore,boolean) com.networknt.client.Http2ClientTest+loadKeyStore(String) com.networknt.client.Http2ClientTest+loadKeyStore(String) com.networknt.client.Http2ClientTest+loadKeyStore(String) com.networknt.client.Http2ClientTest+loadKeyStore(String) java.lang.Runtime+availableProcessors() java.lang.Runtime+getRuntime() java.lang.Runtime+getRuntime() java.lang.Runtime+availableProcessors()",com.networknt.client.Http2Client+DEFAULT_OPTIONS com.networknt.client.Http2ClientTest+worker com.networknt.client.Http2ClientTest+server java.lang.System+out com.networknt.client.Http2ClientTest+sslContext com.networknt.client.Http2ClientTest+SERVER_KEY_STORE com.networknt.client.Http2ClientTest+SERVER_TRUST_STORE com.networknt.client.Http2ClientTest+sslContext com.networknt.client.Http2ClientTest+server com.networknt.client.Http2ClientTest+MESSAGE com.networknt.client.Http2ClientTest+KEY com.networknt.client.Http2ClientTest+API com.networknt.client.Http2ClientTest+FORM,5159,83,9,,"@BeforeClass
    public static void beforeClass() throws IOException {
        // Create xnio worker
        final Xnio xnio = Xnio.getInstance();
        final XnioWorker xnioWorker = xnio.createWorker(null, Http2Client.DEFAULT_OPTIONS);
        worker = xnioWorker;

        if(server == null) {
            System.out.println(""starting server"");
            Undertow.Builder builder = Undertow.builder();

            sslContext = createSSLContext(loadKeyStore(SERVER_KEY_STORE), loadKeyStore(SERVER_TRUST_STORE), false);
            builder.addHttpsListener(7778, ""localhost"", sslContext);
            builder.addHttpListener(7777, ""localhost"");

            builder.setServerOption(UndertowOptions.ENABLE_HTTP2, true);


            server = builder
                    .setBufferSize(1024 * 16)
                    .setIoThreads(Runtime.getRuntime().availableProcessors() * 2) //this seems slightly faster in some configurations
                    .setSocketOption(Options.BACKLOG, 10000)
                    .setServerOption(UndertowOptions.ALWAYS_SET_KEEP_ALIVE, false) //don't send a keep-alive header for HTTP/1.1 requests, as it is not required
                    .setServerOption(UndertowOptions.ALWAYS_SET_DATE, true)
                    .setServerOption(UndertowOptions.RECORD_REQUEST_START_TIME, false)
                    .setHandler(new PathHandler()
                            .addExactPath(MESSAGE, exchange -> sendMessage(exchange))
                            .addExactPath(KEY, exchange -> sendMessage(exchange))
                            .addExactPath(API, (exchange) -> {
                                boolean hasScopeToken = exchange.getRequestHeaders().contains(Constants.SCOPE_TOKEN);
                                Assert.assertTrue(hasScopeToken);
                                String scopeToken = exchange.getRequestHeaders().get(Constants.SCOPE_TOKEN, 0);
                                boolean expired = isTokenExpired(scopeToken);
                                Assert.assertFalse(expired);
                                exchange.getResponseHeaders().put(Headers.CONTENT_TYPE, ""application/json"");
                                exchange.getResponseSender().send(ByteBuffer.wrap(
                                        Config.getInstance().getMapper().writeValueAsBytes(
                                                Collections.singletonMap(""message"", ""OK!""))));

                            })
                            .addExactPath(FORM, exchange -> exchange.getRequestReceiver().receiveFullString(new Receiver.FullStringCallback() {
                                @Override
                                public void handle(HttpServerExchange exchange, String message) {
                                    exchange.getResponseSender().send(message);
                                }
                            }))
                            .addExactPath(TOKEN, exchange -> exchange.getRequestReceiver().receiveFullString(new Receiver.FullStringCallback() {
                                @Override
                                public void handle(HttpServerExchange exchange, String message) {
                                    try {
                                        int sleepTime = randInt(1, 3) * 1000;
                                        if(sleepTime >= 2000) {
                                            sleepTime = 3000;
                                        } else {
                                            sleepTime = 1000;
                                        }
                                        Thread.sleep(sleepTime);
                                        // create a token that expired in 5 seconds.
                                        Map<String, Object> map = new HashMap<>();
                                        String token = getJwt(5);
                                        map.put(""access_token"", token);
                                        map.put(""token_type"", ""Bearer"");
                                        map.put(""expires_in"", 5);
                                        exchange.getResponseHeaders().put(Headers.CONTENT_TYPE, ""application/json"");
                                        exchange.getResponseSender().send(ByteBuffer.wrap(
                                                Config.getInstance().getMapper().writeValueAsBytes(map)));
                                    } catch (Exception e) {
                                        e.printStackTrace();
                                    }
                                }
                            }))
                            .addExactPath(POST, exchange -> exchange.getRequestReceiver().receiveFullString(new Receiver.FullStringCallback() {
                                @Override
                                public void handle(HttpServerExchange exchange, String message) {
                                    exchange.getResponseSender().send(message);
                                }
                            })))
                    .setWorkerThreads(200)
                    .build();

            server.start();
        }
    }",False
20,afterClass(),Method,,,java.lang.Thread+sleep(long) java.lang.Thread+sleep(long) java.io.PrintStream+println(String) java.io.PrintStream+println(String) java.lang.Thread+sleep(long) java.lang.Thread+sleep(long),com.networknt.client.Http2ClientTest+worker com.networknt.client.Http2ClientTest+server com.networknt.client.Http2ClientTest+server java.lang.System+out,447,17,9,,"@AfterClass
    public static void afterClass() {
        worker.shutdown();
        if(server != null) {
            try {
                Thread.sleep(100);
            } catch (InterruptedException ignored) {
            }
            server.stop();
            System.out.println(""The server is stopped."");
            try {
                Thread.sleep(100);
            } catch (InterruptedException ignored) {
            }
        }

    }",False
21,createClient(),Method,testMultipleHttpGet() testMultipleHttpPost() testMultipleHttpGetSsl() testMultipleHttp2GetSsl() testMultipleHttpPostSsl() testMultipleHttp2PostSsl() testSingleHttp2PostSsl() testSingleHttp2FormSsl() testConnectionClose() callApiAsync(),,com.networknt.client.Http2ClientTest+createClient(OptionMap) com.networknt.client.Http2ClientTest+createClient(OptionMap),,87,3,8,,"static Http2Client createClient() {
        return createClient(OptionMap.EMPTY);
    }",False
22,createClient(OptionMap),Method,createClient(),,com.networknt.client.Http2Client+getInstance() com.networknt.client.Http2Client+getInstance(),,106,3,8,,"static Http2Client createClient(final OptionMap options) {
        return Http2Client.getInstance();
    }",False
23,testMultipleHttpGet(),Method,,,"com.networknt.client.Http2ClientTest+createClient() com.networknt.client.Http2ClientTest+createClient() java.util.concurrent.CountDownLatch+CountDownLatch(int) com.networknt.client.Http2Client+connect(URI,XnioWorker,ByteBufferPool,OptionMap) com.networknt.client.Http2Client+connect(URI,XnioWorker,ByteBufferPool,OptionMap) +() +run()",com.networknt.client.Http2ClientTest+ADDRESS com.networknt.client.Http2ClientTest+worker com.networknt.client.Http2Client+POOL,1569,34,1,,"@Test
    public void testMultipleHttpGet() throws Exception {
        //
        final Http2Client client = createClient();

        final List<AtomicReference<ClientResponse>> references = new CopyOnWriteArrayList<>();
        final CountDownLatch latch = new CountDownLatch(10);
        final ClientConnection connection = client.connect(ADDRESS, worker, Http2Client.POOL, OptionMap.EMPTY).get();
        try {
            connection.getIoThread().execute(new Runnable() {
                @Override
                public void run() {
                    for (int i = 0; i < 10; i++) {
                        AtomicReference<ClientResponse> reference = new AtomicReference<>();
                        references.add(i, reference);
                        final ClientRequest request = new ClientRequest().setMethod(Methods.GET).setPath(MESSAGE);
                        request.getRequestHeaders().put(Headers.HOST, ""localhost"");
                        connection.sendRequest(request, client.createClientCallback(reference, latch));
                    }
                }

            });

            latch.await(10, TimeUnit.SECONDS);

            Assert.assertEquals(10, references.size());
            for (final AtomicReference<ClientResponse> reference : references) {
                Assert.assertEquals(message, reference.get().getAttachment(Http2Client.RESPONSE_BODY));
                Assert.assertEquals(""HTTP/1.1"", reference.get().getProtocol().toString());
            }
        } finally {
            IoUtils.safeClose(connection);
        }
    }",True
