index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mDialogView,Field,,,,,25,1,2,,private View mDialogView;,False
2,mModalInAnim,Field,,,,,34,1,2,,private AnimationSet mModalInAnim;,False
3,mModalOutAnim,Field,,,,,35,1,2,,private AnimationSet mModalOutAnim;,False
4,mOverlayOutAnim,Field,,,,,34,1,2,,private Animation mOverlayOutAnim;,False
5,mErrorInAnim,Field,,,,,31,1,2,,private Animation mErrorInAnim;,False
6,mErrorXInAnim,Field,,,,,35,1,2,,private AnimationSet mErrorXInAnim;,False
7,mSuccessLayoutAnimSet,Field,,,,,43,1,2,,private AnimationSet mSuccessLayoutAnimSet;,False
8,mSuccessBowAnim,Field,,,,,34,1,2,,private Animation mSuccessBowAnim;,False
9,mTitleTextView,Field,,,,,32,1,2,,private TextView mTitleTextView;,False
10,mContentTextView,Field,,,,,34,1,2,,private TextView mContentTextView;,False
11,mTitleText,Field,,,,,26,1,2,,private String mTitleText;,False
12,mContentText,Field,,,,,28,1,2,,private String mContentText;,False
13,mShowCancel,Field,,,,,28,1,2,,private boolean mShowCancel;,False
14,mCancelText,Field,,,,,27,1,2,,private String mCancelText;,False
15,mConfirmText,Field,,,,,28,1,2,,private String mConfirmText;,False
16,mAlertType,Field,,,,,23,1,2,,private int mAlertType;,False
17,mErrorFrame,Field,,,,,32,1,2,,private FrameLayout mErrorFrame;,False
18,mSuccessFrame,Field,,,,,34,1,2,,private FrameLayout mSuccessFrame;,False
19,mProgressFrame,Field,,,,,36,1,2,,private LinearLayout mProgressFrame;,False
20,mSuccessTick,Field,,,,,37,1,2,,private SuccessTickView mSuccessTick;,False
21,mErrorX,Field,,,,,26,1,2,,private ImageView mErrorX;,False
22,mSuccessLeftMask,Field,,,,,30,1,2,,private View mSuccessLeftMask;,False
23,mSuccessRightMask,Field,,,,,31,1,2,,private View mSuccessRightMask;,False
24,mCustomImgDrawable,Field,,,,,36,1,2,,private Drawable mCustomImgDrawable;,False
25,mCustomImage,Field,,,,,31,1,2,,private ImageView mCustomImage;,False
26,mConfirmButton,Field,,,,,30,1,2,,private Button mConfirmButton;,False
27,mCancelButton,Field,,,,,29,1,2,,private Button mCancelButton;,False
28,progressWheel,Field,,,,,36,1,2,,private ProgressWheel progressWheel;,False
29,mWarningFrame,Field,,,,,34,1,2,,private FrameLayout mWarningFrame;,False
30,mCancelClickListener,Field,,,,,50,1,2,,private OnSweetClickListener mCancelClickListener;,False
31,mConfirmClickListener,Field,,,,,51,1,2,,private OnSweetClickListener mConfirmClickListener;,False
32,mCloseFromCancel,Field,,,,,33,1,2,,private boolean mCloseFromCancel;,False
33,mProgressMessageColor,Field,,,,,34,1,2,,private int mProgressMessageColor;,False
34,mProgressMessage,Field,,,,,32,1,2,,private String mProgressMessage;,False
35,mProgressRimWidth,Field,,,,,30,1,2,,private int mProgressRimWidth;,False
36,mProgressRimColor,Field,,,,,30,1,2,,private int mProgressRimColor;,False
37,mProgressSpin,Field,,,,,28,1,2,,private float mProgressSpin;,False
38,mPogressWidth,Field,,,,,26,1,2,,private int mPogressWidth;,False
39,mProgressColor,Field,,,,,27,1,2,,private int mProgressColor;,False
40,mProgressInstantProgress,Field,,,,,39,1,2,,private float mProgressInstantProgress;,False
41,mProgress,Field,,,,,24,1,2,,private float mProgress;,False
42,mProgressCircleRadius,Field,,,,,34,1,2,,private int mProgressCircleRadius;,False
43,toSpin,Field,,,,,23,1,2,,private boolean toSpin;,False
