index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,fixRetrieveStartingCatchPosition(int),Method,,,,,76,3,9,,"public static int fixRetrieveStartingCatchPosition(int in) {
		return in;
	}",False
2,ALREADY_PROCESSED_FLAG,Field,,,,,58,1,25,,public static final int ALREADY_PROCESSED_FLAG = 0x800000;,False
3,checkBit24(Object),Method,,,java.lang.reflect.Field+get(Object) java.lang.Class+getField(String) java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getField(String) java.lang.reflect.Field+get(Object),lombok.eclipse.agent.PatchFixes+ALREADY_PROCESSED_FLAG,182,4,9,,"public static boolean checkBit24(Object node) throws Exception {
		int bits = (Integer)(node.getClass().getField(""bits"").get(node));
		return (bits & ALREADY_PROCESSED_FLAG) != 0;
	}",False
4,debugPrintStateOfScope(Object),Method,,,"java.lang.reflect.Field+get(Object) java.lang.Class+getField(String) java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getField(String) java.lang.reflect.Field+get(Object) java.lang.Class+getMethod(String,Class[]) java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getMethod(String,Class[]) java.lang.NullPointerException+NullPointerException(String)",,806,19,9,"/** 
 * XXX LIVE DEBUG Once in a blue moon eclipse throws a NullPointerException while editing a file. Can't reproduce it while running eclipse in a debugger, but at least this way we patch the problem to be a bit more specific in the error that should then appear.
 */
","/**
	 * XXX LIVE DEBUG
	 * 
	 * Once in a blue moon eclipse throws a NullPointerException while editing a file. Can't reproduce it while running eclipse in a debugger,
	 * but at least this way we patch the problem to be a bit more specific in the error that should then appear.
	 */
	public static boolean debugPrintStateOfScope(Object in) throws Exception {
		/* this.scope.enclosingSourceType().sourceName */
		Object scope = in.getClass().getField(""scope"").get(in);
		String msg = null;
		if (scope == null) msg = ""scope itself is null"";
		else {
			Object sourceTypeBinding = scope.getClass().getMethod(""enclosingSourceType"").invoke(scope);
			if (sourceTypeBinding == null) msg = ""scope.enclosingSourceType() is null"";
		}
		
		if (msg != null) throw new NullPointerException(msg);
		return false;
	}",False
5,skipRewritingGeneratedNodes(org.eclipse.jdt.core.dom.ASTNode),Method,,,java.lang.Boolean+booleanValue() java.lang.Boolean+booleanValue(),,197,3,9,,"public static boolean skipRewritingGeneratedNodes(org.eclipse.jdt.core.dom.ASTNode node) throws Exception {
		return ((Boolean)node.getClass().getField(""$isGenerated"").get(node)).booleanValue();
	}",False
6,"setIsGeneratedFlag(org.eclipse.jdt.core.dom.ASTNode,org.eclipse.jdt.internal.compiler.ast.ASTNode)",Method,,,,,497,9,9,,"public static void setIsGeneratedFlag(org.eclipse.jdt.core.dom.ASTNode domNode,
			org.eclipse.jdt.internal.compiler.ast.ASTNode internalNode) throws Exception {
		if (internalNode == null || domNode == null) return;
		boolean isGenerated = internalNode.getClass().getField(""$generatedBy"").get(internalNode) != null;
		if (isGenerated) {
			domNode.getClass().getField(""$isGenerated"").set(domNode, true);
			domNode.setFlags(domNode.getFlags() & ~org.eclipse.jdt.core.dom.ASTNode.ORIGINAL);
		}
	}",False
7,"setIsGeneratedFlagForSimpleName(SimpleName,Object)",Method,,,java.lang.reflect.Field+get(Object) java.lang.Class+getField(String) java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getField(String) java.lang.reflect.Field+get(Object),,345,7,9,,"public static void setIsGeneratedFlagForSimpleName(SimpleName name, Object internalNode) throws Exception {
		if (internalNode instanceof org.eclipse.jdt.internal.compiler.ast.ASTNode) {
			if (internalNode.getClass().getField(""$generatedBy"").get(internalNode) != null) {
				name.getClass().getField(""$isGenerated"").set(name, true);
			}
		}
	}",False
8,removeGeneratedMethods(IMethod[]),Method,,,java.util.ArrayList+ArrayList(),,313,7,9,,"public static IMethod[] removeGeneratedMethods(IMethod[] methods) throws Exception {
		List<IMethod> result = new ArrayList<IMethod>();
		for (IMethod m : methods) {
			if (m.getNameRange().getLength() > 0) result.add(m);
		}
		return result.size() == methods.length ? methods : result.toArray(new IMethod[0]);
	}",False
9,removeGeneratedSimpleNames(SimpleName[]),Method,,,java.lang.Class+getField(String) java.lang.Class+getField(String) java.lang.Boolean+booleanValue() java.lang.reflect.Field+get(Object) java.lang.reflect.Field+get(Object) java.lang.Boolean+booleanValue() java.lang.Boolean+booleanValue() java.lang.reflect.Field+get(Object) java.lang.reflect.Field+get(Object) java.lang.Boolean+booleanValue(),,557,15,9,,"public static SimpleName[] removeGeneratedSimpleNames(SimpleName[] in) throws Exception {
		Field f = SimpleName.class.getField(""$isGenerated"");
		
		int count = 0;
		for (int i = 0; i < in.length; i++) {
			if (in[i] == null || !((Boolean)f.get(in[i])).booleanValue()) count++;
		}
		if (count == in.length) return in;
		SimpleName[] newSimpleNames = new SimpleName[count];
		count = 0;
		for (int i = 0; i < in.length; i++) {
			if (in[i] == null || !((Boolean)f.get(in[i])).booleanValue()) newSimpleNames[count++] = in[i];
		}
		return newSimpleNames;
	}",False
10,"runPostCompiler(byte[],String)",Method,,,"lombok.core.PostCompiler+applyTransformations(byte[],String,DiagnosticsReceiver) lombok.core.PostCompiler+applyTransformations(byte[],String,DiagnosticsReceiver)",lombok.core.DiagnosticsReceiver+CONSOLE,228,4,9,,"public static byte[] runPostCompiler(byte[] bytes, String fileName) {
		byte[] transformed = PostCompiler.applyTransformations(bytes, fileName, DiagnosticsReceiver.CONSOLE);
		return transformed == null ? bytes : transformed;
	}",False
