index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LOG,Field,,,,,76,1,26,,private static final Logger LOG = LoggerFactory.getLogger(Supervisor.class);,True
2,restartStrategy,Field,,,,,46,1,18,,private final RestartStrategy restartStrategy;,True
3,childSpec,Field,,,,,34,1,2,,private List<ChildSpec> childSpec;,True
4,children,Field,,,,,70,1,18,,private final List<ChildEntry> children = new ArrayList<ChildEntry>();,True
5,childrenById,Field,,,,,109,1,18,,"private final ConcurrentMap<Object, ChildEntry> childrenById = new ConcurrentHashMapV8<Object, ChildEntry>();",True
6,"Supervisor(Strand,String,MailboxConfig,RestartStrategy,Initializer)",Method,,,,co.paralleluniverse.actors.behaviors.Supervisor+restartStrategy co.paralleluniverse.actors.behaviors.Supervisor+restartStrategy co.paralleluniverse.actors.behaviors.Supervisor+childSpec co.paralleluniverse.actors.behaviors.Supervisor+childSpec,276,5,1,,"public Supervisor(Strand strand, String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy, Initializer initializer) {
        super(name, initializer, strand, mailboxConfig);
        this.restartStrategy = restartStrategy;
        this.childSpec = null;
    }",True
7,"Supervisor(Strand,String,MailboxConfig,RestartStrategy,List<ChildSpec>)",Method,,,,co.paralleluniverse.actors.behaviors.Supervisor+restartStrategy co.paralleluniverse.actors.behaviors.Supervisor+restartStrategy co.paralleluniverse.actors.behaviors.Supervisor+childSpec co.paralleluniverse.actors.behaviors.Supervisor+childSpec,276,5,1,,"public Supervisor(Strand strand, String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy, List<ChildSpec> childSpec) {
        super(name, null, strand, mailboxConfig);
        this.restartStrategy = restartStrategy;
        this.childSpec = childSpec;
    }",True
8,"Supervisor(Strand,String,MailboxConfig,RestartStrategy,ChildSpec)",Method,,,java.util.Arrays+asList(T[]) java.util.Arrays+asList(T[]),,225,3,1,,"public Supervisor(Strand strand, String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy, ChildSpec... childSpec) {
        this(strand, name, mailboxConfig, restartStrategy, Arrays.asList(childSpec));
    }",False
9,"Supervisor(Strand,String,MailboxConfig,RestartStrategy)",Method,,,,,195,3,1,,"public Supervisor(Strand strand, String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy) {
        this(strand, name, mailboxConfig, restartStrategy, (Initializer) null);
    }",True
10,"Supervisor(String,MailboxConfig,RestartStrategy)",Method,,,,,178,3,1,,"public Supervisor(String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy) {
        this(null, name, mailboxConfig, restartStrategy, (Initializer) null);
    }",True
11,"Supervisor(String,RestartStrategy)",Method,,,,,140,3,1,,"public Supervisor(String name, RestartStrategy restartStrategy) {
        this(null, name, null, restartStrategy, (Initializer) null);
    }",True
12,"Supervisor(String,MailboxConfig,RestartStrategy,Initializer)",Method,,,,,196,3,1,,"public Supervisor(String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy, Initializer initializer) {
        this(null, name, mailboxConfig, restartStrategy, initializer);
    }",True
13,"Supervisor(String,RestartStrategy,Initializer)",Method,,,,,158,3,1,,"public Supervisor(String name, RestartStrategy restartStrategy, Initializer initializer) {
        this(null, name, null, restartStrategy, initializer);
    }",True
14,Supervisor(RestartStrategy),Method,,,,,127,3,1,,"public Supervisor(RestartStrategy restartStrategy) {
        this(null, null, null, restartStrategy, (Initializer) null);
    }",True
15,"Supervisor(String,MailboxConfig,RestartStrategy,List<ChildSpec>)",Method,,,,,196,3,1,,"public Supervisor(String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy, List<ChildSpec> childSpec) {
        this(null, name, mailboxConfig, restartStrategy, childSpec);
    }",True
16,"Supervisor(String,MailboxConfig,RestartStrategy,ChildSpec)",Method,,,,,193,3,1,,"public Supervisor(String name, MailboxConfig mailboxConfig, RestartStrategy restartStrategy, ChildSpec... childSpec) {
        this(null, name, mailboxConfig, restartStrategy, childSpec);
    }",True
17,"Supervisor(String,RestartStrategy,List<ChildSpec>)",Method,,,,,158,3,1,,"public Supervisor(String name, RestartStrategy restartStrategy, List<ChildSpec> childSpec) {
        this(null, name, null, restartStrategy, childSpec);
    }",True
18,"Supervisor(String,RestartStrategy,ChildSpec)",Method,,,,,155,3,1,,"public Supervisor(String name, RestartStrategy restartStrategy, ChildSpec... childSpec) {
        this(null, name, null, restartStrategy, childSpec);
    }",True
19,"Supervisor(RestartStrategy,List<ChildSpec>)",Method,,,,,145,3,1,,"public Supervisor(RestartStrategy restartStrategy, List<ChildSpec> childSpec) {
        this(null, null, null, restartStrategy, childSpec);
    }",True
20,"Supervisor(RestartStrategy,ChildSpec)",Method,,,,,142,3,1,,"public Supervisor(RestartStrategy restartStrategy, ChildSpec... childSpec) {
        this(null, null, null, restartStrategy, childSpec);
    }",True
21,getChild(Object),Method,,,co.paralleluniverse.actors.behaviors.Supervisor+findEntryById(Object) co.paralleluniverse.actors.behaviors.Supervisor+findEntryById(Object),,231,6,1,,"public <Message, V> LocalActor<Message, V> getChild(Object name) {
        final ChildEntry child = findEntryById(name);
        if (child == null)
            return null;
        return (LocalActor<Message, V>) child.actor;
    }",True
22,log(),Method,,,,co.paralleluniverse.actors.behaviors.Supervisor+LOG,61,4,1,,"@Override
    public Logger log() {
        return LOG;
    }",True
