index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,id,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setId(Long)",,,,16,1,2,,private Long id;,False
2,createUser,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setCreateUser(String)",,,,26,1,2,,private String createUser;,False
3,udfName,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUdfName(String)",,,,23,1,2,,private String udfName;,False
4,udfType,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUdfType(Integer)",,,,24,1,2,,private Integer udfType;,False
5,path,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setPath(String)",,,,20,1,2,,private String path;,True
6,registerFormat,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setRegisterFormat(String)",,,,30,1,2,,private String registerFormat;,True
7,useFormat,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUseFormat(String)",,,,25,1,2,,private String useFormat;,True
8,description,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setDescription(String)",,,,27,1,2,,private String description;,True
9,isExpire,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean)",,,,25,1,2,,private Boolean isExpire;,False
10,isShared,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean)",,,,25,1,2,,private Boolean isShared;,False
11,treeId,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setTreeId(Long)",,,,20,1,2,,private Long treeId;,False
12,createTime,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setCreateTime(Date)",,,,24,1,2,,private Date createTime;,False
13,updateTime,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUpdateTime(Date)",,,,24,1,2,,private Date updateTime;,False
