index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,48,1,24,,static final long serialVersionUID = 894359345L;,False
2,currentActor,Field,,,,,80,1,26,,private static final ThreadLocal<Actor> currentActor = new ThreadLocal<Actor>();,False
3,strand,Field,setStrand(Strand) setStrand(Strand),,,,22,1,2,,private Strand strand;,False
4,name,Field,"Actor(String,int) setStrand(Strand)",,,,20,1,2,,private String name;,False
5,mailbox,Field,"Actor(String,int)",,,,38,1,18,,private final Mailbox<Object> mailbox;,True
6,lifecycleListeners,Field,,,,,139,1,18,,"private final Set<LifecycleListener> lifecycleListeners = Collections.newSetFromMap(new ConcurrentHashMapV8<LifecycleListener, Boolean>());",True
7,result,Field,,,,,26,1,66,,private volatile V result;,True
8,exception,Field,throwIn(RuntimeException),,,,44,1,66,,private volatile RuntimeException exception;,True
9,deathReason,Field,notifyDeath(Object),,,,36,1,66,,private volatile Object deathReason;,True
10,monitor,Field,register(Object) unregister(Object),,,,29,1,2,,private ActorMonitor monitor;,True
11,flightRecorder,Field,"Actor(String,int) Actor(String,int)",,,,46,1,20,,protected final FlightRecorder flightRecorder;,False
