index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,array,Field,SingleConsumerArrayQueue(int),,,,29,1,18,,private final Object[] array;,True
2,head,Field,,,,,26,1,66,,private volatile int head;,False
3,p001,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
4,p002,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
5,p003,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
6,p004,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
7,p005,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
8,p006,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
9,p007,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
10,p008,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
11,p009,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
12,p010,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
13,p011,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
14,p012,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
15,p013,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
16,p014,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
17,p015,Field,,,,,113,1,66,,"private volatile Object p001, p002, p003, p004, p005, p006, p007, p008, p009, p010, p011, p012, p013, p014, p015;",False
18,tail,Field,,,,,26,1,66,,private volatile int tail;,False
19,SingleConsumerArrayQueue(int),Method,,,,co.paralleluniverse.lwthreads.datastruct.SingleConsumerArrayQueue<E>+array co.paralleluniverse.lwthreads.datastruct.SingleConsumerArrayQueue+array,88,3,1,,"public SingleConsumerArrayQueue(int size) {
        this.array = new Object[size];
    }",True
20,allowRetainPointers(),Method,,,,,80,4,1,,"@Override
    public boolean allowRetainPointers() {
        return false;
    }",False
21,value(Integer),Method,,,co.paralleluniverse.lwthreads.datastruct.SingleConsumerArrayQueue+value(int) co.paralleluniverse.lwthreads.datastruct.SingleConsumerArrayQueue+value(int) java.lang.Integer+intValue() java.lang.Integer+intValue(),,91,4,1,,"@Override
    public E value(Integer index) {
        return value(index.intValue());
    }",False
22,value(int),Method,value(Integer) QueueIterator.next(),,,co.paralleluniverse.lwthreads.datastruct.SingleConsumerArrayQueue+array,66,3,1,,"public E value(int index) {
        return (E) array[index];
    }",False
