index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,theme,Field,,,,,22,1,2,,private int theme = 0;,False
2,defaultAvatar,Field,,,,,38,1,2,,private Drawable defaultAvatar = null;,True
3,defaultPic,Field,,,,,35,1,2,,private Drawable defaultPic = null;,True
4,errorPic,Field,,,,,33,1,2,,private Drawable errorPic = null;,True
5,transPic,Field,,,,,65,1,2,,private Drawable transPic = new ColorDrawable(Color.TRANSPARENT);,True
6,picBgBorder,Field,,,,,36,1,2,,private Drawable picBgBorder = null;,True
7,avatarBitmapWorkerTaskHashMap,Field,,,,,132,1,2,,"private Map<String, AvatarBitmapWorkerTask> avatarBitmapWorkerTaskHashMap = new ConcurrentHashMap<String, AvatarBitmapWorkerTask>();",True
8,pictureBitmapWorkerTaskMap,Field,,,,,131,1,2,,"private Map<String, PictureBitmapWorkerTask> pictureBitmapWorkerTaskMap = new ConcurrentHashMap<String, PictureBitmapWorkerTask>();",True
9,"getMemCacheKey(String,int)",Method,"PicCommander.downloadAvatar(ImageView,String,int,ListView,boolean) PicCommander.downloadAvatar(ImageView,String,int,ListView,boolean)",,,,104,3,4,,"protected String getMemCacheKey(String urlKey, int position) {
        return urlKey + position;
    }",True
10,commander,Field,,,,,52,1,4,,protected ICommander commander = new PicCommander();,True
