index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,DATE_PATTERN,Field,,,,,57,1,24,,"static final String DATE_PATTERN = ""yyyy-MM-dd_HH_mm_ss"";",True
2,sdf,Field,,,,,58,1,0,,SimpleDateFormat sdf = new SimpleDateFormat(DATE_PATTERN);,True
3,layout,Field,,,,,53,1,0,,EchoLayout<Object> layout = new EchoLayout<Object>();,True
4,context,Field,,,,,36,1,0,,Context context = new ContextBase();,True
5,rfa1,Field,,,,,69,1,0,,RollingFileAppender<Object> rfa1 = new RollingFileAppender<Object>();,False
6,tbrp1,Field,,,,,76,1,0,,TimeBasedRollingPolicy<Object> tbrp1 = new TimeBasedRollingPolicy<Object>();,False
7,rfa2,Field,,,,,69,1,0,,RollingFileAppender<Object> rfa2 = new RollingFileAppender<Object>();,False
8,tbrp2,Field,,,,,76,1,0,,TimeBasedRollingPolicy<Object> tbrp2 = new TimeBasedRollingPolicy<Object>();,False
9,cal,Field,,,,,38,1,0,,Calendar cal = Calendar.getInstance();,True
10,currentTime,Field,,,,,17,1,0,,long currentTime;,True
11,nextRolloverThreshold,Field,,,,,27,1,0,,long nextRolloverThreshold;,True
12,expectedFilenameList,Field,,,,,60,1,0,,List<String> expectedFilenameList = new ArrayList<String>();,True
13,setUp(),Method,,,"ch.qos.logback.core.Context+setName(String) ch.qos.logback.core.Context+setName(String) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+getTimeInMillis() java.util.Calendar+getTimeInMillis() ch.qos.logback.core.rolling.TimeBasedRollingTest+recomputeRolloverThreshold(long) ch.qos.logback.core.rolling.TimeBasedRollingTest+recomputeRolloverThreshold(long) java.io.PrintStream+println(String) java.io.PrintStream+println(String) java.text.DateFormat+format(Date) java.text.DateFormat+format(Date) java.sql.Date+Date(long) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String) ch.qos.logback.core.rolling.TimeBasedRollingTest+deleteStaleLogFile(String)",ch.qos.logback.core.rolling.TimeBasedRollingTest+context ch.qos.logback.core.rolling.TimeBasedRollingTest+cal java.util.Calendar+MILLISECOND ch.qos.logback.core.rolling.TimeBasedRollingTest+currentTime ch.qos.logback.core.rolling.TimeBasedRollingTest+cal ch.qos.logback.core.rolling.TimeBasedRollingTest+currentTime java.lang.System+out ch.qos.logback.core.rolling.TimeBasedRollingTest+sdf ch.qos.logback.core.rolling.TimeBasedRollingTest+currentTime,474,15,1,,"@Before
  public void setUp() {
    context.setName(""test"");
    cal.set(Calendar.MILLISECOND, 333);
    currentTime = cal.getTimeInMillis();
    recomputeRolloverThreshold(currentTime);
    System.out.println(""at setUp() currentTime=""
        + sdf.format(new Date(currentTime)));

    // Delete .log files
    deleteStaleLogFile(""test4.log"");
    deleteStaleLogFile(""test4B.log"");
    deleteStaleLogFile(""test5.log"");
    deleteStaleLogFile(""test6.log"");
  }",False
