index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,SUCCESSIVE_FAILURE_LIMIT,Field,,,,,40,1,8,,static int SUCCESSIVE_FAILURE_LIMIT = 3;,False
2,securityPrincipalName,Field,setSecurityPrincipalName(String),,,,29,1,0,,String securityPrincipalName;,True
3,securityCredentials,Field,setSecurityCredentials(String),,,,27,1,0,,String securityCredentials;,True
4,initialContextFactoryName,Field,setInitialContextFactoryName(String),,,,33,1,0,,String initialContextFactoryName;,True
5,urlPkgPrefixes,Field,setURLPkgPrefixes(String),,,,22,1,0,,String urlPkgPrefixes;,True
6,providerURL,Field,setProviderURL(String),,,,19,1,0,,String providerURL;,True
7,topicBindingName,Field,setTopicBindingName(String),,,,24,1,0,,String topicBindingName;,False
8,tcfBindingName,Field,setTopicConnectionFactoryBindingName(String),,,,22,1,0,,String tcfBindingName;,False
9,userName,Field,setUserName(String),,,,16,1,0,,String userName;,True
10,password,Field,setPassword(String),,,,16,1,0,,String password;,True
11,topicConnection,Field,start() start() start(),,,,32,1,0,,TopicConnection topicConnection;,False
12,topicSession,Field,start() start(),,,,26,1,0,,TopicSession topicSession;,False
13,topicPublisher,Field,start() start(),,,,30,1,0,,TopicPublisher topicPublisher;,False
14,successiveFailureCount,Field,,,,,31,1,0,,int successiveFailureCount = 0;,False
15,JMSTopicAppender(),Method,,,,,32,2,1,,"public JMSTopicAppender() {
  }",False
16,setTopicConnectionFactoryBindingName(String),Method,,ch.qos.logback.classic.net.JMSTopicAppenderTestApp+main(String[]),,ch.qos.logback.classic.net.JMSTopicAppender+tcfBindingName ch.qos.logback.classic.net.JMSTopicAppender+tcfBindingName,335,8,1,"/** 
 * The <b>TopicConnectionFactoryBindingName</b> option takes a string value. Its value will be used to lookup the appropriate <code>TopicConnectionFactory</code> from the JNDI context.
 */
","/**
   * The <b>TopicConnectionFactoryBindingName</b> option takes a string value.
   * Its value will be used to lookup the appropriate
   * <code>TopicConnectionFactory</code> from the JNDI context.
   */
  public void setTopicConnectionFactoryBindingName(String tcfBindingName) {
    this.tcfBindingName = tcfBindingName;
  }",False
17,getTopicConnectionFactoryBindingName(),Method,,,,ch.qos.logback.classic.net.JMSTopicAppender+tcfBindingName,181,6,1,"/** 
 * Returns the value of the <b>TopicConnectionFactoryBindingName</b> option.
 */
","/**
   * Returns the value of the <b>TopicConnectionFactoryBindingName</b> option.
   */
  public String getTopicConnectionFactoryBindingName() {
    return tcfBindingName;
  }",False
18,setTopicBindingName(String),Method,,ch.qos.logback.classic.net.JMSTopicAppenderTestApp+main(String[]),,ch.qos.logback.classic.net.JMSTopicAppender+topicBindingName ch.qos.logback.classic.net.JMSTopicAppender+topicBindingName,284,7,1,"/** 
 * The <b>TopicBindingName</b> option takes a string value. Its value will be used to lookup the appropriate <code>Topic</code> from the JNDI context.
 */
","/**
   * The <b>TopicBindingName</b> option takes a string value. Its value will be
   * used to lookup the appropriate <code>Topic</code> from the JNDI context.
   */
  public void setTopicBindingName(String topicBindingName) {
    this.topicBindingName = topicBindingName;
  }",False
19,getTopicBindingName(),Method,,,,ch.qos.logback.classic.net.JMSTopicAppender+topicBindingName,149,6,1,"/** 
 * Returns the value of the <b>TopicBindingName</b> option.
 */
","/**
   * Returns the value of the <b>TopicBindingName</b> option.
   */
  public String getTopicBindingName() {
    return topicBindingName;
  }",False
