index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,log,Field,,,,,69,1,26,,private static final Logger log = LoggingManager.getLoggerForClass();,False
2,PackageTest(String),Method,,,,,60,3,1,,"public PackageTest(String arg0) {
        super(arg0);
    }",False
3,"setCSVReadParams(String,String)",Method,CSVParams() CSVParams() CSVParams() CSVSetup() CSVSetup() CSVSetup() CSVSetup() CSVSetup() CSVSetup() CSValias() CSValias() CSValias() CSValias() CSValias() CSValias() CSVNoFile() CSVNoFile() CSVNoFile() CSVNoFile() CSVBlankLine() CSVBlankLine(),,org.apache.jmeter.functions.CSVRead+CSVRead() java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) org.apache.jmeter.functions.CSVRead+setParameters(Collection<CompoundVariable>) org.apache.jmeter.functions.CSVRead+setParameters(Collection<CompoundVariable>),,409,12,10,,"private static CSVRead setCSVReadParams(String p1, String p2) throws Exception {
        CSVRead cr = new CSVRead();
        Collection<CompoundVariable> parms = new LinkedList<>();
        if (p1 != null) {
            parms.add(new CompoundVariable(p1));
        }
        if (p2 != null) {
            parms.add(new CompoundVariable(p2));
        }
        cr.setParameters(parms);
        return cr;
    }",False
4,"SFFParams(String,String,String,String)",Method,SFFTest1() SFFTest2() SFFTest3() SFFTest4() SFFTest5(),,org.apache.jmeter.functions.StringFromFile+StringFromFile() java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) org.apache.jmeter.functions.StringFromFile+setParameters(Collection<CompoundVariable>) org.apache.jmeter.functions.StringFromFile+setParameters(Collection<CompoundVariable>),,618,18,10,,"private static StringFromFile SFFParams(String p1, String p2, String p3, String p4) throws Exception {
        StringFromFile sff = new StringFromFile();
        Collection<CompoundVariable> parms = new LinkedList<>();
        if (p1 != null) {
            parms.add(new CompoundVariable(p1));
        }
        if (p2 != null) {
            parms.add(new CompoundVariable(p2));
        }
        if (p3 != null) {
            parms.add(new CompoundVariable(p3));
        }
        if (p4 != null) {
            parms.add(new CompoundVariable(p4));
        }
        sff.setParameters(parms);
        return sff;
    }",False
5,"splitParams(String,String,String)",Method,splitTest1() splitTest1() splitTest1() splitTest1() splitTest1() splitTest1() splitTest1() splitTest1(),,org.apache.jmeter.functions.SplitFunction+SplitFunction() java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) org.apache.jmeter.functions.SplitFunction+setParameters(Collection<CompoundVariable>) org.apache.jmeter.functions.SplitFunction+setParameters(Collection<CompoundVariable>),,487,13,10,,"private static SplitFunction splitParams(String p1, String p2, String p3) throws Exception {
        SplitFunction split = new SplitFunction();
        Collection<CompoundVariable> parms = new LinkedList<>();
        parms.add(new CompoundVariable(p1));
        if (p2 != null) {
            parms.add(new CompoundVariable(p2));
        }
        if (p3 != null) {
            parms.add(new CompoundVariable(p3));
        }
        split.setParameters(parms);
        return split;
    }",False
6,"BSHFParams(String,String,String)",Method,BSH1() BSH1() BSH1() BSH1() BSH1() BSH1() BSH1() BSH1() BSH1() BSH1(),,"org.apache.jmeter.functions.BeanShell+BeanShell() org.apache.jmeter.functions.BeanShell+setParameters(Collection<CompoundVariable>) org.apache.jmeter.functions.BeanShell+setParameters(Collection<CompoundVariable>) org.apache.jmeter.functions.PackageTest+makeParams(String,String,String) org.apache.jmeter.functions.PackageTest+makeParams(String,String,String)",,205,5,10,,"private static BeanShell BSHFParams(String p1, String p2, String p3) throws Exception {
        BeanShell bsh = new BeanShell();
        bsh.setParameters(makeParams(p1, p2, p3));
        return bsh;
    }",False
7,"makeParams(String,String,String)",Method,"BSHFParams(String,String,String) randomTest1() randomTest1() variableTest1() variableTest1() variableTest1() variableTest1() variableTest1() variableTest1() variableTest1() evalTest1() evalTest2()",,java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String) java.util.Collection+add(E) java.util.Collection+add(E) org.apache.jmeter.engine.util.CompoundVariable+CompoundVariable(String),,437,13,10,,"private static Collection<CompoundVariable> makeParams(String p1, String p2, String p3) {
        Collection<CompoundVariable> parms = new LinkedList<>();
        if (p1 != null) {
            parms.add(new CompoundVariable(p1));
        }
        if (p2 != null) {
            parms.add(new CompoundVariable(p2));
        }
        if (p3 != null) {
            parms.add(new CompoundVariable(p3));
        }
        return parms;
    }",False
8,suite(),Method,,,junit.framework.TestSuite+TestSuite(String) org.apache.jmeter.util.BeanShellInterpreter+isInterpreterPresent() org.apache.jmeter.util.BeanShellInterpreter+isInterpreterPresent() junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.extensions.ActiveTestSuite+ActiveTestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.extensions.ActiveTestSuite+ActiveTestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.extensions.ActiveTestSuite+ActiveTestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+TestSuite(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test) org.apache.jmeter.functions.PackageTest+PackageTest(String) junit.framework.TestSuite+addTest(Test) junit.framework.TestSuite+addTest(Test),org.apache.jmeter.functions.PackageTest+log,3356,84,9,,"public static Test suite() throws Exception {
        TestSuite allsuites = new TestSuite(""Function PackageTest"");

        if (!BeanShellInterpreter.isInterpreterPresent()){
            final String msg = ""BeanShell jar not present, tests ignored"";
            log.warn(msg);
        } else {
            TestSuite bsh = new TestSuite(""BeanShell"");
            bsh.addTest(new PackageTest(""BSH1""));
            allsuites.addTest(bsh);
        }

        TestSuite suite = new TestSuite(""SingleThreaded"");
        suite.addTest(new PackageTest(""CSVParams""));
        suite.addTest(new PackageTest(""CSVNoFile""));
        suite.addTest(new PackageTest(""CSVSetup""));
        suite.addTest(new PackageTest(""CSVRun""));

        suite.addTest(new PackageTest(""CSValias""));
        suite.addTest(new PackageTest(""CSVBlankLine""));
        allsuites.addTest(suite);

        // Reset files
        suite.addTest(new PackageTest(""CSVSetup""));
        TestSuite par = new ActiveTestSuite(""Parallel"");
        par.addTest(new PackageTest(""CSVThread1""));
        par.addTest(new PackageTest(""CSVThread2""));
        allsuites.addTest(par);

        TestSuite sff = new TestSuite(""StringFromFile"");
        sff.addTest(new PackageTest(""SFFTest1""));
        sff.addTest(new PackageTest(""SFFTest2""));
        sff.addTest(new PackageTest(""SFFTest3""));
        sff.addTest(new PackageTest(""SFFTest4""));
        sff.addTest(new PackageTest(""SFFTest5""));
        allsuites.addTest(sff);

        TestSuite split = new TestSuite(""SplitFunction"");
        split.addTest(new PackageTest(""splitTest1""));
        allsuites.addTest(split);

        TestSuite xpath = new TestSuite(""XPath"");
        xpath.addTest(new PackageTest(""XPathtestColumns""));
        xpath.addTest(new PackageTest(""XPathtestDefault""));
        xpath.addTest(new PackageTest(""XPathtestNull""));
        xpath.addTest(new PackageTest(""XPathtestrowNum""));
        xpath.addTest(new PackageTest(""XPathEmpty""));
        xpath.addTest(new PackageTest(""XPathFile1""));
        xpath.addTest(new PackageTest(""XPathFile2""));
        xpath.addTest(new PackageTest(""XPathNoFile""));

        allsuites.addTest(xpath);
        
        TestSuite random = new TestSuite(""Random"");
        random.addTest(new PackageTest(""randomTest1""));
        allsuites.addTest(random);

        allsuites.addTest(new PackageTest(""XPathSetup1""));
        TestSuite par2 = new ActiveTestSuite(""ParallelXPath1"");
        par2.addTest(new PackageTest(""XPathThread1""));
        par2.addTest(new PackageTest(""XPathThread2""));
        allsuites.addTest(par2);

        allsuites.addTest(new PackageTest(""XPathSetup2""));
        TestSuite par3 = new ActiveTestSuite(""ParallelXPath2"");
        par3.addTest(new PackageTest(""XPathThread1""));
        par3.addTest(new PackageTest(""XPathThread2""));
        allsuites.addTest(par3);

        TestSuite variable = new TestSuite(""Variable"");
        variable.addTest(new PackageTest(""variableTest1""));
        allsuites.addTest(variable);
        
        TestSuite eval = new TestSuite(""Eval"");
        eval.addTest(new PackageTest(""evalTest1""));
        eval.addTest(new PackageTest(""evalTest2""));
        allsuites.addTest(eval);

        TestSuite intSum = new TestSuite(""Sums"");
        intSum.addTest(new PackageTest(""sumTest""));
        allsuites.addTest(intSum);

        return allsuites;
    }",False
9,jmctx,Field,,,,,35,1,2,,private JMeterContext jmctx = null;,False
10,vars,Field,,,,,36,1,2,,private JMeterVariables vars = null;,False
