index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LazyHolder,MemberClass,,,javax.script.ScriptEngineManager+ScriptEngineManager(),org.apache.jmeter.util.JSR223TestElement.LazyHolder+INSTANCE,188,6,10,"/** 
 * Initialization On Demand Holder pattern
 */
","/**
     * Initialization On Demand Holder pattern
     */
    private static class LazyHolder {
        public static final ScriptEngineManager INSTANCE = new ScriptEngineManager();
    }",False
2,getInstance(),Method,getScriptEngine(),,,org.apache.jmeter.util.JSR223TestElement.LazyHolder+INSTANCE,156,6,9,"/** 
 * @return ScriptEngineManager singleton
 */
","/**
     * @return ScriptEngineManager singleton
     */
    public static ScriptEngineManager getInstance() {
            return LazyHolder.INSTANCE;
    }",False
3,serialVersionUID,Field,,,,,50,1,26,,private static final long serialVersionUID = 233L;,False
4,parameters,Field,,,,,26,1,2,,private String parameters;,True
5,filename,Field,,,,,24,1,2,,private String filename;,True
6,script,Field,,,,,22,1,2,,private String script;,True
7,scriptLanguage,Field,,,,,30,1,2,,private String scriptLanguage;,True
8,cacheKey,Field,setCacheKey(String),,,,29,1,2,,"private String cacheKey = """";",False
9,compiledScriptsCache,Field,,,,,343,7,26,"/** 
 * Cache of compiled scripts
 */
","/**
     * Cache of compiled scripts
     */
    @SuppressWarnings(""unchecked"") // LRUMap does not support generics (yet)
    private static final Map<String, CompiledScript> compiledScriptsCache = 
            Collections.synchronizedMap(
                    new LRUMap(JMeterUtils.getPropDefault(""jsr223.compiled_scripts_cache_size"", 100)));",False
10,JSR223TestElement(),Method,,,org.apache.jmeter.util.JSR223TestElement+init() org.apache.jmeter.util.JSR223TestElement+init(),,67,4,1,,"public JSR223TestElement() {
        super();
        init();
    }",False
