index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,48,1,26,,private static final long serialVersionUID = 1L;,False
2,tfMailFrom,Field,,,,,30,1,2,,private JTextField tfMailFrom;,False
3,browseButton,Field,,,,,29,1,2,,private JButton browseButton;,False
4,emlBrowseButton,Field,,,,,32,1,2,,private JButton emlBrowseButton;,False
5,cbTrustAllCerts,Field,,,,,34,1,2,,private JCheckBox cbTrustAllCerts;,True
6,cbEnforceStartTLS,Field,,,,,36,1,2,,private JCheckBox cbEnforceStartTLS;,True
7,cbUseAuth,Field,,,,,28,1,2,,private JCheckBox cbUseAuth;,False
8,cbUseLocalTrustStore,Field,,,,,39,1,2,,private JCheckBox cbUseLocalTrustStore;,True
9,rbUseNone,Field,,,,,31,1,2,,private JRadioButton rbUseNone;,True
10,rbUseSSL,Field,,,,,30,1,2,,private JRadioButton rbUseSSL;,True
11,rbUseStartTLS,Field,,,,,35,1,2,,private JRadioButton rbUseStartTLS;,True
12,bgSecuritySettings,Field,,,,,39,1,2,,private ButtonGroup bgSecuritySettings;,True
13,tfMailServer,Field,,,,,32,1,2,,private JTextField tfMailServer;,False
14,tfMailServerPort,Field,,,,,36,1,2,,private JTextField tfMailServerPort;,False
15,tfTrustStoreToUse,Field,,,,,37,1,2,,private JTextField tfTrustStoreToUse;,True
16,tfMailTo,Field,,,,,28,1,2,,private JTextField tfMailTo;,False
17,tfMailToCC,Field,,,,,30,1,2,,private JTextField tfMailToCC;,False
18,tfMailToBCC,Field,,,,,31,1,2,,private JTextField tfMailToBCC;,False
19,tfAttachment,Field,,,,,32,1,2,,private JTextField tfAttachment;,False
20,tfEmlMessage,Field,,,,,32,1,2,,private JTextField tfEmlMessage;,False
21,taMessage,Field,,,,,28,1,2,,private JTextArea taMessage;,False
22,jlAddressFrom,Field,,,,,29,1,2,,private JLabel jlAddressFrom;,False
23,jlAddressTo,Field,,,,,27,1,2,,private JLabel jlAddressTo;,False
24,jlAddressToCC,Field,,,,,29,1,2,,private JLabel jlAddressToCC;,False
25,jlAddressToBCC,Field,,,,,30,1,2,,private JLabel jlAddressToBCC;,False
26,jlMailServerPort,Field,,,,,32,1,2,,private JLabel jlMailServerPort;,False
27,jlMailServer,Field,,,,,28,1,2,,private JLabel jlMailServer;,False
28,jlAttachFile,Field,,,,,28,1,2,,private JLabel jlAttachFile;,False
29,jlDutPortStandard,Field,,,,,33,1,2,,private JLabel jlDutPortStandard;,False
30,jlTrustStoreToUse,Field,,,,,33,1,2,,private JLabel jlTrustStoreToUse;,True
31,jlPassword,Field,,,,,26,1,2,,private JLabel jlPassword;,False
32,jlSubject,Field,,,,,25,1,2,,private JLabel jlSubject;,False
33,jlUsername,Field,,,,,26,1,2,,private JLabel jlUsername;,False
34,jlMessage,Field,,,,,25,1,2,,private JLabel jlMessage;,False
35,attachmentFileChooser,Field,,,,,43,1,2,,private JFileChooser attachmentFileChooser;,False
36,emlFileChooser,Field,,,,,36,1,2,,private JFileChooser emlFileChooser;,False
37,tfAuthPassword,Field,,,,,34,1,2,,private JTextField tfAuthPassword;,False
38,tfAuthUsername,Field,,,,,34,1,2,,private JTextField tfAuthUsername;,False
39,tfSubject,Field,,,,,29,1,2,,private JTextField tfSubject;,False
40,cbSuppressSubject,Field,,,,,36,1,2,,private JCheckBox cbSuppressSubject;,False
41,cbIncludeTimestamp,Field,,,,,37,1,2,,private JCheckBox cbIncludeTimestamp;,False
42,cbMessageSizeStats,Field,,,,,37,1,2,,private JCheckBox cbMessageSizeStats;,False
43,cbEnableDebug,Field,,,,,32,1,2,,private JCheckBox cbEnableDebug;,False
44,cbUseEmlMessage,Field,,,,,34,1,2,,private JCheckBox cbUseEmlMessage;,False
45,headerFieldsPanel,Field,,,,,33,1,2,,private JPanel headerFieldsPanel;,False
46,addHeaderFieldButton,Field,,,,,37,1,2,,private JButton addHeaderFieldButton;,False
47,headerFieldName,Field,,,,,31,1,2,,private JLabel headerFieldName;,False
48,headerFieldValue,Field,,,,,32,1,2,,private JLabel headerFieldValue;,False
49,headerFields,Field,,,,,89,1,2,,"private Map<JTextField, JTextField> headerFields = new HashMap<JTextField, JTextField>();",False
50,removeButtons,Field,,,,,83,1,2,,"private Map<JButton,JTextField> removeButtons = new HashMap<JButton, JTextField>();",False
51,headerGridY,Field,,,,,28,1,2,,private int headerGridY = 0;,False
52,SmtpPanel(),Method,,,org.apache.jmeter.protocol.smtp.sampler.gui.SmtpPanel+initComponents() org.apache.jmeter.protocol.smtp.sampler.gui.SmtpPanel+initComponents(),,157,7,1,"/** 
 * Creates new form SmtpPanel, standard constructer. Calls initComponents();.
 */
","/**
     * Creates new form SmtpPanel, standard constructer. Calls
     * initComponents();.
     */
    public SmtpPanel() {
        initComponents();
    }",False
53,getMailFrom(),Method,,org.apache.jmeter.protocol.smtp.sampler.gui.SmtpSamplerGui+modifyTestElement(TestElement),javax.swing.text.JTextComponent+getText() javax.swing.text.JTextComponent+getText(),org.apache.jmeter.protocol.smtp.sampler.gui.SmtpPanel+tfMailFrom,173,8,1,"/** 
 * Returns sender-address for e-mail from textfield
 * @return Sender
 */
","/**
     * Returns sender-address for e-mail from textfield
     *
     * @return Sender
     */
    public String getMailFrom() {
        return tfMailFrom.getText();
    }",False
54,getReceiverTo(),Method,,org.apache.jmeter.protocol.smtp.sampler.gui.SmtpSamplerGui+modifyTestElement(TestElement),javax.swing.text.JTextComponent+getText() javax.swing.text.JTextComponent+getText(),org.apache.jmeter.protocol.smtp.sampler.gui.SmtpPanel+tfMailTo,177,8,1,"/** 
 * Returns receiver in field ""to"" from textfield
 * @return Receiver ""to""
 */
","/**
     * Returns receiver in field ""to"" from textfield
     *
     * @return Receiver ""to""
     */
    public String getReceiverTo() {
        return tfMailTo.getText();
    }",False
