index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,50,1,26,,private static final long serialVersionUID = 233L;,False
2,NUM_THREADS,Field,,,,,116,2,25,"/** 
 * Number of threads in the thread group 
 */
","/** Number of threads in the thread group */
    public final static String NUM_THREADS = ""ThreadGroup.num_threads"";",True
3,RAMP_TIME,Field,,,,,87,2,25,"/** 
 * Ramp-up time 
 */
","/** Ramp-up time */
    public final static String RAMP_TIME = ""ThreadGroup.ramp_time"";",False
4,MAIN_CONTROLLER,Field,,,,,75,1,25,,"public final static String MAIN_CONTROLLER = ""ThreadGroup.main_controller"";",True
5,SCHEDULER,Field,,,,,106,2,25,"/** 
 * Whether scheduler is being used 
 */
","/** Whether scheduler is being used */
    public final static String SCHEDULER = ""ThreadGroup.scheduler"";",False
6,START_TIME,Field,,,,,106,2,25,"/** 
 * Scheduler absolute start time 
 */
","/** Scheduler absolute start time */
    public final static String START_TIME = ""ThreadGroup.start_time"";",False
7,END_TIME,Field,,,,,100,2,25,"/** 
 * Scheduler absolute end time 
 */
","/** Scheduler absolute end time */
    public final static String END_TIME = ""ThreadGroup.end_time"";",False
8,DURATION,Field,,,,,111,2,25,"/** 
 * Scheduler duration, overrides end time 
 */
","/** Scheduler duration, overrides end time */
    public final static String DURATION = ""ThreadGroup.duration"";",False
9,DELAY,Field,,,,,110,2,25,"/** 
 * Scheduler start delay, overrides start time 
 */
","/** Scheduler start delay, overrides start time */
    public final static String DELAY = ""ThreadGroup.delay"";",False
10,ON_SAMPLE_ERROR,Field,,,,,133,2,25,"/** 
 * Action to be taken when a Sampler error occurs 
 */
","/** Action to be taken when a Sampler error occurs */
    public final static String ON_SAMPLE_ERROR = ""ThreadGroup.on_sample_error"";",True
11,ON_SAMPLE_ERROR_CONTINUE,Field,,,,,113,2,25,"/** 
 * Continue, i.e. ignore sampler errors 
 */
","/** Continue, i.e. ignore sampler errors */
    public final static String ON_SAMPLE_ERROR_CONTINUE = ""continue"";",True
12,ON_SAMPLE_ERROR_STOPTHREAD,Field,,,,,124,2,25,"/** 
 * Stop current thread if sampler error occurs 
 */
","/** Stop current thread if sampler error occurs */
    public final static String ON_SAMPLE_ERROR_STOPTHREAD = ""stopthread"";",True
13,ON_SAMPLE_ERROR_STOPTEST,Field,,,,,124,2,25,"/** 
 * Stop test (all threads) if sampler error occurs 
 */
","/** Stop test (all threads) if sampler error occurs */
    public final static String ON_SAMPLE_ERROR_STOPTEST = ""stoptest"";",True
14,ON_SAMPLE_ERROR_STOPTEST_NOW,Field,,,,,135,2,25,"/** 
 * Stop test NOW (all threads) if sampler error occurs 
 */
","/** Stop test NOW (all threads) if sampler error occurs */
    public final static String ON_SAMPLE_ERROR_STOPTEST_NOW = ""stoptestnow"";",True
15,numberOfThreads,Field,,,,,32,1,2,,private int numberOfThreads = 0;,True
16,ThreadGroup(),Method,,,,,71,5,1,"/** 
 * No-arg constructor.
 */
","/**
     * No-arg constructor.
     */
    public ThreadGroup() {
    }",False
17,setNumThreads(int),Method,,,"org.apache.jmeter.testelement.AbstractTestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.AbstractTestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.property.IntegerProperty+IntegerProperty(String,int)",org.apache.jmeter.threads.ThreadGroup+NUM_THREADS,253,9,1,"/** 
 * Set the total number of threads to start
 * @param numThreads the number of threads.
 */
","/**
     * Set the total number of threads to start
     *
     * @param numThreads
     *            the number of threads.
     */
    public void setNumThreads(int numThreads) {
        setProperty(new IntegerProperty(NUM_THREADS, numThreads));
    }",True
18,incrNumberOfThreads(),Method,,org.apache.jmeter.threads.JMeterThread+threadStarted(),,org.apache.jmeter.threads.ThreadGroup+numberOfThreads,136,6,32,"/** 
 * Increment the number of active threads
 */
","/**
     * Increment the number of active threads
     */
    synchronized void incrNumberOfThreads() {
        numberOfThreads++;
    }",True
19,decrNumberOfThreads(),Method,,org.apache.jmeter.threads.JMeterThread+threadFinished(),,org.apache.jmeter.threads.ThreadGroup+numberOfThreads,136,6,32,"/** 
 * Decrement the number of active threads
 */
","/**
     * Decrement the number of active threads
     */
    synchronized void decrNumberOfThreads() {
        numberOfThreads--;
    }",True
20,getNumberOfThreads(),Method,,"org.apache.jmeter.timers.ConstantThroughputTimer+calculateDelay() org.apache.jmeter.threads.JMeterThread+process_sampler(Sampler,Sampler,JMeterContext) org.apache.jmeter.threads.JMeterThread+process_sampler(Sampler,Sampler,JMeterContext)",,org.apache.jmeter.threads.ThreadGroup+numberOfThreads,140,6,33,"/** 
 * Get the number of active threads
 */
","/**
     * Get the number of active threads
     */
    public synchronized int getNumberOfThreads() {
        return numberOfThreads;
    }",True
