index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,50,1,26,,private static final long serialVersionUID = 240L;,False
2,loopPanel,Field,,,,,35,1,2,,private LoopControlPanel loopPanel;,False
3,mainPanel,Field,,,,,32,1,2,,private VerticalPanel mainPanel;,False
4,THREAD_NAME,Field,,,,,57,1,26,,"private final static String THREAD_NAME = ""Thread Field"";",False
5,RAMP_NAME,Field,,,,,56,1,26,,"private final static String RAMP_NAME = ""Ramp Up Field"";",False
6,threadInput,Field,,,,,31,1,2,,private JTextField threadInput;,False
7,rampInput,Field,,,,,29,1,2,,private JTextField rampInput;,False
8,start,Field,,,,,25,1,2,,private JDateField start;,False
9,end,Field,,,,,23,1,2,,private JDateField end;,False
10,scheduler,Field,,,,,28,1,2,,private JCheckBox scheduler;,False
11,duration,Field,,,,,28,1,2,,private JTextField duration;,False
12,delay,Field,,,,,25,1,2,,private JTextField delay;,False
13,continueBox,Field,,,,,33,1,2,,private JRadioButton continueBox;,True
14,stopThrdBox,Field,,,,,33,1,2,,private JRadioButton stopThrdBox;,True
15,stopTestBox,Field,,,,,33,1,2,,private JRadioButton stopTestBox;,True
16,stopTestNowBox,Field,,,,,36,1,2,,private JRadioButton stopTestNowBox;,True
17,ThreadGroupGui(),Method,,,org.apache.jmeter.threads.gui.ThreadGroupGui+init() org.apache.jmeter.threads.gui.ThreadGroupGui+init() org.apache.jmeter.threads.gui.ThreadGroupGui+initGui() org.apache.jmeter.threads.gui.ThreadGroupGui+initGui(),,83,5,1,,"public ThreadGroupGui() {
        super();
        init();
        initGui();
    }",False
18,getMenuCategories(),Method,,,,,74,3,1,,"public Collection<String> getMenuCategories() {
        return null;
    }",True
19,createTestElement(),Method,,,org.apache.jmeter.threads.ThreadGroup+ThreadGroup() org.apache.jmeter.threads.gui.ThreadGroupGui+modifyTestElement(TestElement) org.apache.jmeter.threads.gui.ThreadGroupGui+modifyTestElement(TestElement),,140,5,1,,"public TestElement createTestElement() {
        ThreadGroup tg = new ThreadGroup();
        modifyTestElement(tg);
        return tg;
    }",False
20,modifyTestElement(TestElement),Method,createTestElement(),,"org.apache.jmeter.gui.AbstractJMeterGuiComponent+configureTestElement(TestElement) org.apache.jmeter.threads.ThreadGroup+setSamplerController(LoopController) org.apache.jmeter.threads.ThreadGroup+setSamplerController(LoopController) org.apache.jmeter.control.gui.LoopControlPanel+createTestElement() org.apache.jmeter.control.gui.LoopControlPanel+createTestElement() org.apache.jmeter.testelement.TestElement+setProperty(String,String) org.apache.jmeter.testelement.TestElement+setProperty(String,String) javax.swing.text.JTextComponent+getText() javax.swing.text.JTextComponent+getText() org.apache.jmeter.testelement.TestElement+setProperty(String,String) org.apache.jmeter.testelement.TestElement+setProperty(String,String) javax.swing.text.JTextComponent+getText() javax.swing.text.JTextComponent+getText() org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.property.LongProperty+LongProperty(String,long) java.util.Date+getTime() org.apache.jmeter.gui.util.JDateField+getDate() org.apache.jmeter.gui.util.JDateField+getDate() java.util.Date+getTime() org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.property.LongProperty+LongProperty(String,long) java.util.Date+getTime() org.apache.jmeter.gui.util.JDateField+getDate() org.apache.jmeter.gui.util.JDateField+getDate() java.util.Date+getTime() org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.property.BooleanProperty+BooleanProperty(String,boolean) javax.swing.AbstractButton+isSelected() javax.swing.AbstractButton+isSelected() org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.TestElement+setProperty(JMeterProperty) org.apache.jmeter.testelement.property.StringProperty+StringProperty(String,String) org.apache.jmeter.threads.gui.ThreadGroupGui+onSampleError() org.apache.jmeter.threads.gui.ThreadGroupGui+onSampleError() org.apache.jmeter.testelement.TestElement+setProperty(String,String) org.apache.jmeter.testelement.TestElement+setProperty(String,String) javax.swing.text.JTextComponent+getText() javax.swing.text.JTextComponent+getText() org.apache.jmeter.testelement.TestElement+setProperty(String,String) org.apache.jmeter.testelement.TestElement+setProperty(String,String) javax.swing.text.JTextComponent+getText() javax.swing.text.JTextComponent+getText()",org.apache.jmeter.threads.gui.ThreadGroupGui+loopPanel org.apache.jmeter.threads.ThreadGroup+NUM_THREADS org.apache.jmeter.threads.gui.ThreadGroupGui+threadInput org.apache.jmeter.threads.ThreadGroup+RAMP_TIME org.apache.jmeter.threads.gui.ThreadGroupGui+rampInput org.apache.jmeter.threads.ThreadGroup+START_TIME org.apache.jmeter.threads.gui.ThreadGroupGui+start org.apache.jmeter.threads.ThreadGroup+END_TIME org.apache.jmeter.threads.gui.ThreadGroupGui+end org.apache.jmeter.threads.ThreadGroup+SCHEDULER org.apache.jmeter.threads.gui.ThreadGroupGui+scheduler org.apache.jmeter.threads.ThreadGroup+ON_SAMPLE_ERROR org.apache.jmeter.threads.ThreadGroup+DURATION org.apache.jmeter.threads.gui.ThreadGroupGui+duration org.apache.jmeter.threads.ThreadGroup+DELAY org.apache.jmeter.threads.gui.ThreadGroupGui+delay,1061,20,1,"/** 
 * Modifies a given TestElement to mirror the data in the gui components.
 * @see org.apache.jmeter.gui.JMeterGUIComponent#modifyTestElement(TestElement)
 */
","/**
     * Modifies a given TestElement to mirror the data in the gui components.
     *
     * @see org.apache.jmeter.gui.JMeterGUIComponent#modifyTestElement(TestElement)
     */
    public void modifyTestElement(TestElement tg) {
        super.configureTestElement(tg);
        if (tg instanceof ThreadGroup) {
            ((ThreadGroup) tg).setSamplerController((LoopController) loopPanel.createTestElement());
        }

        tg.setProperty(ThreadGroup.NUM_THREADS, threadInput.getText());
        tg.setProperty(ThreadGroup.RAMP_TIME, rampInput.getText());
        tg.setProperty(new LongProperty(ThreadGroup.START_TIME, start.getDate().getTime()));
        tg.setProperty(new LongProperty(ThreadGroup.END_TIME, end.getDate().getTime()));
        tg.setProperty(new BooleanProperty(ThreadGroup.SCHEDULER, scheduler.isSelected()));
        tg.setProperty(new StringProperty(ThreadGroup.ON_SAMPLE_ERROR, onSampleError()));
        tg.setProperty(ThreadGroup.DURATION, duration.getText());
        tg.setProperty(ThreadGroup.DELAY, delay.getText());
    }",False
