index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,48,1,26,,private static final long serialVersionUID = 1L;,False
2,log,Field,,,,,69,1,26,,private static final Logger log = LoggingManager.getLoggerForClass();,False
3,MAX_DISPLAY_SIZE,Field,,,,,121,2,26,,"private static final int MAX_DISPLAY_SIZE =
        JMeterUtils.getPropDefault(""view.results.tree.max_size"", 200 * 1024);",True
4,dateFormat,Field,,,,,84,1,18,,"private final DateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss z"");",True
5,NL,Field,,,,,38,1,26,,"private static final String NL = ""\n"";",True
6,XML_PFX,Field,,,,,58,1,26,,"private static final byte[] XML_PFX = ""<?xml "".getBytes();",True
7,SERVER_ERROR_COLOR,Field,,,,,57,1,25,,public static final Color SERVER_ERROR_COLOR = Color.red;,False
8,CLIENT_ERROR_COLOR,Field,,,,,58,1,25,,public static final Color CLIENT_ERROR_COLOR = Color.blue;,False
9,REDIRECT_COLOR,Field,,,,,55,1,25,,public static final Color REDIRECT_COLOR = Color.green;,False
10,TEXT_HTML,Field,,,,,52,1,26,,"private static final String TEXT_HTML = ""text/html"";",True
11,HTML_COMMAND,Field,,,,,50,1,26,,"private static final String HTML_COMMAND = ""html"";",True
12,JSON_COMMAND,Field,,,,,50,1,26,,"private static final String JSON_COMMAND = ""json"";",True
13,XML_COMMAND,Field,,,,,48,1,26,,"private static final String XML_COMMAND = ""xml"";",True
14,TEXT_COMMAND,Field,,,,,50,1,26,,"private static final String TEXT_COMMAND = ""text"";",True
15,STYLE_SERVER_ERROR,Field,,,,,63,1,26,,"private static final String STYLE_SERVER_ERROR = ""ServerError"";",True
16,STYLE_CLIENT_ERROR,Field,,,,,63,1,26,,"private static final String STYLE_CLIENT_ERROR = ""ClientError"";",True
17,STYLE_REDIRECT,Field,,,,,56,1,26,,"private static final String STYLE_REDIRECT = ""Redirect"";",True
18,textMode,Field,,,,,32,1,2,,private boolean textMode = true;,True
19,ESC_CHAR_REGEX,Field,,,,,86,1,26,,"private static final String ESC_CHAR_REGEX = ""\\\\[\""\\\\/bfnrt]|\\\\u[0-9A-Fa-f]{4}"";",True
20,NORMAL_CHARACTER_REGEX,Field,,,,,65,1,26,,"private static final String NORMAL_CHARACTER_REGEX = ""[^\""\\\\]"";",True
21,STRING_REGEX,Field,,,,,106,1,26,,"private static final String STRING_REGEX = ""\""("" + ESC_CHAR_REGEX + ""|"" + NORMAL_CHARACTER_REGEX + "")*\"""";",True
22,OTHER_VALUE_REGEX,Field,,,,,70,1,26,,"private static final String OTHER_VALUE_REGEX = ""[^\\{\\[\\]\\}\\,]*"";",True
23,VALUE_OR_PAIR_REGEX,Field,,,,,145,1,26,,"private static final String VALUE_OR_PAIR_REGEX = ""(("" + STRING_REGEX + ""\\s*:)?\\s*("" + STRING_REGEX + ""|"" + OTHER_VALUE_REGEX + "")\\s*,?\\s*)"";",True
24,VALUE_OR_PAIR_PATTERN,Field,,,,,90,1,26,,private static final Pattern VALUE_OR_PAIR_PATTERN = Pattern.compile(VALUE_OR_PAIR_REGEX);,True
25,command,Field,,,,,38,1,2,,private String command = TEXT_COMMAND;,True
26,customisedEditor,Field,,,,,75,1,26,,private static final EditorKit customisedEditor = new LocalHTMLEditorKit();,True
27,defaultHtmlEditor,Field,,,,,104,1,26,,private static final EditorKit defaultHtmlEditor = JEditorPane.createEditorKitForContentType(TEXT_HTML);,True
28,root,Field,,,,,36,1,2,,private DefaultMutableTreeNode root;,False
29,treeModel,Field,,,,,35,1,2,,private DefaultTreeModel treeModel;,False
30,stats,Field,,,,,24,1,2,,private JTextPane stats;,True
31,results,Field,,,,,28,1,2,,private JEditorPane results;,True
32,resultsScrollPane,Field,,,,,38,1,2,,private JScrollPane resultsScrollPane;,True
33,resultsPane,Field,,,,,27,1,2,,private JPanel resultsPane;,True
34,imageLabel,Field,,,,,26,1,2,,private JLabel imageLabel;,True
35,sampleDataField,Field,,,,,34,1,2,,private JTextArea sampleDataField;,True
36,requestPane,Field,,,,,27,1,2,,private JPanel requestPane;,True
37,textButton,Field,,,,,32,1,2,,private JRadioButton textButton;,True
38,htmlButton,Field,,,,,32,1,2,,private JRadioButton htmlButton;,True
39,jsonButton,Field,,,,,32,1,2,,private JRadioButton jsonButton;,True
40,xmlButton,Field,,,,,31,1,2,,private JRadioButton xmlButton;,True
41,downloadAll,Field,,,,,30,1,2,,private JCheckBox downloadAll;,True
42,renderLabel,Field,,,,,27,1,2,,private JLabel renderLabel;,True
43,jTree,Field,,,,,20,1,2,,private JTree jTree;,True
44,rightSide,Field,,,,,30,1,2,,private JTabbedPane rightSide;,True
45,searchTextExtension,Field,,,,,48,1,2,,private SearchTextExtension searchTextExtension;,True
46,searchPanel,Field,,,,,34,1,2,,private JPanel searchPanel = null;,True
47,imageSuccess,Field,,,,,194,3,26,,"private static final ImageIcon imageSuccess = JMeterUtils.getImage(
            JMeterUtils.getPropDefault(""viewResultsTree.success"",  //$NON-NLS-1$
                    ""icon_success_sml.gif""));",False
48,imageFailure,Field,,,,,194,3,26,,"private static final ImageIcon imageFailure = JMeterUtils.getImage(
            JMeterUtils.getPropDefault(""viewResultsTree.failure"",  //$NON-NLS-1$
                    ""icon_warning_sml.gif""));",False
49,ViewResultsFullVisualizer(),Method,,,org.apache.jmeter.visualizers.ViewResultsFullVisualizer+init() org.apache.jmeter.visualizers.ViewResultsFullVisualizer+init(),org.apache.jmeter.visualizers.ViewResultsFullVisualizer+log org.apache.jmeter.visualizers.ViewResultsFullVisualizer+log,187,6,1,,"public ViewResultsFullVisualizer() {
        super();
        log.debug(""Start : ViewResultsFullVisualizer1"");
        init();
        log.debug(""End : ViewResultsFullVisualizer1"");
    }",False
50,add(SampleResult),Method,,,org.apache.jmeter.visualizers.ViewResultsFullVisualizer+updateGui(SampleResult) org.apache.jmeter.visualizers.ViewResultsFullVisualizer+updateGui(SampleResult),,65,3,1,,"public void add(SampleResult res) {
        updateGui(res);
    }",False
51,getLabelResource(),Method,,,,,97,3,1,,"public String getLabelResource() {
        return ""view_results_tree_title""; // $NON-NLS-1$
    }",False
