index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,log,Field,,,,,69,1,26,,private static final Logger log = LoggingManager.getLoggerForClass();,False
2,PRESERVE,Field,,,,,42,1,24,,"final static String PRESERVE = ""preserve"";",False
3,XML_SPACE,Field,,,,,44,1,24,,"final static String XML_SPACE = ""xml:space"";",False
4,ASSERTION_RESULT_TAG_NAME,Field,,,,,74,1,26,,"private static final String ASSERTION_RESULT_TAG_NAME = ""assertionResult"";",False
5,BINARY,Field,,,,,46,1,26,,"private static final String BINARY = ""binary"";",False
6,DATA_TYPE,Field,,,,,51,1,26,,"private static final String DATA_TYPE = ""dataType"";",False
7,ERROR,Field,,,,,44,1,26,,"private static final String ERROR = ""error"";",False
8,FAILURE,Field,,,,,48,1,26,,"private static final String FAILURE = ""failure"";",False
9,FAILURE_MESSAGE,Field,,,,,63,1,26,,"private static final String FAILURE_MESSAGE = ""failureMessage"";",False
10,LABEL,Field,,,,,44,1,26,,"private static final String LABEL = ""label"";",False
11,RESPONSE_CODE,Field,,,,,59,1,26,,"private static final String RESPONSE_CODE = ""responseCode"";",False
12,RESPONSE_MESSAGE,Field,,,,,65,1,26,,"private static final String RESPONSE_MESSAGE = ""responseMessage"";",False
13,SAMPLE_RESULT_TAG_NAME,Field,,,,,68,1,26,,"private static final String SAMPLE_RESULT_TAG_NAME = ""sampleResult"";",False
14,SUCCESSFUL,Field,,,,,51,1,26,,"private static final String SUCCESSFUL = ""success"";",False
15,THREAD_NAME,Field,,,,,55,1,26,,"private static final String THREAD_NAME = ""threadName"";",False
16,TIME,Field,,,,,42,1,26,,"private static final String TIME = ""time"";",False
17,TIME_STAMP,Field,,,,,53,1,26,,"private static final String TIME_STAMP = ""timeStamp"";",False
18,CSV_ELAPSED,Field,,,,,52,1,26,,"private static final String CSV_ELAPSED = ""elapsed"";",True
19,CSV_BYTES,Field,,,,,47,1,26,,"private static final String CSV_BYTES= ""bytes"";",True
20,CSV_THREAD_COUNT1,Field,,,,,61,1,26,,"private static final String CSV_THREAD_COUNT1 = ""grpThreads"";",True
21,CSV_THREAD_COUNT2,Field,,,,,61,1,26,,"private static final String CSV_THREAD_COUNT2 = ""allThreads"";",True
22,CSV_SAMPLE_COUNT,Field,,,,,61,1,26,,"private static final String CSV_SAMPLE_COUNT = ""SampleCount"";",True
23,CSV_ERROR_COUNT,Field,,,,,59,1,26,,"private static final String CSV_ERROR_COUNT = ""ErrorCount"";",True
24,CSV_URL,Field,,,,,44,1,26,,"private static final String CSV_URL = ""URL"";",True
25,CSV_FILENAME,Field,,,,,54,1,26,,"private static final String CSV_FILENAME = ""Filename"";",True
26,CSV_LATENCY,Field,,,,,52,1,26,,"private static final String CSV_LATENCY = ""Latency"";",True
27,CSV_ENCODING,Field,,,,,54,1,26,,"private static final String CSV_ENCODING = ""Encoding"";",True
28,CSV_HOSTNAME,Field,,,,,54,1,26,,"private static final String CSV_HOSTNAME = ""Hostname"";",True
29,_saveConfig,Field,,,,,98,1,26,,static private final SampleSaveConfiguration _saveConfig = SampleSaveConfiguration.staticConfig();,True
30,DEFAULT_DATE_FORMAT_STRING,Field,,,,,77,1,26,,"private static final String DEFAULT_DATE_FORMAT_STRING = ""MM/dd/yy HH:mm:ss"";",True
31,DEFAULT_DATE_FORMAT,Field,,,,,103,1,26,,private static final DateFormat DEFAULT_DATE_FORMAT = new SimpleDateFormat(DEFAULT_DATE_FORMAT_STRING);,True
32,builder,Field,,,,,87,1,10,,private static DefaultConfigurationBuilder builder = new DefaultConfigurationBuilder();,False
33,OldSaveService(),Method,,,,,89,5,2,"/** 
 * Private constructor to prevent instantiation.
 */
","/**
	 * Private constructor to prevent instantiation.
	 */
	private OldSaveService() {
	}",False
