index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LOG,Field,,,,,103,2,26,,"private static final Logger LOG = LoggerFactory
      .getLogger(MethodHandles.lookup().lookupClass());",False
2,http,Field,,,,,22,1,2,,private Protocol http;,True
3,server,Field,,,,,28,1,2,,private ServerSocket server;,True
4,conf,Field,,,,,27,1,2,,private Configuration conf;,True
5,port,Field,,,,,25,1,2,,private int port = 47506;,True
6,responseHeader,Field,,,,,67,1,26,,"private static final String responseHeader = ""HTTP/1.1 200 OK\r\n"";",True
7,simpleContent,Field,,,,,93,1,26,,"private static final String simpleContent = ""Content-Type: text/html\r\n\r\nThis is a text."";",True
8,setUp(),Method,testBadHttpServer() testRequestNotStartingWithSlash() testContentLengthNotANumber() testHeaderWithColon() testHeaderSpellChecking() testIgnoreErrorInRedirectPayload() testNoStatusLine() testMultiLineHeader() testOverlongHeader() testChunkedContent() testTruncationMarking() testTruncationMarkingGzip() testPartialContentTruncated() testNoContentLimit() testHttpStatusNoMessage(),,org.apache.nutch.util.NutchConfiguration+create() org.apache.nutch.util.NutchConfiguration+create() org.apache.nutch.protocol.ProtocolFactory+getProtocolById(String) org.apache.nutch.protocol.ProtocolFactory+ProtocolFactory(Configuration) org.apache.nutch.protocol.ProtocolFactory+getProtocolById(String),org.apache.nutch.protocol.okhttp.TestBadServerResponses+conf org.apache.nutch.protocol.okhttp.TestBadServerResponses+conf org.apache.nutch.protocol.okhttp.TestBadServerResponses+conf org.apache.nutch.protocol.okhttp.TestBadServerResponses+conf org.apache.nutch.protocol.okhttp.TestBadServerResponses+http org.apache.nutch.protocol.okhttp.TestBadServerResponses+conf,416,11,1,,"public void setUp() throws Exception {
    conf = NutchConfiguration.create();
    conf.addResource(""nutch-default.xml"");
    // plugin tests specific config file - adds protocol-okhttp to
    // plugin.includes
    conf.addResource(""nutch-site-test.xml"");
    conf.setBoolean(""store.http.headers"", true);

    http = new ProtocolFactory(conf)
        .getProtocolById(""org.apache.nutch.protocol.okhttp.OkHttp"");
  }",True
9,tearDown(),Method,,,java.net.ServerSocket+close() java.net.ServerSocket+close(),org.apache.nutch.protocol.okhttp.TestBadServerResponses+server,74,4,1,,"@After
  public void tearDown() throws Exception {
    server.close();
  }",True
10,getHeaders(ProtocolOutput),Method,"getHeader(ProtocolOutput,String) testMultiLineHeader() testHttpStatusNoMessage()",,org.apache.nutch.metadata.Metadata+get(String) org.apache.nutch.protocol.Content+getMetadata() org.apache.nutch.protocol.ProtocolOutput+getContent() org.apache.nutch.protocol.ProtocolOutput+getContent() org.apache.nutch.protocol.Content+getMetadata() org.apache.nutch.metadata.Metadata+get(String),org.apache.nutch.net.protocols.Response+RESPONSE_HEADERS,141,3,9,,"public static String getHeaders(ProtocolOutput response) {
    return response.getContent().getMetadata().get(Response.RESPONSE_HEADERS);
  }",True
11,"getHeader(ProtocolOutput,String)",Method,testIgnoreErrorInRedirectPayload() testIgnoreErrorInRedirectPayload() testMultiLineHeader() testMultiLineHeader(),,"java.lang.String+split(String) org.apache.nutch.protocol.okhttp.TestBadServerResponses+getHeaders(ProtocolOutput) org.apache.nutch.protocol.okhttp.TestBadServerResponses+getHeaders(ProtocolOutput) java.lang.String+split(String) java.lang.String+split(String,int) java.lang.String+split(String,int) java.lang.String+equals(Object) java.lang.String+equals(Object)",,274,9,9,,"public static String getHeader(ProtocolOutput response, String header) {
    for (String line : getHeaders(response).split(""\r\n"")) {
      String[] parts = line.split("": "", 1);
      if (parts[0].equals(header)) {
        return parts[1];
      }
    }
    return null;
  }",True
