index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,executorDriver,Field,,,,,48,2,2,,"@Mock
    private ExecutorDriver executorDriver;",False
2,executorInfo,Field,,,,,34,1,2,,private ExecutorInfo executorInfo;,False
3,slaveInfo,Field,,,,,61,1,2,,private SlaveInfo slaveInfo = SlaveInfo.getDefaultInstance();,False
4,frameworkInfo,Field,,,,,73,1,2,,private FrameworkInfo frameworkInfo = FrameworkInfo.getDefaultInstance();,False
5,taskExecutor,Field,,,,,34,1,2,,private TaskExecutor taskExecutor;,False
6,setUp(),Method,,,com.dangdang.ddframe.job.cloud.executor.TaskExecutor+TaskExecutor(),com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorDriver com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+taskExecutor com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorInfo,221,6,1,,"@Before
    public void setUp() throws NoSuchFieldException {
        executorDriver = mock(ExecutorDriver.class);
        taskExecutor = new TaskExecutor();
        executorInfo = ExecutorInfo.getDefaultInstance();
    }",False
7,assertKillTask(),Method,,,"com.dangdang.ddframe.job.cloud.executor.TaskExecutor+killTask(ExecutorDriver,TaskID) com.dangdang.ddframe.job.cloud.executor.TaskExecutor+killTask(ExecutorDriver,TaskID)",com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+taskExecutor com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorDriver com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorDriver,327,6,1,,"@Test
    public void assertKillTask() {
        TaskID taskID = Protos.TaskID.newBuilder().setValue(""task_id"").build();
        taskExecutor.killTask(executorDriver, taskID);
        verify(executorDriver).sendStatusUpdate(Protos.TaskStatus.newBuilder().setTaskId(taskID).setState(Protos.TaskState.TASK_KILLED).build());
    }",False
8,assertLaunchTaskWithDaemonTaskAndJavaSimpleJob(),Method,,,"com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+buildTransientTaskInfo() com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+buildTransientTaskInfo() com.dangdang.ddframe.job.cloud.executor.TaskExecutor+launchTask(ExecutorDriver,TaskInfo) com.dangdang.ddframe.job.cloud.executor.TaskExecutor+launchTask(ExecutorDriver,TaskInfo)",com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+taskExecutor com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorDriver,191,5,1,,"@Test
    public void assertLaunchTaskWithDaemonTaskAndJavaSimpleJob() {
        TaskInfo taskInfo = buildTransientTaskInfo();
        taskExecutor.launchTask(executorDriver, taskInfo);
    }",True
9,assertLaunchTaskWithTransientTaskAndSpringSimpleJob(),Method,,,"com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+buildDaemonTaskInfo() com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+buildDaemonTaskInfo() com.dangdang.ddframe.job.cloud.executor.TaskExecutor+launchTask(ExecutorDriver,TaskInfo) com.dangdang.ddframe.job.cloud.executor.TaskExecutor+launchTask(ExecutorDriver,TaskInfo)",com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+taskExecutor com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorDriver,193,5,1,,"@Test
    public void assertLaunchTaskWithTransientTaskAndSpringSimpleJob() {
        TaskInfo taskInfo = buildDaemonTaskInfo();
        taskExecutor.launchTask(executorDriver, taskInfo);
    }",True
10,assertLaunchTaskWithTransientTaskAndJavaScriptJob(),Method,,,"com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+buildScriptDaemonTaskInfo() com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+buildScriptDaemonTaskInfo() com.dangdang.ddframe.job.cloud.executor.TaskExecutor+launchTask(ExecutorDriver,TaskInfo) com.dangdang.ddframe.job.cloud.executor.TaskExecutor+launchTask(ExecutorDriver,TaskInfo)",com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+taskExecutor com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest+executorDriver,197,5,1,,"@Test
    public void assertLaunchTaskWithTransientTaskAndJavaScriptJob() {
        TaskInfo taskInfo = buildScriptDaemonTaskInfo();
        taskExecutor.launchTask(executorDriver, taskInfo);
    }",True
