index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,configService,Field,,,,,49,1,18,,private final ConfigurationService configService;,False
2,leaderElectionService,Field,,,,,58,1,18,,private final LeaderElectionService leaderElectionService;,False
3,serverService,Field,,,,,42,1,18,,private final ServerService serverService;,False
4,shardingService,Field,,,,,46,1,18,,private final ShardingService shardingService;,False
5,executionContextService,Field,,,,,62,1,18,,private final ExecutionContextService executionContextService;,True
6,executionService,Field,,,,,48,1,18,,private final ExecutionService executionService;,False
7,failoverService,Field,,,,,46,1,18,,private final FailoverService failoverService;,True
8,statisticsService,Field,,,,,50,1,18,,private final StatisticsService statisticsService;,False
9,offsetService,Field,,,,,42,1,18,,private final OffsetService offsetService;,True
10,monitorService,Field,,,,,44,1,18,,private final MonitorService monitorService;,False
11,listenerManager,Field,,,,,46,1,18,,private final ListenerManager listenerManager;,False
12,elasticJobListeners,Field,"SchedulerFacade(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>) SchedulerFacade(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>)",,,,59,1,18,,private final List<ElasticJobListener> elasticJobListeners;,True
13,"SchedulerFacade(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>)",Method,,,"com.dangdang.ddframe.job.internal.config.ConfigurationService+ConfigurationService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.election.LeaderElectionService+LeaderElectionService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.server.ServerService+ServerService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.sharding.ShardingService+ShardingService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.execution.ExecutionContextService+ExecutionContextService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.execution.ExecutionService+ExecutionService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.failover.FailoverService+FailoverService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.statistics.StatisticsService+StatisticsService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.offset.OffsetService+OffsetService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.monitor.MonitorService+MonitorService(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+setGuaranteeServiceForElasticJobListeners(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+setGuaranteeServiceForElasticJobListeners(CoordinatorRegistryCenter,JobConfiguration) com.dangdang.ddframe.job.internal.listener.ListenerManager+ListenerManager(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>)",com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+configService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+leaderElectionService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+serverService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+shardingService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+executionContextService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+executionService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+failoverService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+statisticsService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+offsetService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+monitorService com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+elasticJobListeners com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+elasticJobListeners com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+listenerManager com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+elasticJobListeners com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+elasticJobListeners,1399,15,1,,"public SchedulerFacade(final CoordinatorRegistryCenter coordinatorRegistryCenter, final JobConfiguration jobConfiguration, final List<ElasticJobListener> elasticJobListeners) {
        configService = new ConfigurationService(coordinatorRegistryCenter, jobConfiguration);
        leaderElectionService = new LeaderElectionService(coordinatorRegistryCenter, jobConfiguration);
        serverService = new ServerService(coordinatorRegistryCenter, jobConfiguration);
        shardingService = new ShardingService(coordinatorRegistryCenter, jobConfiguration);
        executionContextService = new ExecutionContextService(coordinatorRegistryCenter, jobConfiguration);
        executionService = new ExecutionService(coordinatorRegistryCenter, jobConfiguration);
        failoverService = new FailoverService(coordinatorRegistryCenter, jobConfiguration);
        statisticsService = new StatisticsService(coordinatorRegistryCenter, jobConfiguration);
        offsetService = new OffsetService(coordinatorRegistryCenter, jobConfiguration);
        monitorService = new MonitorService(coordinatorRegistryCenter, jobConfiguration);
        this.elasticJobListeners = elasticJobListeners;
        setGuaranteeServiceForElasticJobListeners(coordinatorRegistryCenter, jobConfiguration);
        listenerManager = new ListenerManager(coordinatorRegistryCenter, jobConfiguration, this.elasticJobListeners);
    }",False
14,"setGuaranteeServiceForElasticJobListeners(CoordinatorRegistryCenter,JobConfiguration)",Method,"SchedulerFacade(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>)",,"com.dangdang.ddframe.job.internal.guarantee.GuaranteeService+GuaranteeService(CoordinatorRegistryCenter,JobConfiguration)",com.dangdang.ddframe.job.internal.schedule.SchedulerFacade+elasticJobListeners,540,8,2,,"private void setGuaranteeServiceForElasticJobListeners(final CoordinatorRegistryCenter coordinatorRegistryCenter, final JobConfiguration jobConfiguration) {
        GuaranteeService guaranteeService = new GuaranteeService(coordinatorRegistryCenter, jobConfiguration);
        for (ElasticJobListener each : elasticJobListeners) {
            if (each instanceof AbstractDistributeOnceElasticJobListener) {
                ((AbstractDistributeOnceElasticJobListener) each).setGuaranteeService(guaranteeService);
            }
        }
    }",True
