index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,configService,Field,,,,,53,2,2,,"@Mock
    private ConfigurationService configService;",False
2,leaderElectionService,Field,,,,,62,2,2,,"@Mock
    private LeaderElectionService leaderElectionService;",False
3,serverService,Field,,,,,46,2,2,,"@Mock
    private ServerService serverService;",False
4,shardingService,Field,,,,,50,2,2,,"@Mock
    private ShardingService shardingService;",False
5,executionContextService,Field,,,,,66,2,2,,"@Mock
    private ExecutionContextService executionContextService;",False
6,executionService,Field,,,,,52,2,2,,"@Mock
    private ExecutionService executionService;",False
7,failoverService,Field,,,,,50,2,2,,"@Mock
    private FailoverService failoverService;",False
8,statisticsService,Field,,,,,54,2,2,,"@Mock
    private StatisticsService statisticsService;",False
9,offsetService,Field,,,,,46,2,2,,"@Mock
    private OffsetService offsetService;",False
10,monitorService,Field,,,,,48,2,2,,"@Mock
    private MonitorService monitorService;",False
11,listenerManager,Field,,,,,50,2,2,,"@Mock
    private ListenerManager listenerManager;",False
12,caller,Field,,,,,32,2,2,,"@Mock
    private Caller caller;",True
13,jobConfig,Field,,,,,104,1,2,,"private JobConfiguration jobConfig = new JobConfiguration(""testJob"", TestJob.class, 3, ""0/1 * * * * ?"");",False
14,schedulerFacade,Field,,,,,40,1,2,,private SchedulerFacade schedulerFacade;,False
